NUM,NUM,NUM,NUM,NUM,NUM,NUM,NUM,FLOAT,FLOAT,FLOAT,NUM,NUM,NUM,NUM,NUM,NUM,NUM,NUM
level,experience,health,strength,intelligence,speed,defense,endurance,hitRate,criticalRate,criticalFactor,recovery,goldNoteValue,goldNoteMin,goldNoteMax,expValue,expMin,expMax,output
#等级,升级所需经验,体力,力量,智力,速度,防御力,耐力,命中率,暴击率,暴击伤害百分比,战后回血,货币掉落值,货币随机掉落最小值,货币随机掉落最大值,经验掉落值,经验随机掉落最小值,经验随机掉落最大值,产出经验
12,123,234,345,456,567,678,789,0.1,0.1,1.5,1233,1344,1455,1566,1677,1788,1899,2010
13,124,235,346,457,568,679,790,0.15,0.15,1.5,1234,1345,1456,1567,1678,1789,1900,2011
14,125,236,347,458,569,680,791,0.2,0.2,1.5,1235,1346,1457,1568,1679,1790,1901,2012
15,126,237,348,459,570,681,792,0.25,0.25,1.5,1236,1347,1458,1569,1680,1791,1902,2013
16,127,238,349,460,571,682,793,0.3,0.3,1.5,1237,1348,1459,1570,1681,1792,1903,2014
17,128,239,350,461,572,683,794,0.35,0.35,1.5,1238,1349,1460,1571,1682,1793,1904,2015
18,129,240,351,462,573,684,795,0.4,0.4,1.5,1239,1350,1461,1572,1683,1794,1905,2016
19,130,241,352,463,574,685,796,0.45,0.45,1.5,1240,1351,1462,1573,1684,1795,1906,2017
20,131,242,353,464,575,686,797,0.5,0.5,1.5,1241,1352,1463,1574,1685,1796,1907,2018
21,132,243,354,465,576,687,798,0.55,0.55,1.5,1242,1353,1464,1575,1686,1797,1908,2019
22,133,244,355,466,577,688,799,0.6,0.6,1.5,1243,1354,1465,1576,1687,1798,1909,2020
23,134,245,356,467,578,689,800,0.65,0.65,1.5,1244,1355,1466,1577,1688,1799,1910,2021
24,135,246,357,468,579,690,801,0.7,0.7,1.5,1245,1356,1467,1578,1689,1800,1911,2022
25,136,247,358,469,580,691,802,0.75,0.75,1.5,1246,1357,1468,1579,1690,1801,1912,2023
26,137,248,359,470,581,692,803,0.8,0.8,1.5,1247,1358,1469,1580,1691,1802,1913,2024
27,138,249,360,471,582,693,804,0.85,0.85,1.5,1248,1359,1470,1581,1692,1803,1914,2025
28,139,250,361,472,583,694,805,0.9,0.9,1.5,1249,1360,1471,1582,1693,1804,1915,2026
