#TEXT,TEXT,NUM,NUM,NUM,NUM,NUM,FLOAT
id,rootEffectID,actionCount,channelTime,energyCost,energyGenerate,category,levelAdjust
#id,rootEffectID,操作次数,引导时间,energyCost,energyGenerate,category,levelAdjust
s1,e1,0,0,0,10,0,0
s2,e2,0,0,0,10,0,0
s3,e2,3,5,100,0,0,0
lazy,lazye1,0,0,0,0,7,0
defend,defende1,0,0,0,0,3,0
attackSlight,attackSlighte1,0,0,0,100,0,0
attackMedium,attackMediume1,0,0,0,100,0,0
attackStrong,attackStronge1,0,0,0,100,0,0
attackTriSlight,attackTriSlighte1,0,0,0,100,0,0
attackTriMedium,attackTriMediume1,0,0,0,100,0,0
attackTriStrong,attackTriStronge1,0,0,0,100,0,0
attackCutSlight,attackCutSlighte1,0,0,0,100,0,0
attackCutMedium,attackCutMediume1,0,0,0,100,0,0
attackCutStrong,attackCutStronge1,0,0,0,100,0,0
attackCutTriSlight,attackCutTriSlighte1,0,0,0,100,0,0
attackCutTriMedium,attackCutTriMediume1,0,0,0,100,0,0
attackCutTriStrong,attackCutTriStronge1,0,0,0,100,0,0
attackStabSlight,attackStabSlighte1,0,0,0,100,0,0
attackStabMedium,attackStabMediume1,0,0,0,100,0,0
attackStabStrong,attackStabStronge1,0,0,0,100,0,0
attackStabTriSlight,attackStabTriSlighte1,0,0,0,100,0,0
attackStabTriMedium,attackStabTriMediume1,0,0,0,100,0,0
attackStabTriStrong,attackStabTriStronge1,0,0,0,100,0,0
attackSmashSlight,attackSmashSlighte1,0,0,0,100,0,0
attackSmashMedium,attackSmashMediume1,0,0,0,100,0,0
attackSmashStrong,attackSmashStronge1,0,0,0,100,0,0
magicMetalSlight,magicMetalSlighte1,0,0,0,100,1,0
magicMetalMedium,magicMetalMediume1,0,0,0,100,1,0
magicMetalStrong,magicMetalStronge1,0,0,0,100,1,0
magicPlantSlight,magicPlantSlighte1,0,0,0,100,1,0
magicPlantMedium,magicPlantMediume1,0,0,0,100,1,0
magicPlantStrong,magicPlantStronge1,0,0,0,100,1,0
magicWaterSlight,magicWaterSlighte1,0,0,0,100,1,0
magicWaterMedium,magicWaterMediume1,0,0,0,100,1,0
magicWaterStrong,magicWaterStronge1,0,0,0,100,1,0
magicFireSlight,magicFireSlighte1,0,0,0,100,1,0
magicFireMedium,magicFireMediume1,0,0,0,100,1,0
magicFireStrong,magicFireStronge1,0,0,0,100,1,0
magicEarthSlight,magicEarthSlighte1,0,0,0,100,1,0
magicEarthMedium,magicEarthMediume1,0,0,0,100,1,0
magicEarthStrong,magicEarthStronge1,0,0,0,100,1,0
magicCureSlight,magicCureSlighte1,0,0,0,100,2,0
magicCureMedium,magicCureMediume1,0,0,0,100,2,0
magicCureStrong,magicCureStronge1,0,0,0,100,2,0
buffMagic,buffMagice1,0,0,0,100,5,0
buffAttack,buffAttacke1,0,0,0,100,5,0
debuffDefense,debuffDefensee1,0,0,0,100,6,0
bossJiuweihu1,bossJiuweihu1e1,0,0,0,100,2,0
bossJiuweihu2,bossJiuweihu2e1,0,0,0,100,2,0
bossJiuweihu3,bossJiuweihu3e1,0,0,0,100,2,0
bossJiuweihu4,bossJiuweihu4e1,0,0,0,100,2,0
ultErshu,demoershuDazhaoe1,0,10,100,0,9,0
ultQingniao,demoqingniaoDazhaoe1,0,10,100,0,9,0
ultZhuyan,demoDazhao,5,10,100,0,8,0
bossHundun,bossHundune1,0,0,0,0,1,0
