#NUM,NUM,NUM,NUM,NUM,NUM,NUM,NUM,NUM,NUM
level,experience,health,strength,intelligence,speed,defense,endurance,recovery,output
#等级,升级所需经验,体力,力量,智力,速度,防御力,耐力,战后回血,产出经验
12,123,234,345,456,567,678,789,1233,2010
13,124,235,346,457,568,679,790,1234,2011
14,125,236,347,458,569,680,791,1235,2012
15,126,237,348,459,570,681,792,1236,2013
16,127,238,349,460,571,682,793,1237,2014
17,128,239,350,461,572,683,794,1238,2015
18,129,240,351,462,573,684,795,1239,2016
19,130,241,352,463,574,685,796,1240,2017
20,131,242,353,464,575,686,797,1241,2018
21,132,243,354,465,576,687,798,1242,2019
22,133,244,355,466,577,688,799,1243,2020
23,134,245,356,467,578,689,800,1244,2021
24,135,246,357,468,579,690,801,1245,2022
25,136,247,358,469,580,691,802,1246,2023
26,137,248,359,470,581,692,803,1247,2024
27,138,249,360,471,582,693,804,1248,2025
28,139,250,361,472,583,694,805,1249,2026
50,0,250,100,100,100,100,0,0,0
