#TEXT,NUM,NUM,NUM,FLOAT,FLOAT,NUM,NUM,TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,NUM,NUM,NUM,NUM
id,isDamagePoint,health,isTarget,damageRate1,damageRate2,property1,property2,node,findWpEffect,appraisalStateEffect,stateparam0,stateparam1,stateparam2,stateparam3,stateparam4,initialStatus,tipType,tipOffsetX,tipOffsetY
#弱点id,是否关联boss减血,弱点hp,ai选择目标是否可以选择到,弱点系数（正常状态1),弱点系数( 正常状态2),弱点五行(正常状态1),弱点五行(正常状态2),弱点的节点,开始鉴定效果,完成鉴定效果,状态0对应参数,状态1对应参数,状态2对应参数,状态3对应参数,状态4对应参数,部位初始状态(0 隐藏，1正常状态1，2正常状态2，3冻结，4死亡,提示信息类别(0 不做提示，1 提示介绍信息 2 提示五行),提示信息偏移,提示信息偏移
1jiuweihu_wp1,1,-1,1,0.7,0.7,-1,-1,jiuweihu_wp1,effect/battle/findweakpointEffect,effect/battle/weakpointEffect1,"{""mesh"":""test1"",""effect"":""test2""}",,"{""mesh"":""test1"",""effect"":""test3""}",,"{""mesh"":""test1"",""effect"":""test4""}",1,1,0,0
1jiuweihu_wp2,1,200,1,0.45,0.45,1,1,jiuweihu_wp1,effect/battle/findweakpointEffect,effect/battle/weakpointEffect1,"{""mesh"":""test1"",""effect"":""test3""}",,"{""mesh"":""test1"",""effect"":""test4""}",,"{""mesh"":""test1"",""effect"":""test5""}",0,1,0,0
1jiuweihu_wp3,0,200,1,0.45,0.45,2,2,jiuweihu_wp1,effect/battle/findweakpointEffect,effect/battle/weakpointEffect1,"{""mesh"":""test1"",""effect"":""test4""}",,"{""mesh"":""test1"",""effect"":""test5""}",,"{""mesh"":""test1"",""effect"":""test6""}",1,1,0,0
1jiuweihu_wp4,0,200,0,0.45,0.45,3,3,jiuweihu_wp1,effect/battle/findweakpointEffect,effect/battle/weakpointEffect1,,,,,,0,1,0,0
jiuweihu_ruodian_1,1,9999999,1,1,1,-1,-1,e_ruodian_10,effect/battle/findweakpointEffect,effect/battle/weakpointEffect1,,,,,,1,1,0,0
jiuweihu_ruodian_2,1,200,0,0.5,1,1,2,e_ruodian_01,effect/battle/findweakpointEffect,effect/battle/weakpointEffect2,"{""mesh"":"""",""effect"":""""}","{""mesh"":""jiuweihu_weiba1_state1"",""effect"":""jiuweihuweiba1_state1""}","{""mesh"":""jiuweihu_weiba1_state2"",""effect"":""jiuweihuweiba1_state2""}","{""mesh"":""jiuweihu_weiba1_frozen"",""effect"":""jiuweihuweiba1_frozen""}","{""mesh"":""jiuweihu_weiba1_dead"",""effect"":""jiuweihuweiba1_dead""}",0,2,-150,60
jiuweihu_ruodian_3,0,200,0,1,1,1,1,e_ruodian_02,effect/battle/findweakpointEffect,effect/battle/weakpointEffect1,"{""mesh"":"""",""effect"":""""}","{""mesh"":""jiuweihu_weiba2_state1"",""effect"":""jiuweihuweiba2_state1""}","{""mesh"":""jiuweihu_weiba2_state2"",""effect"":""jiuweihuweiba2_state2""}","{""mesh"":""jiuweihu_weiba2_frozen"",""effect"":""jiuweihuweiba2_frozen""}","{""mesh"":""jiuweihu_weiba2_dead"",""effect"":""jiuweihuweiba2_dead""}",1,2,-120,60
jiuweihu_ruodian_4,1,200,0,0.5,0.5,-1,-1,e_ruodian_03,effect/battle/findweakpointEffect,effect/battle/weakpointEffect2,,,,,,1,2,-100,60
jiuweihu_ruodian_5,0,200,0,1,1,2,2,e_ruodian_04,effect/battle/findweakpointEffect,effect/battle/weakpointEffect1,,,,,,1,2,-80,50
