#TEXT,TEXT,NUM,NUM,NUM,NUM,NUM,FLOAT
id,rootEffectID,actionCount,channelTime,energyCost,energyGenerate,category,levelAdjust
#id,rootEffectID,操作次数,引导时间,energyCost,energyGenerate,category,levelAdjust
s1,e1,0,0,0,10,0,0
s2,e2,0,0,0,10,0,0
s3,e2,3,5,100,0,0,0
lazy,lazye1,0,0,0,0,7,0
defend,defende1,0,0,0,0,3,0
attackSlight,attackSlighte1,0,0,0,20,0,0
attackMedium,attackMediume1,0,0,0,20,0,0
attackStrong,attackStronge1,0,0,0,20,0,0
attackTriSlight,attackTriSlighte1,0,0,0,20,0,0
attackTriMedium,attackTriMediume1,0,0,0,20,0,0
attackTriStrong,attackTriStronge1,0,0,0,20,0,0
magicMetalSlight,magicMetalSlighte1,0,0,0,20,1,0
magicMetalMedium,magicMetalMediume1,0,0,0,20,1,0
magicMetalStrong,magicMetalStronge1,0,0,0,20,1,0
magicPlantSlight,magicPlantSlighte1,0,0,0,20,1,0
magicPlantMedium,magicPlantMediume1,0,0,0,20,1,0
magicPlantStrong,magicPlantStronge1,0,0,0,20,1,0
magicWaterSlight,magicWaterSlighte1,0,0,0,20,1,0
magicWaterMedium,magicWaterMediume1,0,0,0,20,1,0
magicWaterStrong,magicWaterStronge1,0,0,0,20,1,0
magicFireSlight,magicFireSlighte1,0,0,0,20,1,0
magicFireMedium,magicFireMediume1,0,0,0,20,1,0
magicFireStrong,magicFireStronge1,0,0,0,20,1,0
magicEarthSlight,magicEarthSlighte1,0,0,0,20,1,0
magicEarthMedium,magicEarthMediume1,0,0,0,20,1,0
magicEarthStrong,magicEarthStronge1,0,0,0,20,1,0
magicCureSlight,magicCureSlighte1,0,0,0,20,2,0
magicCureMedium,magicCureMediume1,0,0,0,20,2,0
magicCureStrong,magicCureStronge1,0,0,0,20,2,0
buffMagic,buffMagice1,0,0,0,20,5,0
buffAttack,buffAttacke1,0,0,0,20,5,0
debuffDefense,debuffDefensee1,0,0,0,20,6,0
bossJiuweihu1,bossJiuweihu1e1,0,0,0,20,2,0
bossJiuweihu2,bossJiuweihu2e1,0,0,0,20,2,0
bossJiuweihu3,bossJiuweihu3e1,0,0,0,20,2,0
bossJiuweihu4,bossJiuweihu4e1,0,0,0,20,2,0
ultErshu,demoDazhao,5,10,100,0,8,0
ultQingniao,demoDazhao,5,10,100,0,8,0
ultZhuyan,demoDazhao,5,10,100,0,8,0
