#TEXT,NUM,FLOAT,FLOAT,TEXT,NUM,NUM,TEXT,TEXT,TEXT
id,level,lifeCoef,attackCoef,sceneID,dazhaoGroup,dazhaoAdjust,battleLevelList,battleBoss,backgroundmusic
#????id,#??????????,#???????,#???????,#??????,??δ??й??????????????,???й??????????,??????б?,#boss???,????????
demo,30,1,1,forest,10,3,"[""demo_1_level1"",""demo_1_level2""]",boss_jiuweihu_level,
yueguangsenlin11,15,0.45,0.3,forest,10,3,"[""yueguangsenlin11Level1"",""yueguangsenlin11Level2""]",yueguangsenlin11Boss1,bg_yueguangsenlin11
yueguangsenlin12,15,0.45,0.35,forest1,10,3,"[""yueguangsenlin12Level1"",""yueguangsenlin12Level2""]",yueguangsenlin12Boss1,bg_yueguangsenlin12
yueguangsenlin14,15,0.4,0.45,forest,10,3,"[""yueguangsenlin14Level1"",""yueguangsenlin14Level2""]",yueguangsenlin14Boss1,bg_yueguangsenlin14
yueguangsenlin17,15,0.45,0.45,forest1,10,3,"[""yueguangsenlin17Level1"",""yueguangsenlin17Level2""]",yueguangsenlin17Boss1,bg_yueguangsenlin17
yueguangsenlin18,15,0.45,0.4,forest2,10,3,"[""yueguangsenlin18Level1"",""yueguangsenlin18Level2""]",yueguangsenlin18Boss1,bg_yueguangsenlin18
minghe12,40,0.5,0.5,minghe1,10,3,"[""minghe12Level1"",""minghe12Level2""]",minghe12Boss1,bg_minghe12
minghe13,40,0.45,0.5,minghe1,10,3,"[""minghe13Level1"",""minghe13Level2""]",minghe13Boss1,bg_minghe13
minghe14,40,0.5,0.4,minghe1,10,3,"[""minghe14Level1"",""minghe14Level2""]",minghe14Boss1,bg_minghe14
minghe17,40,0.55,0.55,minghe2,10,3,"[""minghe17Level1"",""minghe17Level2""]",minghe17Boss1,bg_minghe17
minghe18,40,0.5,0.45,minghe2,10,3,"[""minghe18Level1"",""minghe18Level2""]",minghe18Boss1,bg_minghe18
