#NUM,TEXT,TEXT,NUM,NUM,TEXT,TEXT,TEXT
id,comments,image,type,time,level,basicReward,extraReward
#id,注释,冒险图片,类型,时间档位,玩家等级段,基础奖励id,额外奖励id
1,强化石宝藏5h,damaoxian_qianghuashi1,1,1,"1,30",advanture5_base1,readvanture105_extra1
2,强化石宝藏5h,damaoxian_qianghuashi1,1,1,"31,50",advanture5_base2,readvanture105_extra2
3,强化石宝藏5h,damaoxian_qianghuashi1,1,1,"51,99",advanture5_base3,readvanture105_extra3
4,强化石宝藏8h,damaoxian_qianghuashi2,1,2,"1,30",advanture8_base1,readvanture108_extra1
5,强化石宝藏8h,damaoxian_qianghuashi2,1,2,"31,50",advanture8_base2,readvanture108_extra2
6,强化石宝藏8h,damaoxian_qianghuashi2,1,2,"51,99",advanture8_base3,readvanture108_extra3
7,强化石宝藏12h,damaoxian_qianghuashi3,1,3,"1,30",advanture12_base1,readvanture112_extra1
8,强化石宝藏12h,damaoxian_qianghuashi3,1,3,"31,50",advanture12_base2,readvanture112_extra2
9,强化石宝藏12h,damaoxian_qianghuashi3,1,3,"51,99",advanture12_base3,readvanture112_extra3
10,进阶石宝藏5h,damaoxian_jingjieshi1,2,1,"1,30",advanture5_base1,readvanture205_extra1
11,进阶石宝藏5h,damaoxian_jingjieshi1,2,1,"31,50",advanture5_base2,readvanture205_extra2
12,进阶石宝藏5h,damaoxian_jingjieshi1,2,1,"51,99",advanture5_base3,readvanture205_extra3
13,进阶石宝藏8h,damaoxian_jingjieshi2,2,2,"1,30",advanture8_base1,readvanture208_extra1
14,进阶石宝藏8h,damaoxian_jingjieshi2,2,2,"31,50",advanture8_base2,readvanture208_extra2
15,进阶石宝藏8h,damaoxian_jingjieshi2,2,2,"51,99",advanture8_base3,readvanture208_extra3
16,进阶石宝藏12h,damaoxian_jingjieshi3,2,3,"1,30",advanture12_base1,readvanture212_extra1
17,进阶石宝藏12h,damaoxian_jingjieshi3,2,3,"31,50",advanture12_base2,readvanture212_extra2
18,进阶石宝藏12h,damaoxian_jingjieshi3,2,3,"51,99",advanture12_base3,readvanture212_extra3
19,boss巢穴5h,damaoxian_boss1,3,1,"1,30",advanture5_base1,readvanture305_extra1
20,boss巢穴5h,damaoxian_boss1,3,1,"31,50",advanture5_base2,readvanture305_extra2
21,boss巢穴5h,damaoxian_boss1,3,1,"51,99",advanture5_base3,readvanture305_extra3
22,boss巢穴8h,damaoxian_boss2,3,2,"1,30",advanture8_base1,readvanture308_extra1
23,boss巢穴8h,damaoxian_boss2,3,2,"31,50",advanture8_base2,readvanture308_extra2
24,boss巢穴8h,damaoxian_boss2,3,2,"51,99",advanture8_base3,readvanture308_extra3
25,boss巢穴12h,damaoxian_boss3,3,3,"1,30",advanture12_base1,readvanture312_extra1
26,boss巢穴12h,damaoxian_boss3,3,3,"31,50",advanture12_base2,readvanture312_extra2
27,boss巢穴12h,damaoxian_boss3,3,3,"51,99",advanture12_base3,readvanture312_extra3
