#TEXT,TEXT
asset,bundle
璧勬簮鍚?鍖呭悕
BattleCameraRoot,camera
UICamera,camera
money,dropitems
prop,dropitems
jingbishilian,jbsl
simpleShadow,shadow
dazhaoFocusScene,battlescene/dazhaofocus
dazhaoFocusSceneMagic,battlescene/dazhaofocus
zhaoyaojinguitexiao,effect/battle
ruodian_tishi,effect/battle
ruodian,effect/battle
ruodian_jiandinghou,effect/battle
zhandou_fuhuo,effect/battle
zhaoyaojing,effect/battle
xialuo,effect/battle
ruodian_jiandingzhong,effect/battle
zhaoyaojingbaozhatexiao,effect/battle
dazhao_mubu,effect/battle
dazhao_mubu_h,effect/battle
feizou,effect/battle
juqihuanguai,effect/battle
ultMomopre_rhand,effect/particle
dazhao_wulimubu,effect/particle
ultLuoxinfuPre02,effect/particle
commonDebuff,effect/particle
ultyifulite5Pre,effect/particle
meidushashefa2,effect/particle
ultxiaochou2Hit_weapon,effect/particle
ultLadong5pre1_hit,effect/particle
magicMetalColumnp,effect/particle
ultSheshouzuo3pre_lhand,effect/particle
ultyifulite5Pre_wuqi,effect/particle
meidushaKuangbao,effect/particle
ultxiaochou4qungong_pre,effect/particle
ultAnpushaPre,effect/particle
attackWaterSlight,effect/particle
ultxiaochou3Hit,effect/particle
commonBuffSpeed,effect/particle
ultdatiangou4pre_bossbuff_hand,effect/particle
bd_hudunshouji,effect/particle
bossxiaoxiang28Muling4,effect/particle
bd_wulixishou,effect/particle
attackPlantStab,effect/particle
ultxiyiren3Pre,effect/particle
ultWushi4_bossbuff,effect/particle
ultmijiale4pre,effect/particle
ultKairuisi4pre_daoguang,effect/particle
ultHuoniao3pre_hit,effect/particle
attackMetalCut,effect/particle
ultxiaochou2Hit,effect/particle
bd_xuanyun,effect/particle
bd_mofaxishou,effect/particle
ultdatiangou4pre,effect/particle
bd_zhadan,effect/particle
ulthuangjinzhiling1_1pre,effect/particle
magicFireBallp,effect/particle
ultdatiangou4pre_bossbuff,effect/particle
ultlongnv3pre_weapon,effect/particle
attackMetalSlight,effect/particle
ultWendige2Pre,effect/particle
ultDujiaoshou5pre_Spine,effect/particle
attackMetalSmash,effect/particle
plane_00110,effect/particle
ulthetong_bossfennu,effect/particle
ultmogurenpre4,effect/particle
ultZouyincaoPre,effect/particle
medusaDead,effect/particle
magicEarthColumnp,effect/particle
magicMetalBallp,effect/particle
ulthuoniao4pre_Neck,effect/particle
ultBingxuenvwang3pre,effect/particle
commonDebuffSpeed,effect/particle
ultmijiale1pre_wuqi,effect/particle
ultLuoxinfuPre,effect/particle
attackEarthSlight,effect/particle
fashu_dazhao_bing_bao,effect/particle
ultDujiaoshou1pre_rhand,effect/particle
ultnvyao5Pre,effect/particle
ulthuangjinzhiling2_1pre,effect/particle
ultSheshouzuo3pre2_lhand,effect/particle
bd_jinzhihuifu,effect/particle
ulthehuaisituosi4pre1_hand,effect/particle
ultnvyao5Pre1,effect/particle
ultshuigui3Pre,effect/particle
ultWendige3Pre,effect/particle
ulthehuaisituosi4pre5,effect/particle
fashudazhao_baoqi,effect/particle
ultWaguiPre,effect/particle
ultjiuweihu4pre_1_hand,effect/particle
magicFireColumnp,effect/particle
utlChange1pre_Spine,effect/particle
ulthuoniao3pre,effect/particle
ultxiaochou3Pre,effect/particle
attackPlantCut,effect/particle
fashu_dazhao_huo_qungong,effect/particle
ultxiaochou4Pre_weapon,effect/particle
ultmijiale1pre,effect/particle
meidushashefa1,effect/particle
ultLadong5pre3_head,effect/particle
