#TEXT,NUM,NUM,TEXT,TEXT,TEXT
stageLevel,playerlevelDemand,successRate,levelDemand,punchDemand,decompose
#品质_强化等级,玩家等级限制,成功率,强化、升阶消耗列表,开孔消耗列表,分解获得列表
1_0,1,1,,,1_2_100
1_1,1,1,"3_11001_1,1_2_100",,1_2_110
1_2,2,1,"3_11001_1,1_2_150",,1_2_125
1_3,3,1,"3_11001_2,1_2_200",,1_2_145
1_4,4,1,"3_11001_2,1_2_250",,1_2_170
1_5,5,1,"3_11001_2,1_2_300",,1_2_200
1_6,6,1,"3_11001_3,1_2_350",,1_2_235
1_7,7,1,"3_11001_3,1_2_400",,1_2_275
1_8,8,1,"3_11001_4,1_2_450",,1_2_325
1_9,9,1,"3_11001_5,1_2_500",,1_2_385
2_0,10,1,"3_10005_2,1_2_5000",,1_2_885
2_1,11,1,"3_11002_1,1_2_1000",,1_2_985
2_2,12,1,"3_11002_2,1_2_1100",,1_2_1095
2_3,13,1,"3_11002_2,1_2_1200",,1_2_1215
2_4,14,1,"3_11002_3,1_2_1300",,1_2_1345
2_5,15,1,"3_11002_4,1_2_1400",,1_2_1495
2_6,16,1,"3_11002_5,1_2_1500",,1_2_1680
2_7,17,1,"3_11002_6,1_2_1600",,1_2_1895
2_8,18,1,"3_11002_8,1_2_1700",,1_2_2135
2_9,19,1,"3_11002_10,1_2_1800",,1_2_2435
3_0,20,1,"3_10005_8,1_2_15000","1_2_100,3_10007_1",1_2_3935
3_1,22,1,"3_11002_4,1_2_2000","1_2_100,3_10007_1",1_2_4135
3_2,24,1,"3_11002_5,1_2_2100","1_2_100,3_10007_1",1_2_4345
3_3,26,1,"3_11002_6,1_2_2200","1_2_100,3_10007_1",1_2_4565
3_4,28,1,"3_11002_7,1_2_2300","1_2_100,3_10007_1",1_2_4800
3_5,30,1,"3_11002_8,1_2_2400","1_2_100,3_10007_1",1_2_5075
3_6,32,1,"3_11002_10,1_2_2500","1_2_100,3_10007_1",1_2_5390
3_7,34,1,"3_11002_13,1_2_2600","1_2_100,3_10007_1",1_2_5760
3_8,36,1,"3_11002_15,1_2_2700","1_2_100,3_10007_1",1_2_6200
3_9,38,1,"3_11002_20,1_2_2800","1_2_100,3_10007_1",1_2_6770
4_0,40,1,"3_10005_30,1_2_30000,3_10018_1","1_2_100,3_10007_1",1_2_9750
4_1,41,1,"3_11003_4,1_2_5200","1_2_100,3_10007_1",1_2_10290
4_2,42,1,"3_11003_6,1_2_5400","1_2_100,3_10007_1",1_2_10855
4_3,43,1,"3_11003_7,1_2_5600","1_2_100,3_10007_1",1_2_11470
4_4,44,1,"3_11003_8,1_2_5800","1_2_100,3_10007_1",1_2_12160
4_5,45,1,"3_11003_10,1_2_6000","1_2_100,3_10007_1",1_2_13000
4_6,46,1,"3_11003_14,1_2_6200","1_2_100,3_10007_1",1_2_14050
4_7,47,1,"3_11003_18,1_2_6400","1_2_100,3_10007_1",1_2_15330
4_8,48,1,"3_11003_23,1_2_6600","1_2_100,3_10007_1",1_2_17000
4_9,49,1,"3_11003_25,1_2_6800","1_2_100,3_10007_1",1_2_18700
5_0,50,1,"3_10005_65,1_2_60000,3_10019_1","1_2_100,3_10007_1",1_2_24700
5_1,52,1,"3_11003_12,1_2_10000","1_2_100,3_10007_1",1_2_25800
5_2,54,1,"3_11003_15,1_2_10300","1_2_100,3_10007_1",1_2_27150
5_3,56,1,"3_11003_20,1_2_10600","1_2_100,3_10007_1",1_2_29000
5_4,58,1,"3_11003_32,1_2_10900","1_2_100,3_10007_1",1_2_31000
5_5,60,1,"3_11003_45,1_2_11200","1_2_100,3_10007_1",1_2_34000
5_6,62,1,"3_11003_67,1_2_11500","1_2_100,3_10007_1",1_2_38000
5_7,64,1,"3_11003_74,1_2_11800","1_2_100,3_10007_1",1_2_42000
5_8,66,1,"3_11003_80,1_2_12100","1_2_100,3_10007_1",1_2_46000
5_9,68,1,"3_11003_94,1_2_12400","1_2_100,3_10007_1",1_2_50000
6_0,70,1,"3_10005_120,1_2_100000,3_10020_1","1_2_100,3_10007_1",1_2_60000
6_1,51,0.9,"3_11003_8,1_2_190000","1_2_100,3_10007_1",
6_2,52,0.85,"3_11003_8,1_2_210000","1_2_100,3_10007_1",
6_3,53,0.8,"3_11003_8,1_2_230000","1_2_100,3_10007_1",
6_4,54,0.75,"3_11003_8,1_2_250000","1_2_100,3_10007_1",
6_5,55,0.7,"3_11003_8,1_2_270000","1_2_100,3_10007_1",
6_6,56,0.65,"3_11003_8,1_2_290000","1_2_100,3_10007_1",
6_7,57,0.6,"3_11003_8,1_2_330000","1_2_100,3_10007_1",
6_8,58,0.55,"3_11003_8,1_2_370000","1_2_100,3_10007_1",
6_9,59,0.5,"3_11003_8,1_2_400000","1_2_100,3_10007_1",
