#NUM,NUM,TEXT,TEXT,NUM,TEXT,TEXT,NUM,TEXT
id,page,comments,name,cycle,goalType,goalParam,goalCount,reward
#任务id,礼包页id,注释,名称,循环性,目标类型,目标参数,目标值,奖励id
6,102,第1天,102_name1,1,loginall,,1,102_reward1
7,102,第2天,102_name2,1,loginall,,2,102_reward2
8,102,第3天,102_name3,1,loginall,,3,102_reward3
9,102,第4天,102_name4,1,loginall,,4,102_reward4
10,102,第5天,102_name5,1,loginall,,5,102_reward5
11,103,第2天,103_name1,1,logincontinue,,2,103_reward1
12,103,第3天,103_name2,1,logincontinue,,3,103_reward2
13,103,第5天,103_name3,1,logincontinue,,5,103_reward3
14,103,第7天,103_name4,1,logincontinue,,7,103_reward4
15,103,第10天,103_name5,1,logincontinue,,10,103_reward5
16,103,第15天,103_name6,1,logincontinue,,15,103_reward6
17,104,5级,104_name1,1,level,,5,104_reward1
18,104,10级,104_name2,1,level,,10,104_reward2
19,104,15级,104_name3,1,level,,15,104_reward3
20,104,20级,104_name4,1,level,,20,104_reward4
21,104,25级,104_name5,1,level,,25,104_reward5
22,104,30级,104_name6,1,level,,30,104_reward6
23,105,登录,105_name1,1,free,,1,105_reward
24,106,许愿5次,106_name1,2,guildpray,,1,106_reward1
25,106,购买金币30次,106_name2,2,instance-x,zhifuletu1|zhifuletu2|zhifuletu3|zhifuletu4|zhifuletu5|midasigong1|midasigong2|midasigong3|midasigong4|midasigong5,3,106_reward2
26,106,竞技场50次,106_name3,2,arenaenter,,5,106_reward3
27,106,副本100次,106_name4,2,all,,10,106_reward4
30,110,累计登录1天,110_name1,1,loginall,,1,110_reward1
31,110,累计登录2天,110_name2,1,loginall,,2,110_reward2
32,110,累计登录3天,110_name3,1,loginall,,3,110_reward3
33,110,累计登录4天,110_name4,1,loginall,,4,110_reward4
34,110,累计登录5天,110_name5,1,loginall,,5,110_reward5
35,110,累计登录6天,110_name6,1,loginall,,6,110_reward6
36,110,累计登录7天,110_name7,1,loginall,,7,110_reward7
37,110,累计登录8天,110_name8,1,loginall,,8,110_reward8
38,110,累计登录9天,110_name9,1,loginall,,9,110_reward9
39,110,累计登录10天,110_name10,1,loginall,,10,110_reward10
40,110,累计登录11天,110_name11,1,loginall,,11,110_reward11
41,110,累计登录12天,110_name12,1,loginall,,12,110_reward12
