#TEXT,NUM,NUM,TEXT,TEXT,TEXT,TEXT,TEXT,NUM,NUM,NUM,NUM,NUM,NUM,TEXT,TEXT,NUM,NUM,TEXT
id,pauseInfo,showMirror,speechID,tipsID,hintUI,hintStyle,endEvent,lastRound,lastSec,hintSlot,hintRot,tipsX,tipsY,failedEvent,wpName,guideAni,showWp,showWpEffect
#教程step id,是否暂停大招,是否显示照妖镜,立绘对话id,提示语言id,提示框ui，2d关联提示框位置,提示框大小类型,结束当前step事件,持续回合,持续时间,触发者站位,旋转,偏移x,偏移y,failedEvent,wpName,guideAni,showWp,showWpEffect
g1_s1,0,0,,,,0,GBReachRound,2,0,-1,0,0,0,,,,0,
g1_s2,0,0,,guide_0dazhao,dazhao,0,GBCastDazhao,0,0,0,0,0,100,GBInterrupt,,,0,
g1_s2_1,1,0,,,,0,GBReachRound,1,0,-1,0,0,0,,,,0,
g1_s3,1,0,speech_0fightzhong,,,0,GBSpeechOver,0,0,-1,0,0,0,,,,0,
g1_s3_1,1,0,speech_0fightruodian,,,0,GBSpeechOver,0,0,-1,0,0,0,,,,0,
g1_s4,2,0,,guide_ruodian1,bossxinshouBingxuenvwang3wp02,0,,0,2,-3,0,10,-60,,,null,0,
g1_s4_1,2,0,,guide_ruodian2,weakpoint,0,,0,2,-1,0,10,-30,,bossxinshouBingxuenvwang3wp02,null,1,GuideUI_toueffect
g1_s4_3,2,0,,,nofocus,0,GBReachRound,0,2,-3,0,0,0,,bossxinshouBingxuenvwang3wp02,,4,
g1_s4_4,2,0,,,nofocus,0,GBReachRound,0,2.5,-3,0,10,-20,,bossxinshouBingxuenvwang3wp02,,2,GuideUI_toueffect
g1_s5,1,1,,guide_0zhaoyaojing,mirror,0,bossxinshouBingxuenvwang3wp02jd,0,0,-3,0,-10,-100,,bossxinshouBingxuenvwang3wp02,GuideUI_move_mirror,0,
g1_s6,1,1,speech_0fightjihuo,,,0,GBSpeechOver,0,0,-1,0,0,0,,,,0,
g1_s7,1,1,,guide_0jihuo,bossxinshouBingxuenvwang3wp02,0,bossxinshouBingxuenvwang3wp02jh,0,0,-3,0,50,0,,bossxinshouBingxuenvwang3wp02,,0,
g1_s8,1,1,speech_0fightjihuo1,,,0,GBSpeechOver,0,0,-1,0,0,0,,,,0,
g1_s9,1,1,,guide_0dazhao1,dazhao,0,GBCastDazhao,0,0,0,0,0,100,,,,0,
g2_s1,0,1,,guide_1PhyDazhao1,dazhao,0,ShowDazhaoTip,0,0,-2,0,0,50,GBInterrupt,,,0,
g2_s2,1,1,,guide_1PhyDazhao2,diandiandian,0,GBPhyClick,2,0,-3,0,0,-150,,,,0,
g3_s1,0,1,,guide_zhaoyaojing,mirror,0,GBClickZhaoyaojing,0,0,-3,0,170,-150,,bossdajie17Huapo2wp02,GuideUI_move_mirror,1,
g4_s1,0,1,,guide_zhaoyaojing,mirror,0,GBClickZhaoyaojing,0,0,-3,0,170,-150,,bossdajie12Mantuoluo2wp02,GuideUI_move_mirror,1,
g5_s1,0,1,,guide_huanguai1,null,0,,0,0,-2,0,0,120,GBInterrupt,,,0,
g6_s1,0,1,,guide_huanguai2,null,0,,0,0,-2,0,0,120,GBInterrupt,,,0,
g7_s1,0,1,,guide_Fadazhao,dazhao,0,GBCastDazhao,0,0,0,0,0,100,,,,0,
g8_s1,0,1,,guide_Picruodian1,weakpoint,0,bossdajie17Huapo2wp02,1,0,-1,0,50,0,bossdajie17Huapo2wp02_dead,,GuideUI_changan,0,
g8_s2,0,1,speech_kaijiaxing1,,,0,GBSpeechOver,0,0,-1,0,0,0,,,,0,
g9_s1,0,1,,guide_Picruodian2,weakpoint,0,bossdajie12Mantuoluo2wp02,1,0,-1,0,50,0,,,GuideUI_changan,0,
g10_s1,0,1,speech_kaijiaxing2,,,0,GBSpeechOver,0,0,-1,0,0,0,,,,0,
g11_s1,0,1,speech_element1,,,0,GBSpeechOver,0,0,-1,0,0,0,,,,0,
g11_s2,0,1,,guide_Jihuoxiaoguai,diandiandian,,GBFireFocus,2,0,-3,0,0,100,GBInterrupt,,,0,
g12_s1,0,1,speech_element2,,,0,GBSpeechOver,0,0,-1,0,0,0,,,,0,
g13_s1,0,1,speech_duoruodian,,,0,GBSpeechOver,0,0,-1,0,0,0,,bossdajie14Piying5wp04,,1,
g14_s1,0,1,speech_yincangruodian,,,0,GBSpeechOver,0,0,-1,0,0,0,,bossdajie18Ladong5wp02,,1,
g15_s1,2,1,,guide_ruodian5,bossdajie17Huapo2wp02,0,,0,2,-3,0,0,-100,,,null,0,
g16_s1_1,2,1,,guide_ruodian4,weakpoint,0,,0,2,-1,0,10,-30,,bossdajie17Huapo2wp02,null,1,GuideUI_toueffect
g16_s1_3,2,1,,,nofocus,0,GBReachRound,0,2,-3,0,0,0,,bossdajie17Huapo2wp02,,4,
g16_s1_4,2,1,,,nofocus,0,GBReachRound,0,2.5,-3,0,0,0,,bossdajie17Huapo2wp02,,2,
