#NUM,TEXT,TEXT,TEXT,NUM
Id,guidPurpose,finishOther,steps,finishAtStep
#id,教学目的,完成后同步完成的其它引导,新手引导步骤,完成任务时的步骤
1,抽蛋,2,2-3-4-5-150-145-146,5
7,副本选择+阵容选择,8,7-14-15-16-17-19,19
3,任务通关1-1界面操作（主界面开始）,4,61-71,71
4,任务通关1-1界面操作（结算界面开始）,3,105-71,71
5,合成宠物花魄（任务界面开始）,6,106-107-10-11-12,12
6,合成宠物花魄（主界面开始）,5,8-9-10-11-12,12
64,任务合成花魄界面操作（主界面开始）,65,61-71,71
65,任务合成花魄界面操作（任务界面开始）,64,71,71
56,上阵花魄提示性教学,,108,108
58,任务通关1-2界面操作（主界面开始）,59,61-111,111
59,任务通关1-2界面操作（结算界面开始）,58,110-111,111
62,合成宠物曼陀罗（任务界面开始）,63,114-115-116-12,12
63,合成宠物曼陀罗（主界面开始）,62,8-9-115-116-12,12
57,上阵曼陀罗提示性教学,,109,109
66,任务合成曼陀罗界面操作（主界面开始）,67,61-71,71
67,任务合成曼陀罗界面操作（任务界面开始）,66,71,71
13,宠物穿装备（结算界面开始）,14,121-122-13-18-30-31-37-38-39,31
14,宠物穿装备（主界面开始）,13,29-13-18-30-31-37-38-39,31
60,任务穿戴装备界面操作（主界面开始）,,61-71-144,71
73,任务通关1-3界面操作（任务界面开始）,74,71,71
74,任务通关1-3界面操作（结算界面开始）,73,61-71,71
75,任务通关1-4界面操作（主界面开始）,61,61-113,113
76,任务通关1-4界面操作（结算界面开始）,60,112-113,113
9,宠物吃经验药（任务界面开始）,10,117-21-20-22-23-24,23
10,宠物吃经验药（主界面开始）,9,120-21-20-22-23-24,23
68,宠物升技能（主界面开始）,69,125-126-127-128-129,128
69,宠物升技能（结算界面开始）,68,124-125-126-127-128-129,128
15,开启一个后备位,,32,32
16,商店教学,,33-34,34
23,试炼教学1,33,41-51-52,52
33,试炼教学2,23,41-51-53,53
24,通天塔教学,,42-54-55,55
25,PVP教学,,43-56-57,57
26,合成教学,27,44-58,44
27,合成教学（主界面加号没开）,26,1-44-58,44
28,大冒险教学1,,45-65-66-67-68-69-70-84-72-73,72
29,分解教学,30,46-77,46
30,分解教学（主界面加号没开）,29,1-46,46
31,公会教学1—未加入,,47-59,47
34,公会教学2—祈福,,60,60
35,公会教学3—任务,,62-63,63
36,公会教学4—基地,,64,64
37,大冒险教学2,,74-75-76,75
43,宠物进阶,,83-104-85-86,85
49,装备开孔1,50-51-52-53-54,93-94-95,94
50,装备开孔2,49-51-52-53-54,96-94-95,94
51,装备开孔3,49-50-52-53-54,97-94-95,94
52,装备开孔4,49-50-51-53-54,98-94-95,94
53,装备开孔5,49-50-51-52-54,99-94-95,94
54,装备开孔6,49-50-51-52-53,100-94-95,94
55,装备锁孔,,101-102-103,102
70,信仰之路教学,,130-131-132-133,130
71,世界boss教学,,134-135-136-137,134
72,挑战本教学,,138-139-140-141-142-143,143
77,碎片许愿教学,,147-148-149,147
78,助战教学,,151,151
