#TEXT,TEXT
id,itemRandom
#id,奖励列表: ItemType_ItemId_Count_(Stage_Level)_Price_Discount_Weight
1001,"3_50002_5_2_500_1.0_900,3_50003_3_2_2000_1.0_90,3_50004_1_2_8000_1.0_10"
1002,"3_50002_10_2_500_1.0_400,3_50003_5_2_2000_1.0_550,3_50004_2_2_8000_1.0_50"
1003,"3_50002_10_2_500_1.0_10,3_50003_10_2_2000_1.0_645,3_50004_3_2_8000_1.0_345"
1004,"3_50005_1_1_25_1.0_70,3_50005_1_1_25_0.8_20,3_50005_1_1_25_0.6_10,3_50006_1_1_65_1.0_35,3_50006_1_1_65_0.8_10,3_50006_1_1_65_0.6_5,3_50007_1_1_110_1.0_7,3_50007_1_1_110_0.8_2,3_50007_1_1_110_0.6_1"
1005,"4_70001_1_1_0_2_45000_1.0_100,4_70002_1_1_0_2_45000_1.0_100,4_70007_1_1_0_2_45000_1.0_100,4_70008_1_1_0_2_45000_1.0_100,4_70013_1_1_0_2_45000_1.0_100,4_70014_1_1_0_2_45000_1.0_100,4_70019_1_1_0_2_45000_1.0_100,4_70020_1_1_0_2_45000_1.0_100"
1006,"4_70003_1_1_0_2_45000_1.0_100,4_70005_1_1_0_2_45000_1.0_100,4_70009_1_1_0_2_45000_1.0_100,4_70011_1_1_0_2_45000_1.0_100,4_70015_1_1_0_2_45000_1.0_100,4_70017_1_1_0_2_45000_1.0_100,4_70021_1_1_0_2_45000_1.0_100,4_70023_1_1_0_2_45000_1.0_100"
1007,"4_70004_1_1_0_2_45000_1.0_100,4_70006_1_1_0_2_45000_1.0_100,4_70010_1_1_0_2_45000_1.0_100,4_70012_1_1_0_2_45000_1.0_100,4_70016_1_1_0_2_45000_1.0_100,4_70018_1_1_0_2_45000_1.0_100,4_70022_1_1_0_2_45000_1.0_100,4_70024_1_1_0_2_45000_1.0_100"
1008,"3_11001_5_2_3000_1.0_900,3_11001_5_2_3000_0.8_50,3_11002_3_2_10000_1.0_50"
1009,"3_11001_10_2_3000_1.0_370,3_11001_10_2_3000_0.8_30,3_11002_5_2_10000_1.0_560,3_11002_5_2_10000_0.8_40"
1010,"3_11001_10_2_3000_1.0_100,3_11002_10_2_10000_1.0_370,3_11002_10_2_10000_0.8_30,3_11003_5_2_30000_1.0_460,3_11003_5_2_30000_0.8_40"
1011,"3_10016_2_2_10000_1.0_200,3_10016_2_2_10000_0.8_100,3_10016_3_2_10000_1.0_100,3_10016_3_2_10000_0.8_50"
1012,"3_10016_4_2_10000_1.0_200,3_10016_4_2_10000_0.8_100,3_10016_5_2_10000_1.0_100,3_10016_5_2_10000_0.8_50"
1013,"3_10016_8_2_10000_1.0_200,3_10016_8_2_10000_0.8_100,3_10016_10_2_10000_1.0_100,3_10016_10_2_10000_0.8_50"
1014,"3_20046_5_1_5_1.0_100,3_20010_5_1_5_1.0_100,3_20005_5_1_5_1.0_100,3_20013_5_1_5_1.0_100,3_20009_5_1_5_1.0_100,3_20007_5_1_5_1.0_100,3_20066_5_1_5_1.0_100,3_20065_5_1_5_1.0_100,3_20021_5_1_5_1.0_100,3_20006_5_1_5_1.0_100,3_20004_5_1_5_1.0_100,3_20029_5_1_10_1.0_50,3_20063_5_1_10_1.0_50,3_20064_5_1_10_1.0_50,3_20067_5_1_10_1.0_50,3_20019_5_1_10_1.0_50,3_20028_5_1_10_1.0_50,3_20033_5_1_10_1.0_50,3_20044_5_1_10_1.0_50,3_20057_5_1_10_1.0_50,3_20059_5_1_10_1.0_50,3_20020_5_1_10_1.0_50,3_20022_5_1_10_1.0_50,3_20023_5_1_10_1.0_50,3_20014_5_1_10_1.0_50,3_20040_5_1_10_1.0_50,3_20017_5_1_10_1.0_50,3_20025_5_1_10_1.0_50,3_20030_5_1_10_1.0_50,3_20008_5_1_10_1.0_50,3_20011_5_1_10_1.0_50,3_20031_5_1_10_1.0_50,3_20039_5_1_10_1.0_50,3_20002_5_1_10_1.0_50,3_20058_5_1_10_1.0_50,3_20062_5_1_10_1.0_50"
1015,"3_10003_2_2_10000_1.0_300,3_10003_2_2_10000_0.8_150,3_10003_2_2_10000_0.6_50,3_10003_3_2_10000_1.0_300,3_10003_3_2_10000_0.8_150,3_10003_3_2_10000_0.6_50"
1017,3_50008_1_1_50_1.0_3050
1018,"3_50008_1_1_50_1.0_2550,3_50008_1_1_50_0.8_500,3_10007_5_1_10_1.0_2550,3_10007_5_1_10_0.8_500,3_40052_1_1_200_1.0_45,3_40052_1_1_200_0.8_5,3_10018_1_1_800_1.0_45,3_10018_1_1_800_0.8_5"
1019,"3_50008_1_1_50_1.0_2550,3_50008_1_1_50_0.8_500,3_10007_10_1_10_1.0_6100,3_10007_10_1_10_0.8_1000,3_40052_1_1_200_1.0_45,3_40052_1_1_200_0.8_5,3_10018_1_1_800_1.0_45,3_10018_1_1_800_0.8_5,3_40053_1_1_1000_1.0_9,3_40053_1_1_1000_0.8_1,3_10019_1_1_1600_1.0_10,3_10019_1_1_1600_0.8_1"
1024,"3_20024_5_3_24_1.0_50,3_20032_5_3_24_1.0_50,3_20038_5_3_24_1.0_50,3_20045_5_3_24_1.0_50,3_20050_5_3_24_1.0_50,3_20060_5_3_24_1.0_50,3_20056_5_3_24_1.0_50,3_20003_5_3_24_1.0_50,3_20035_5_3_24_1.0_50,3_20051_5_3_24_1.0_50,3_20042_5_3_24_1.0_50,3_20027_5_3_24_1.0_50,3_20055_5_3_24_1.0_50,3_20068_5_3_24_1.0_50,3_20071_5_3_24_1.0_50"
1025,"3_10018_1_4_45_1.0_800,3_10018_1_4_45_0.8_200"
1026,"3_10019_1_4_170_1.0_850,3_10019_1_4_170_0.8_150"
1027,"3_10020_1_4_640_1.0_900,3_10020_1_4_640_0.8_100"
1028,"3_10005_1_3_20_1.0_700,3_10005_1_3_20_0.8_100,3_10005_2_3_20_1.0_175,3_10005_2_3_20_0.8_25"
1029,"3_10005_2_3_20_1.0_450,3_10005_2_3_20_0.8_50,3_10005_4_3_20_1.0_450,3_10005_4_3_20_0.8_50"
1030,"3_10005_3_3_20_1.0_265,3_10005_3_3_20_0.8_35,3_10005_6_3_20_1.0_700,3_10005_6_3_20_0.8_100"
1031,"3_10024_1_4_30_1.0_100,3_10024_1_4_30_0.8_20"
1032,"3_10025_1_4_125_1.0_150,3_10025_1_4_125_0.8_20"
1033,"3_10026_1_4_535_1.0_200,3_10026_1_4_535_0.8_20"
1035,"3_10017_3_3_20_1.0_80,3_10017_3_3_20_0.8_20,3_10017_5_3_20_1.0_40,3_10017_5_3_20_0.8_10"
1036,"3_10017_7_3_20_1.0_80,3_10017_7_3_20_0.8_20,3_10017_10_3_20_1.0_80,3_10017_10_3_20_0.8_20"
1037,"3_10017_12_3_20_1.0_80,3_10017_7_3_20_0.8_20,3_10017_15_3_20_1.0_80,3_10017_15_3_20_0.8_20"
1041,"3_20024_5_3_11_1.0_50,3_20032_5_3_11_1.0_50,3_20038_5_3_11_1.0_50,3_20045_5_3_11_1.0_50,3_20050_5_3_11_1.0_50,3_20060_5_3_11_1.0_50,3_20056_5_3_11_1.0_50,3_20003_5_3_11_1.0_50,3_20035_5_3_11_1.0_50,3_20051_5_3_11_1.0_50,3_20042_5_3_11_1.0_50,3_20027_5_3_11_1.0_50,3_20055_5_3_11_1.0_50,3_20068_5_3_11_1.0_50,3_20071_5_3_11_1.0_50"
1042,"3_30001_1_1_100_1.0_100,3_30007_1_1_100_1.0_100,3_30013_1_1_100_1.0_100,3_30019_1_1_100_1.0_100,3_30025_1_1_100_1.0_100,3_30031_1_1_100_1.0_100,3_30037_1_1_100_1.0_100,3_30043_1_1_100_1.0_100,3_30049_1_1_100_1.0_100"
1043,"3_30002_1_1_600_1.0_100,3_30008_1_1_600_1.0_100,3_30014_1_1_600_1.0_100,3_30020_1_1_600_1.0_100,3_30026_1_1_600_1.0_100,3_30032_1_1_600_1.0_100,3_30038_1_1_600_1.0_100,3_30044_1_1_600_1.0_100,3_30050_1_1_600_1.0_100"
