#TEXT,TEXT,TEXT,TEXT
id,chinese,english,traditional
#文字Id,文字内容,文字内容,文字內容
name_10003_duihuanquan,扫荡券,Raid Ticket,掃蕩券
name_11001_chujizhuangbeiqianghuashi,初级灵铁,Basic Raw Iron,初級靈鐵
name_11002_zhongjizhuangbeiqianghuashi,中级灵铁,Average Raw Iron,中級靈鐵
name_11003_gaojizhuangbeiqianghuashi,高级灵铁,Advanced Raw Iron,高級靈鐵
name_10005_zhuangbeijinjieshi,妖力结晶,Crystal Ball,妖力結晶
name_10007_baoshikaikongcailiao,纹章开孔石,Insignia Stone,紋章開孔石
name_10009_baoxiangyaoshi1,木质宝箱钥匙,Deadwood Chest key,木質寶箱鑰匙
name_10010_baoxiangyaoshi2,白银宝箱钥匙,Gleaming Chest key,白銀寶箱鑰匙
name_10011_baoxiangyaoshi3,黄金宝箱钥匙,Golden Strongbox key,黃金寶箱鑰匙
name_10012_baoxiangyaoshi4,黄金宝箱钥匙,Gold Key,黃金寶箱鑰匙
name_10016_chongwuqianghuashi,贤者墨水,Sage's Ink,賢者墨水
name_10017_chongwujinjieshi,化形之书,Book of Transformation,化形之書
name_10021_gongpin,天使之羽,Angel's feather,天使之羽
name_10022_gongpin,恶魔之羽,Demon's feather,惡魔之羽
name_10023_gongpin,精灵之羽,Fairy's feather.,精靈之羽
name_20001_suipian_common,灵魂本源,Lore Cores,靈魂本源
name_20002_suipian_xiaochou3,小丑碎片（水）,Joker Fgmt(Water),小丑碎片（水）
name_20003_suipian_kairuisi4,凯瑞斯碎片（火）,Keres Fgmt(Fire),凱瑞斯碎片（火）
name_20004_suipian_hetong2,河童碎片（木）,Kappa Fgmt(Grass),河童碎片（木）
name_20005_suipian_wagui3,哇鬼碎片（水）,Phase Frog Fgmt(Water),哇鬼碎片（水）
name_20006_suipian_xiaochou4,小丑碎片（火）,Joker Fgmt(Fire),小丑碎片（火）
name_20007_suipian_cike4,火刺壳碎片（火）,Fireshell Fgmt(Fire),火刺殼碎片（火）
name_20008_suipian_panshen2,潘神碎片（木）,Pans Fgmt(Grass),潘神碎片（木）
