#TEXT,TEXT,TEXT
id,chinese,english
#文字Id,文字内容,文字内容
xgCike,火刺壳,Fireshell
xgWushi,舞狮,Dancing Lion
xgXiaochou,小丑,Joker
xgWagui,哇鬼,Phase Frog
xgBingyan,史莱姆,Slime
xgHetong,河童,Kappa
xgHuapo,花魄,Flower Pixie
xgXiyiren,蜥蜴人,Lizardman
bossdajie16Zouyincao2,走音草,Clinker Plant
xgPiying,皮影,Shadow Puppet
xgMengyan,梦魇,Bangungot
xgWeitianshi,伪天使,Fallen Angel
xgMomo,得莫菲,Demovoy
xgMantuoluo,曼陀罗,Mandrake
xgMendige,温迪戈,Wendigo
xgShuigui,幽灵船长,Soul Pirate
xgLangren,狼人,Werewolf
xgNvyao,报丧女妖,Banshee
xgLonggongtongzi,龙宫童子,Ryuku Doji
xgPanshen,潘神,Pans
xgHapi,哈皮,Harpy
xgDaochengsizhong,道成寺妖,Maiden Dojoji
xgHuoniao,火鸟,Firebird
xgHongniu,米诺到诺斯,Minotaur
xgChange,嫦娥,Moon Devine
xgDujiaoshou,独角兽,Pegasus
xgKairuisi,凯瑞斯,Keres
xgAmute,鳄鱼判官,Croc Warden
xgLuoxinfu,络新妇,Nephila
xgLongnv,龙女,Dragon Girl
xgJinglingwang,精灵王子,Elf Prince
xgIfrit,伊芙利特,Ifrit
xgSenlinyaoji,森林妖姬,Dryad
xgDatiangou,大天狗,Tengu
xgAnpusha,安普沙,Empusa
xgBingxuenvwang,冰雪女王,Chione
xgWendige,温迪戈,Wendigo
xgSaibulesi,地狱犬,Hellhound
xgYifulite,伊芙利特,Ifrit
xgMoguguai,蘑菇怪,Matango
xgTianshizhang,天使长,Archangel
Meidusha,美杜莎,Medusa
Hehuaisituosi,工匠之神,God of Craft
Jiuweihu,九尾,Nine Tails
Huangjinzhiling,黄金之灵,Soul of Gold
Datiangou,大天狗,Tengu
xgSheshouzuo,星空射手,Astro Archer
Ladong,守护龙,Guardian Dragon
bossxiaoxiang28Muling2,木灵,Kodama
Yimier,冰龙,Ice Dragon
Karong,卡戎,Charon
bossrenjie86Mameng4,玛蒙,Mammon
bossrenjie87Beiergefu5,贝尔哥夫,Belphegor
bossrenjie88Yafogemeng5,亚弗戈蒙,Aforgomon
xgKahuna2,多多洛,Troll Sayama
xgJinglingwang2,精灵王子,Elf Prince
xgYifanmumian1,一反木棉,Ittan Momen
xiaochoutips,想看我变戏法吗？,Who wants to see me juggle?
hetongtips,我……我想跟人类做朋友……,I… I would like to be friends with humans…
waguitips,呱~呱~呱~,Ribbit. Ribbit.
ciketips,我的忍道，一往无前！,I know kung-fu!
huapotips,可不要小瞧花朵的力量哦~,Don't underestimate flower power!
wusihtips,嗷嗷嗷~,Rawr.
xiyirentips,叽叽叽~入侵者只有一个下场！,"I'm a lizard, man."
piyingtips,有光的地方就有影！,"If there's light, there's shadows!"
momotips,接受大自然的馈赠，这是生存的真谛。,"Accept nature's gift, it is the meaning of survival."
shilaimutips,吞噬……变大……我要变得更大……,Must… Devour… More!!
mengyantips,对未知的恐惧，让噩梦永不落幕。,"Fear the unknown, so the nightmare never ends."
weitianshitips,………………,…
moguguaitips,蘑菇~蘑菇~蘑菇~,Get a life…
panshentips,哟~美人儿~可否赏光和我去喝个咖啡？,"Oh my beauty, would you join me for a cup of coffee?"
mantuoluotips,你们不要过来，再靠近我可要叫了……,Any closer and I'll scream…
longgongtongzitips,是你找到我的小乌龟吗？,Did you find my little turtle?
langrentips,啊！满月，我感觉身体充满了力量！,Oh full moon! I feel the power!
shuiguitips,想加入我的船队吗，不过代价是你的生命。,You may join me crew… But the price be yer life!
nvyaotips,请问，这里是通往葬礼的路吗？,"Excuse me, will the funeral procession be heading this way?"
hapitips,风中的精灵已经带给我你的消息了。,The spirits of the wind have already given my your message.
wendigetips,肉……肉……我好饿……,"Meat, meat, I must eat!"
daochengsizhongtips,为什么我爱的人，却一直躲着我……,Why do people I love avoid me… Is it my face?
hongniutips,在这迷宫中，我就是国王！,"In the labyrinth, I am king!"
huoniaotips,火炎，为我带来无尽的生命。,Deathly flames bring me endless life.
changetips,月亮又圆了，对我的囚禁却没有终结……,"The moon grows round again, but it ends not my captivity…"
saibulesitips,能从我面前通过的，只有死人！,Only the dead may pass before me!
sheshouzuotips,没有人能逃过我的弓箭，流星也不例外。,Nothing can escape my arrows… Including meteors!
kairuisitips,嘻嘻，你的灵魂，归我了哟~,"Hehe, your soul belongs to me!"
longnvtips,海的女儿，并不是只有小美人鱼一个。,Mermaids aren't the only girls in the sea…
luoxinfutips,要不要和我做一些危险的小游戏~,Who wants to play a game with me?
amutetips,生存还是死亡，这是个有趣的问题。,Life or death… An interesing question!
anpushatips,鲜血的气味，让我垂涎欲滴了呢~,The scent of fresh blood always makes my mouth water…
yifulitetips,燃烧吧，只有彻底的毁灭才会带来新生！,Burn it all! Only with complete destruction can something new be made!
datiangoutips,哎呀呀~你的气色不好呀，要不要我给你算上一卦？,"Hey you don't look so good, how about I tell your fortune?"
dujiaoshoutips,安睡吧，你将有一个好梦……,"Sleep, you will have a good dream…"
tianshizhangtips,圣光会制裁一切邪恶。,The light will banish all evil.
