#NUM,NUM,NUM,TEXT,TEXT,TEXT,TEXT,NUM,NUM,NUM,NUM,TEXT,TEXT,NUM,TEXT,NUM,NUM,TEXT,TEXT
id,group,type,comments,name,desc,icon,level,cycle,timeBeginId,timeEndId,goalType,goalParam,goalCount,rewardId,expK,expB,speechId,path
#任务Id,任务组,类别,注释,名称,任务描述,图标,接取等级,循环性,开放时间配置Id,关闭时间配置Id,目标类型,目标参数,目标值,奖励,经验系数k,经验系数b,后续对话Id,获取途径
1001,2,1,通关普通副本1-1,biaoti1001,mubiao1001,task_rmb_icon,1,1,-1,-1,instance-x,dajie11,1,10001,0,0,,1_dajie11
1002,2,1,通关普通副本1-2,biaoti1002,mubiao1002,task_rmb_icon,2,1,-1,-1,instance-x,dajie12,1,10002,0,0,,1_dajie12
1003,2,1,通关普通副本1-3,biaoti1003,mubiao1003,task_rmb_icon,3,1,-1,-1,instance-x,dajie13,1,10003,0,0,,1_dajie13
1004,2,1,通关普通副本1-4,biaoti1004,mubiao1004,task_rmb_icon,4,1,-1,-1,instance-x,dajie14,1,10004,0,0,,1_dajie14
1005,2,1,通关普通副本1-5,biaoti1005,mubiao1005,task_rmb_icon,5,1,-1,-1,instance-x,dajie15,1,10005,0,0,,1_dajie15
1006,2,1,通关普通副本1-6,biaoti1006,mubiao1006,task_rmb_icon,6,1,-1,-1,instance-x,dajie16,1,10006,0,0,,1_dajie16
1007,2,1,通关普通副本1-7,biaoti1007,mubiao1007,task_rmb_icon,6,1,-1,-1,instance-x,dajie17,1,10007,0,0,,1_dajie17
1008,2,1,通关普通副本1-8,biaoti1008,mubiao1008,task_rmb_icon,7,1,-1,-1,instance-x,dajie18,1,10008,0,0,,1_dajie18
1009,2,1,通关普通副本2-1,biaoti1009,mubiao1009,task_rmb_icon,7,1,-1,-1,instance-x,xiaoxiang11,1,10009,0,0,,1_xiaoxiang11
1010,2,1,通关普通副本2-2,biaoti1010,mubiao1010,task_rmb_icon,8,1,-1,-1,instance-x,xiaoxiang12,1,10010,0,0,,1_xiaoxiang12
