#TEXT,TEXT
id,reward
#id,奖励列表：ItemType_ItemId_Count_(Stage_(Level))_Ratio
110004,1_7_1_1
10101,"1_2_200_1.0,1_3_24_1.0,3_11001_1_1.0,3_11001_1_0.5,4_70001_1_1_0_0.33,3_40002_1_0.01"
10121,"1_2_200_1.0,1_3_24_1.0,3_11001_1_1.0,3_11001_1_0.5,3_40002_1_0.01"
10102,"1_2_250_1.0,1_3_24_1.0,3_11001_1_1.0,3_11001_1_0.5,4_70019_1_1_0_0.33,3_40002_1_0.01"
10122,"1_2_250_1.0,1_3_24_1.0,3_11001_1_1.0,3_11001_1_0.5,3_40002_1_0.01"
10103,"1_2_300_1.0,1_3_24_1.0,3_11001_1_1.0,3_11001_1_0.5,4_70007_1_1_0_0.33,3_40002_1_0.01"
10123,"1_2_300_1.0,1_3_24_1.0,4_70007_1_1_0_1.0,3_11001_2_1.0,3_40002_1_0.01"
10104,"1_2_350_1.0,1_3_24_1.0,3_10005_1_0.5,4_70013_1_1_0_0.33,3_40002_1_0.01"
10124,"1_2_350_1.0,1_3_24_1.0,4_70013_1_1_0_1.0,3_10005_1_0.5,3_40002_1_0.01"
10105,"1_2_400_1.0,1_3_24_1.0,3_11001_1_1.0,3_11001_1_0.5,4_70002_1_1_0_0.33,3_40002_1_0.01"
10125,"1_2_400_1.0,1_3_24_1.0,3_11001_1_1.0,3_11001_1_0.5,4_70002_1_1_0_1.0,3_40002_1_0.01"
10106,"1_2_450_1.0,1_3_24_1.0,3_11001_1_1.0,3_11001_1_0.5,4_70020_1_1_0_0.33,3_40002_1_0.01"
10107,"1_2_500_1.0,1_3_24_1.0,3_11001_1_1.0,3_11001_1_0.5,4_70008_1_1_0_0.33,3_40002_1_0.01"
10127,"1_2_500_1.0,1_3_24_1.0,3_11001_1_1.0,3_11001_1_0.5,4_70008_1_1_0_1.0,3_40002_1_0.01"
10108,"1_2_550_1.0,1_3_24_1.0,3_10005_1_0.5,4_70014_1_1_0_0.33,3_40002_1_0.01"
10201,"1_2_400_1.0,1_3_24_1.0,3_11001_3_1.0,3_11001_1_0.5,3_10003_1_0.2,4_70003_1_1_0_0.33,3_40002_1_0.01"
10221,"1_2_400_1.0,1_3_24_1.0,3_11001_3_1.0,3_11001_1_0.5,3_10003_1_1.0,4_70003_1_1_0_0.33,3_40002_1_0.01"
10202,"1_2_500_1.0,1_3_24_1.0,3_11001_3_1.0,3_11001_1_0.5,3_10003_1_0.2,4_70021_1_1_0_0.33,3_40002_1_0.01"
10203,"1_2_600_1.0,1_3_24_1.0,3_11001_3_1.0,3_11001_1_0.5,3_10003_1_0.2,4_70009_1_1_0_0.33,3_40002_1_0.01"
10204,"1_2_700_1.0,1_3_24_1.0,3_10003_1_0.2,3_10005_1_0.5,4_70015_1_1_0_0.33,3_40002_1_0.01"
10205,"1_2_800_1.0,1_3_24_1.0,3_11001_3_1.0,3_11001_1_0.5,3_10003_1_0.2,4_70005_1_1_0_0.33,3_40002_1_0.01"
10206,"1_2_900_1.0,1_3_24_1.0,3_11001_3_1.0,3_11001_1_0.5,3_10003_1_0.2,4_70023_1_1_0_0.33,3_40002_1_0.01"
10207,"1_2_1000_1.0,1_3_24_1.0,3_11001_3_1.0,3_11001_1_0.5,3_10003_1_0.2,4_70011_1_1_0_0.33,3_40002_1_0.01"
10208,"1_2_1100_1.0,1_3_24_1.0,3_10003_1_0.2,3_10005_1_1.0,4_70017_1_1_0_0.33,3_40002_1_0.01"
10111,"1_2_26_1.0,3_50002_1_0.7"
10112,"1_2_30_1.0,3_50002_1_1.0"
10113,"1_2_35_1.0,3_50002_1_1.0"
10114,"1_2_41_1.0,3_50002_1_1.0"
10115,"1_2_46_1.0,3_50002_1_1.0"
10116,"1_2_53_1.0,3_50002_1_1.0"
10117,"1_2_57_1.0,3_50002_1_1.0"
10118,"1_2_62_1.0,3_50002_1_1.0"
10211,"1_2_75_1.0,3_50002_1_1.0"
10212,"1_2_82_1.0,3_50002_2_1.0"
10213,"1_2_90_1.0,3_50002_2_1.0"
10214,"1_2_105_1.0,3_50002_2_1.0"
10215,"1_2_118_1.0,3_50002_2_1.0"
10216,"1_2_134_1.0,3_50002_3_1.0"
10217,"1_2_158_1.0,3_50002_3_1.0"
10218,"1_2_175_1.0,3_50002_3_1.0"
10301,"1_2_500_1.0,1_3_24_1.0,3_11001_5_1,3_11001_1_0.5,3_10003_1_0.2,4_70004_1_1_0_0.33,3_40002_1_0.01"
10302,"1_2_600_1.0,1_3_24_1.0,3_11001_5_1,3_11001_1_0.5,3_10003_1_0.2,4_70022_1_1_0_0.33,3_40002_1_0.01"
10303,"1_2_700_1.0,1_3_24_1.0,3_11001_5_1,3_11001_1_0.5,3_10003_1_0.2,4_70010_1_1_0_0.33,3_40002_1_0.01"
10304,"1_2_800_1.0,1_3_24_1.0,3_10003_1_0.2,3_10005_1_1.0,4_70016_1_1_0_0.33,3_40002_1_0.01"
10305,"1_2_900_1.0,1_3_24_1.0,3_11001_5_1,3_11001_1_0.5,3_10003_1_0.2,4_70006_1_1_0_0.33,3_40002_1_0.01"
10306,"1_2_1000_1.0,1_3_24_1.0,3_11001_5_1,3_11001_1_0.5,3_10003_1_0.2,4_70024_1_1_0_0.33,3_40002_1_0.01"
10307,"1_2_1100_1.0,1_3_24_1.0,3_11001_5_1,3_11001_1_0.5,3_10003_1_0.2,4_70012_1_1_0_0.33,3_40002_1_0.01"
10308,"1_2_1200_1.0,1_3_24_1.0,3_10003_1_0.2,3_10005_1_1.0,3_10005_1_0.5,4_70018_1_1_0_0.33,3_40002_1_0.01"
10401,"1_2_1000_1.0,1_3_24_1.0,3_11002_1_1,3_11002_1_0.5,3_10003_1_0.2,4_70001_1_2_0_0.33,3_40002_1_0.01"
10402,"1_2_1100_1.0,1_3_24_1.0,3_11002_1_1,3_11002_1_0.5,3_10003_1_0.2,4_70019_1_2_0_0.33,3_40002_1_0.01"
10403,"1_2_1200_1.0,1_3_24_1.0,3_11002_1_1,3_11002_1_0.5,3_10003_1_0.2,4_70007_1_2_0_0.33,3_40002_1_0.01"
10404,"1_2_1300_1.0,1_3_24_1.0,3_10003_1_0.2,3_10005_1_1.0,4_70013_1_2_0_0.33,3_40002_1_0.01"
10405,"1_2_1100_1.0,1_3_24_1.0,3_11002_1_1,3_11002_1_0.5,3_10003_1_0.2,4_70002_1_2_0_0.33,3_40002_1_0.01"
10406,"1_2_1200_1.0,1_3_24_1.0,3_11002_1_1,3_11002_1_0.5,3_10003_1_0.2,4_70020_1_2_0_0.33,3_40002_1_0.01"
10407,"1_2_1300_1.0,1_3_24_1.0,3_11002_1_1,3_11002_1_0.5,3_10003_1_0.2,4_70008_1_2_0_0.33,3_40002_1_0.01"
10408,"1_2_1400_1.0,1_3_24_1.0,3_10003_1_0.2,3_10005_1_1.0,3_10005_1_0.5,4_70014_1_2_0_0.33,3_40002_1_0.01"
10501,"1_2_1200_1.0,1_3_24_1.0,3_11002_2_1,3_11002_1_0.5,3_10003_1_0.2,4_70003_1_2_0_0.33,3_40002_1_0.01"
10502,"1_2_1300_1.0,1_3_24_1.0,3_11002_2_1,3_11002_1_0.5,3_10003_1_0.2,4_70021_1_2_0_0.33,3_40002_1_0.01"
10503,"1_2_1400_1.0,1_3_24_1.0,3_11002_2_1,3_11002_1_0.5,3_10003_1_0.2,4_70009_1_2_0_0.33,3_40002_1_0.01"
10504,"1_2_1500_1.0,1_3_24_1.0,3_10003_1_0.2,3_10005_1_1.0,4_70015_1_2_0_0.33,3_40002_1_0.01"
10505,"1_2_1300_1.0,1_3_24_1.0,3_11002_2_1,3_11002_1_0.5,3_10003_1_0.2,4_70005_1_2_0_0.33,3_40002_1_0.01"
10506,"1_2_1400_1.0,1_3_24_1.0,3_11002_2_1,3_11002_1_0.5,3_10003_1_0.2,4_70023_1_2_0_0.33,3_40002_1_0.01"
10507,"1_2_1500_1.0,1_3_24_1.0,3_11002_2_1,3_11002_1_0.5,3_10003_1_0.2,4_70011_1_2_0_0.33,3_40002_1_0.01"
10508,"1_2_1600_1.0,1_3_24_1.0,3_10003_1_0.2,3_10005_1_1.0,3_10005_1_0.5,4_70017_1_2_0_0.33,3_40002_1_0.01"
10601,"1_2_1300_1.0,1_3_24_1.0,3_11002_3_1,3_11002_1_0.5,3_10003_1_0.2,4_70004_1_2_0_0.33,3_40002_1_0.01"
10602,"1_2_1400_1.0,1_3_24_1.0,3_11002_3_1,3_11002_1_0.5,3_10003_1_0.2,4_70022_1_2_0_0.33,3_40002_1_0.01"
10603,"1_2_1500_1.0,1_3_24_1.0,3_11002_3_1,3_11002_1_0.5,3_10003_1_0.2,4_70010_1_2_0_0.33,3_40002_1_0.01"
10604,"1_2_1600_1.0,1_3_24_1.0,3_10003_1_0.2,3_10005_1_1.0,3_10005_1_0.5,4_70016_1_2_0_0.33,3_40002_1_0.01"
10605,"1_2_1400_1.0,1_3_24_1.0,3_11002_3_1,3_11002_1_0.5,3_10003_1_0.2,4_70006_1_2_0_0.33,3_40002_1_0.01"
10606,"1_2_1500_1.0,1_3_24_1.0,3_11002_3_1,3_11002_1_0.5,3_10003_1_0.2,4_70024_1_2_0_0.33,3_40002_1_0.01"
10607,"1_2_1600_1.0,1_3_24_1.0,3_11002_3_1,3_11002_1_0.5,3_10003_1_0.2,4_70012_1_2_0_0.33,3_40002_1_0.01"
10608,"1_2_1700_1.0,1_3_24_1.0,3_10003_1_0.2,3_10005_2_1.0,4_70018_1_2_0_0.33,3_40002_1_0.01"
10701,"1_2_1300_1.0,1_3_24_1.0,3_11003_1_1.0,3_10003_1_0.2,4_70001_1_3_0_0.33,3_40002_1_0.01"
10702,"1_2_1400_1.0,1_3_24_1.0,3_11003_1_1.0,3_10003_1_0.2,4_70019_1_3_0_0.33,3_40002_1_0.01"
10703,"1_2_1500_1.0,1_3_24_1.0,3_11003_1_1.0,3_10003_1_0.2,4_70007_1_3_0_0.33,3_40002_1_0.01"
10704,"1_2_1600_1.0,1_3_24_1.0,3_10003_1_0.2,3_10005_2_1.0,4_70013_1_3_0_0.33,3_40002_1_0.01"
10705,"1_2_1400_1.0,1_3_24_1.0,3_11003_1_1.0,3_10003_1_0.2,4_70002_1_3_0_0.33,3_40002_1_0.01"
10706,"1_2_1500_1.0,1_3_24_1.0,3_11003_1_1.0,3_10003_1_0.2,4_70020_1_3_0_0.33,3_40002_1_0.01"
10707,"1_2_1600_1.0,1_3_24_1.0,3_11003_1_1.0,3_10003_1_0.2,4_70008_1_3_0_0.33,3_40002_1_0.01"
10708,"1_2_1700_1.0,1_3_24_1.0,3_10003_1_0.2,3_10005_2_1.0,4_70014_1_3_0_0.33,3_40002_1_0.01"
10801,"1_2_1300_1.0,1_3_24_1.0,3_11003_1_1.0,3_11003_1_0.5,3_10003_1_0.2,4_70003_1_3_0_0.33,3_40002_1_0.01"
10802,"1_2_1400_1.0,1_3_24_1.0,3_11003_1_1.0,3_11003_1_0.5,3_10003_1_0.2,4_70021_1_3_0_0.33,3_40002_1_0.01"
10803,"1_2_1500_1.0,1_3_24_1.0,3_11003_1_1.0,3_11003_1_0.5,3_10003_1_0.2,4_70009_1_3_0_0.33,3_40002_1_0.01"
10804,"1_2_1600_1.0,1_3_24_1.0,3_10003_1_0.2,3_10005_2_1.0,4_70015_1_3_0_0.33,3_40002_1_0.01"
10805,"1_2_1400_1.0,1_3_24_1.0,3_11003_1_1.0,3_11003_1_0.5,3_10003_1_0.2,4_70005_1_3_0_0.33,3_40002_1_0.01"
10806,"1_2_1500_1.0,1_3_24_1.0,3_11003_1_1.0,3_11003_1_0.5,3_10003_1_0.2,4_70023_1_3_0_0.33,3_40002_1_0.01"
10807,"1_2_1600_1.0,1_3_24_1.0,3_11003_1_1.0,3_11003_1_0.5,3_10003_1_0.2,4_70011_1_3_0_0.33,3_40002_1_0.01"
10808,"1_2_1700_1.0,1_3_24_1.0,3_10003_1_0.2,3_10005_2_1.0,4_70017_1_3_0_0.33,3_40002_1_0.01"
10311,"1_2_136_1.0,3_50002_4_1.0"
10312,"1_2_137_1.0,3_50003_1_1.0"
10313,"1_2_138_1.0,3_50003_1_1.0"
10314,"1_2_141_1.0,3_50002_1_1.0,3_50003_1_1.0"
10315,"1_2_146_1.0,3_50002_1_1.0,3_50003_1_1.0"
10316,"1_2_153_1.0,3_50002_2_1.0,3_50003_1_1.0"
10317,"1_2_157_1.0,3_50002_2_1.0,3_50003_1_1.0"
10318,"1_2_162_1.0,3_50002_3_1.0,3_50003_1_1.0"
10411,"1_2_175_1.0,3_50002_2_1.0,3_50003_1_1.0"
10412,"1_2_182_1.0,3_50002_2_1.0,3_50003_1_1.0"
