#NUM,NUM,NUM,FLOAT,FLOAT,NUM,NUM,TEXT,TEXT
instanceId,battleId,level,lifeCoef,attackCoef,dazhaoGroup,dazhaoAdjust,basicReward,extraReward
#副本id,对局id,怪物等级,血量修正,伤害修正,一次大招攻击需要的出手次数,大招攻击次序调整,奖励Id,奖励Id
1,1,20,1,1,7,2,10101,10101
1,2,20,1,1,7,2,10101,10101
1,3,20,1,1,7,2,10101,10101
1,4,20,1,1,7,2,10101,10101
1,5,20,1,1,7,2,10101,10101
1,6,20,1,1,7,2,10101,10101
1,7,20,1,1,7,2,10101,10101
1,8,20,1,1,7,2,10101,10101
1,9,20,1,1,7,2,10101,10101
2,1,20,1,1,7,2,10101,10101
2,2,20,1,1,7,2,10101,10101
2,3,20,1,1,7,2,10101,10101
2,4,20,1,1,7,2,10101,10101
2,5,20,1,1,7,2,10101,10101
2,6,20,1,1,7,2,10101,10101
2,7,20,1,1,7,2,10101,10101
2,8,20,1,1,7,2,10101,10101
2,9,20,1,1,7,2,10101,10101
3,1,20,1,1,7,2,10101,10101
3,2,20,1,1,7,2,10101,10101
3,3,20,1,1,7,2,10101,10101
3,4,20,1,1,7,2,10101,10101
3,5,20,1,1,7,2,10101,10101
3,6,20,1,1,7,2,10101,10101
3,7,20,1,1,7,2,10101,10101
3,8,20,1,1,7,2,10101,10101
3,9,20,1,1,7,2,10101,10101
4,1,20,1,1,7,2,10101,10101
4,2,20,1,1,7,2,10101,10101
4,3,20,1,1,7,2,10101,10101
4,4,20,1,1,7,2,10101,10101
4,5,20,1,1,7,2,10101,10101
4,6,20,1,1,7,2,10101,10101
4,7,20,1,1,7,2,10101,10101
4,8,20,1,1,7,2,10101,10101
4,9,20,1,1,7,2,10101,10101
