#TEXT,TEXT,TEXT
id,sellFixed,sellRandom
#id,固定装备列表: ItemType_ItemId_Count_(Stage_Level)_Price_Discount,随机装备列表
1001,,1001_1014_1005_1006_1007_1008_1011_1014_1015_1017
1002,,1002_1014_1005_1006_1007_1009_1012_1014_1015_1018
1003,,1003_1014_1005_1006_1007_1010_1013_1014_1015_1019
1004,"3_20047_5_3_25_1.0,3_20034_5_3_24_1.0,3_20026_5_3_19_1.0",1024_1025_1026_1027_1028
1005,"3_20047_5_3_25_1.0,3_20034_5_3_24_1.0,3_20026_5_3_19_1.0",1024_1025_1026_1027_1029
1006,"3_20047_5_3_25_1.0,3_20034_5_3_24_1.0,3_20026_5_3_19_1.0",1024_1025_1026_1027_1030
1007,"3_20049_5_3_14_1.0,3_20036_5_3_11_1.0,3_20015_5_3_8_1.0",1031_1032_1033_1041_1041
1008,"3_20049_5_3_14_1.0,3_20036_5_3_11_1.0,3_20015_5_3_8_1.0",1031_1032_1033_1041_1041
1009,"3_20049_5_3_14_1.0,3_20036_5_3_11_1.0,3_20015_5_3_8_1.0",1031_1032_1033_1041_1041
1010,3_10007_3_1_3_1.0,1042_1042_1042_1042_1042_1043_1043
1011,3_10007_3_1_3_1.0,1042_1042_1042_1042_1042_1043_1043
1012,3_10007_3_1_3_1.0,1042_1042_1042_1042_1042_1043_1043
