#NUM,NUM,NUM,TEXT,TEXT,NUM,TEXT,TEXT,TEXT,TEXT,TEXT
id,minLevel,time,taskName,taskDesc,taskStart,reward,leaderReward,itemTask,coinTask,instanceTask
#id,最低等级,任务时长（分钟）,大任务名称,大任务名称描述,开启消耗的钻石量,大任务奖励组（不包含队长礼包）,大任务奖励组（队长礼包）,道具类小任务随机组,金币类小任务随机组,副本类小任务随机组
1,20,480,bigTaskname201,bigTaskdesc1,40,bigTask201,bigTaskleader201,20001_20002_20003_20004_20005,10001_10002_10003_10004_10005,30001_30002_30003_30004
2,30,480,bigTaskname301,bigTaskdesc1,60,bigTask301,bigTaskleader301,20006_20007_20008_20009_20010_20011,10006_10007_10008_10009_10010,30005_30006_30007
3,40,480,bigTaskname401,bigTaskdesc1,80,bigTask401,bigTaskleader401,20012_20013_20014_20015_20016_20017,10011_10012_10013_10014_10015,30008_30009_30010
4,50,480,bigTaskname501,bigTaskdesc1,100,bigTask501,bigTaskleader501,20018_20019_20020_20021_20022,10016_10017_10018_10019,30011_30012_30013_30014
5,60,480,bigTaskname601,bigTaskdesc1,120,bigTask601,bigTaskleader601,20023_20024_20025_20026_20027_20028_20029_20030,10020_10021_10022_10023_10024_10025,30015_30016_30017_30018_30019
6,20,480,bigTaskname202,bigTaskdesc2,40,bigTask202,bigTaskleader202,20001_20002_20003_20004_20005,10001_10002_10003_10004_10005,30001_30002_30003_30004
7,30,480,bigTaskname302,bigTaskdesc2,60,bigTask302,bigTaskleader302,20006_20007_20008_20009_20010_20011,10006_10007_10008_10009_10010,30005_30006_30007
8,40,480,bigTaskname402,bigTaskdesc2,80,bigTask402,bigTaskleader402,20012_20013_20014_20015_20016_20017,10011_10012_10013_10014_10015,30008_30009_30010
9,50,480,bigTaskname502,bigTaskdesc2,100,bigTask502,bigTaskleader502,20018_20019_20020_20021_20022,10016_10017_10018_10019,30011_30012_30013_30014
10,60,480,bigTaskname602,bigTaskdesc2,120,bigTask602,bigTaskleader602,20023_20024_20025_20026_20027_20028_20029_20030,10020_10021_10022_10023_10024_10025,30015_30016_30017_30018_30019
