#NUM,TEXT,NUM,NUM,TEXT,TEXT,TEXT
id,recharge,type,group,reward,rewardGuarantee,rewardBlack
#id,充值钻石段,类型(金币=1，钻石=2，免费金币=3，免费钻石=4),玩家组,普通奖励id,保底奖励id,脸黑奖励id
1,0_1999,1,-1,jinbi,jinbi,jinbi
2,2000_5999,1,-1,jinbi,jinbi,jinbi
3,6000_999999999,1,-1,jinbi,jinbi,jinbi
4,0_1999,3,-1,jinbi,jinbi,jinbi
5,2000_5999,3,-1,jinbi,jinbi,jinbi
6,6000_999999999,3,-1,jinbi,jinbi,jinbi
7,0_1999,2,0,999999999zuanshi0,1999zuanshibaodi0,zuanshiblack
8,2000_5999,2,0,999999999zuanshi0,5999zuanshibaodi0,zuanshiblack
9,6000_999999999,2,0,999999999zuanshi0,999999999zuanshibaodi0,zuanshiblack
10,0_1999,2,1,999999999zuanshi1,1999zuanshibaodi1,zuanshiblack
11,2000_5999,2,1,999999999zuanshi1,5999zuanshibaodi1,zuanshiblack
12,6000_999999999,2,1,999999999zuanshi1,999999999zuanshibaodi1,zuanshiblack
13,0_1999,2,2,999999999zuanshi2,1999zuanshibaodi2,zuanshiblack
14,2000_5999,2,2,999999999zuanshi2,5999zuanshibaodi2,zuanshiblack
15,6000_999999999,2,2,999999999zuanshi2,999999999zuanshibaodi2,zuanshiblack
16,0_1999,2,3,999999999zuanshi3,1999zuanshibaodi3,zuanshiblack
17,2000_5999,2,3,999999999zuanshi3,5999zuanshibaodi3,zuanshiblack
18,6000_999999999,2,3,999999999zuanshi3,999999999zuanshibaodi3,zuanshiblack
19,0_1999,2,4,999999999zuanshi4,1999zuanshibaodi4,zuanshiblack
20,2000_5999,2,4,999999999zuanshi4,5999zuanshibaodi4,zuanshiblack
21,6000_999999999,2,4,999999999zuanshi4,999999999zuanshibaodi4,zuanshiblack
22,0_1999,2,5,999999999zuanshi5,1999zuanshibaodi5,zuanshiblack
23,2000_5999,2,5,999999999zuanshi5,5999zuanshibaodi5,zuanshiblack
24,6000_999999999,2,5,999999999zuanshi5,999999999zuanshibaodi5,zuanshiblack
25,0_1999,4,0,999999999zuanshi0,1999zuanshibaodi0,zuanshiblack
26,2000_5999,4,0,999999999zuanshi0,5999zuanshibaodi0,zuanshiblack
27,6000_999999999,4,0,999999999zuanshi0,999999999zuanshibaodi0,zuanshiblack
28,0_1999,4,1,999999999zuanshi1,1999zuanshibaodi1,zuanshiblack
29,2000_5999,4,1,999999999zuanshi1,5999zuanshibaodi1,zuanshiblack
30,6000_999999999,4,1,999999999zuanshi1,999999999zuanshibaodi1,zuanshiblack
31,0_1999,4,2,999999999zuanshi2,1999zuanshibaodi2,zuanshiblack
32,2000_5999,4,2,999999999zuanshi2,5999zuanshibaodi2,zuanshiblack
33,6000_999999999,4,2,999999999zuanshi2,999999999zuanshibaodi2,zuanshiblack
34,0_1999,4,3,999999999zuanshi3,1999zuanshibaodi3,zuanshiblack
35,2000_5999,4,3,999999999zuanshi3,5999zuanshibaodi3,zuanshiblack
36,6000_999999999,4,3,999999999zuanshi3,999999999zuanshibaodi3,zuanshiblack
37,0_1999,4,4,999999999zuanshi4,1999zuanshibaodi4,zuanshiblack
38,2000_5999,4,4,999999999zuanshi4,5999zuanshibaodi4,zuanshiblack
39,6000_999999999,4,4,999999999zuanshi4,999999999zuanshibaodi4,zuanshiblack
40,0_1999,4,5,999999999zuanshi5,1999zuanshibaodi5,zuanshiblack
41,2000_5999,4,5,999999999zuanshi5,5999zuanshibaodi5,zuanshiblack
42,6000_999999999,4,5,999999999zuanshi5,999999999zuanshibaodi5,zuanshiblack
