#NUM,TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,TEXT
type,minute,hour,dayOfWeek,dayOfWeekInMonth,dayOfMonth,month,year,comments
#类型id,每小时几分（0-59）,每天几点（0-23）,每周几（周一填1）,每月第几个星期X（1-7号填1，以此类推）,每月几号（1号填1）,每年几月（1月填1）,年,注释：不能同时配[dayOfMonth]和[dayOfWeek、dayOfWeekInMonth]
101,0,0,,,,,,每天0点：每日服务器刷新
102,0,0,,,1,,,每月1号0点：通天塔刷新
103,0,0,1,,,,,每周一0点：时光洞经验周1开始；时光洞经验/金币周7结束
104,0,0,2,,,,,每周二0点：时光洞经验周1结束；时光洞金币周2开始
105,0,0,3,,,,,每周三0点：时光洞经验周3开始；时光洞金币周2结束
106,0,0,4,,,,,每周四0点：时光洞经验周3结束；时光洞金币周4开始
107,0,0,5,,,,,每周五0点：时光洞经验周5开始；时光洞金币周4结束
108,0,0,6,,,,,每周六0点：时光洞经验周5结束；时光洞金币周6开始
109,0,0,7,,,,,每周日0点：时光洞经验/金币周7开始；时光洞金币周6结束
110,0,3,1,,,,,每周一4点：PVP段位奖励
111,59,6,,,,,,每天7点00分：世界boss
112,59,10,,,,,,每天11点00分：世界boss
113,59,20,,,,,,每天21点00分：世界boss
201,0,5,,,,,,：每日商店第1次刷新
202,0,13,,,,,,：每日商店第2次刷新
203,0,19,,,,,,：每日商店第3次刷新
301,0,6,,,,,,免费午餐开始
302,0,10,,,,,,免费午餐结束
303,0,18,,,,,,免费晚饭开始
304,0,22,,,,,,免费晚饭结束
401,0,0,,,21,6,2016,礼包开启
402,0,0,,,12,7,2016,礼包结束
403,0,0,,,22,6,2016,活动开启
404,0,0,,,6,7,2016,活动结束
405,0,0,,,7,7,2016,礼包开启
406,0,0,,,8,8,2016,礼包结束
407,0,0,,,23,9,2016,礼包周期1开始
408,0,0,,,28,9,2016,礼包周期1结束
409,0,0,,,29,9,2016,礼包周期2开始
410,0,0,,,5,10,2016,礼包周期2结束
411,0,0,,,6,10,2016,礼包周期1开始
412,0,0,,,12,10,2016,礼包周期1结束
413,0,0,,,13,10,2016,礼包周期2开始
414,0,0,,,20,10,2016,礼包周期2结束
9901,0,9,,,,,,测试
9902,0,12,,,,,,测试
9903,0,14,,,,,,测试
9904,0,20,,,,,,测试
501,0,12,,,22,10,2016,活动副本1开始
502,0,12,,,23,10,2016,活动副本1结束
503,0,12,,,29,10,2016,活动副本2开始
504,0,12,,,30,10,2016,活动副本2结束
505,0,12,,,5,11,2016,活动副本3开始
506,0,12,,,6,11,2016,活动副本3结束
507,0,12,,,12,11,2016,活动副本4开始
508,0,12,,,13,11,2016,活动副本4结束
415,0,12,,,20,11,2016,感恩节活动开始
416,0,12,,,27,11,2016,感恩节活动结束
