#TEXT,TEXT,TEXT,TEXT,NUM,NUM,NUM,TEXT,NUM,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,NUM,TEXT,TEXT,NUM,NUM,TEXT,TEXT,NUM,Text,TEXT,TEXT,NUM
id,assetID,uiAsset,nickName,type,rarity,isEvolutionable,evolutionID,property,levelUpExpRate,healthModifyRate,strengthModifyRate,intelligenceModifyRate,speedModifyRate,defenseModifyRate,enduranceModifyRate,recoveryRate,equip,spellIDList,weakpointList,friendship,disposition,closeUp,fragmentId,fragmentCount,say,monsterfounds,background,black
#id,模型路径,头像路径,名称,宠物类别,稀有度,是否可进化,进化后怪物ID,怪物属性,升级所需经验比例修正,体力比例修正,力量比例修正,智力比例修正,速度比例修正,防御比例修正,耐力比例修正,战后回血比例修正,装备组,技能列表,弱点列表,友好度,性格,大招事件,碎片ItemId,合成碎片数量,monster say,获取途径,宠物背景,脸黑值
xgNvyao1,xgNvyao1@moxing,icon_xgNvyao_bai,xgNvyao,2,2,0,null,1,1,0.98,1,1.2,1,1,1,1,3,"[""ultNvyao1"",""attackMetalSlight"",""magicMetalBallStrong"",""psvNvyao1"",""magicdazhaoPrepare"",""lazy"",""defend""]","[""xgwp""]",20,2,txNvyao1,20057,50,nvyaotips,"2_1,2_2,3_1",story_baosangnvyao,0
xgLuoxinfu1,xgLuoxinfu1@moxing,icon_xgLuoxinfu_bai,xgLuoxinfu,1,2,0,null,1,1,1.03,1.03,1.03,1.03,1.03,1,1,3,"[""ultLuoxinfu1"",""attackMetalSlight"",""magicMetalColumnStrong"",""magicdebuffMetalDotMedium"",""psvLuoxinfu1"",""magicdazhaoPrepare"",""lazy"",""defend""]","[""xgwp""]",55,2,txLuoxinfu1,20062,50,luoxinfutips,2_2,story_luoxinfu,1
xgPiying1,xgPiying1@moxing,icon_xgPiying_bai,xgPiying,3,2,0,null,1,1,1.02,1,1.1,1,1,1,1,3,"[""ultPiying1"",""attackMetalSlight"",""magicMetalBallStrong"",""psvPiying1"",""magicdazhaoPrepare"",""lazy"",""defend""]","[""xgwp""]",23,2,txPiying1,20058,50,piyingtips,"2_1,2_2,3_1",story_piying,1
xgChange1,xgChange1@moxing,icon_xgChange_bai,xgChange,5,3,0,null,1,1,1,1.1,1.25,1.02,1.1,1,1,3,"[""ultChange1"",""attackMetalSlight"",""magicMetalBallStrong"",""psvChange1"",""magicdazhaoPrepare"",""lazy"",""defend""]","[""xgwp""]",126,2,txChange1,20047,80,changetips,"2_1,2_2,3_1",story_change,0
xgDujiaoshou1,xgDujiaoshou1@moxing,icon_xgDujiaoshou_bai,xgDujiaoshou,5,4,0,null,1,1,1.364,1.1,0.858,1.1,1.2644,1,1,4,"[""ultDujiaoshou1"",""attackMetalCutMedium"",""magicMetalColumnMedium"",""buffHot"",""psvDujiaoshou1"",""magicdazhaoPrepare"",""lazy"",""defend""]","[""xgwp""]",127,4,txDujiaoshou1,20048,120,dujiaoshoutips,"2_1,2_2,3_1",story_dujiaoshou,0
xgDujiaoshou1awaken,xgDujiaoshou1awaken@moxing,icon_xgDujiaoshou_bai_awaken,xgDujiaoshou,5,6,0,null,1,1,1.24,1,0.78,1.08,1.16,1,1,4,"[""ultDujiaoshou1"",""attackMetalCutMedium"",""magicMetalColumnMedium"",""buffHot"",""psvDujiaoshou1"",""magicdazhaoPrepare"",""lazy"",""defend""]","[""xgwp""]",128,4,txDujiaoshou1,,-1,dujiaoshoutips,"2_1,2_2,3_1",story_dujiaoshou,0
xgKahuna2,xgKahuna2@moxing,icon_xgKahuna_lv,xgKahuna2,4,2,0,null,2,1,1.876,0.81,0.63,0.9,1.74,1,1.3,1,"[""ultKahuna2"",""attackPlantCutMedium"",""magicPlantBallMedium"",""psvKahuna2"",""magicdazhaoPrepare"",""lazy"",""defend""]","[""xgwp""]",25,6,txKahuna2,20059,50,kahunatips,"2_1,2_2,3_1",story_duoduoluo,0
xgYifanmumian1,xgYifanmumian1@moxing,icon_xgYifanmumian_bai,xgYifanmumian1,3,3,0,null,1,1,1.809,0.72,0.56,1.05,2.088,1,1.4,1,"[""ultYifanmumian1"",""attackMetalCutMedium"",""magicMetalBallMedium"",""psvYifanmumian1"",""magicdazhaoPrepare"",""lazy"",""defend""]","[""xgwp""]",26,6,txYifanmumian1,20060,80,yifanmumiantips,"2_1,2_2,3_1",story_yifanmumian,0
xgJinglingwang2,xgJinglingwang2@moxing,icon_xgJinglingwang_lv,xgJinglingwang2,5,4,0,null,2,1,0.95,1.86615,0.9324,1.15,0.95,1,1,2,"[""ultJinglingwang2"",""attackPlantStabStrong"",""magicPlantSlight"",""psvJinglingwang2"",""magicdazhaoPrepare"",""lazy"",""defend""]","[""xgwp""]",28,1,txJinglingwang2,20061,120,jinglingwangtips,"2_1,2_2,3_1",story_jinglingwang,0
