#TEXT,TEXT
asset,bundle
璧勬簮鍚?鍖呭悕
BattleCameraRoot,camera
UICamera,camera
money,dropitems
prop,dropitems
dazhaoFocusScene,battlescene/dazhaofocus
dazhaoFocusSceneMagic,battlescene/dazhaofocus
baozha_fire,effect/battle
findweakpointEffect,effect/battle
sankai,effect/battle
weakpointEffect2,effect/battle
weakpointEffect1,effect/battle
xialuo,effect/battle
monster_ghost,effect/battle
feizou,effect/battle
juqihuanguai,effect/battle
ultLuoxinfuPre02,effect/particle
meidushashefa2,effect/particle
magicPlantMediump,effect/particle
meidushaKuangbao,effect/particle
ultAnpushaPre,effect/particle
magicMetalSlight,effect/particle
bd_hudunshouji,effect/particle
bd_wulixishou,effect/particle
bd_xuanyun,effect/particle
castWater,effect/particle
magicPlantSlight,effect/particle
magicMetalStrong,effect/particle
bd_mofaxishou,effect/particle
plane_001,effect/particle
magicWaterSlightp,effect/particle
commonDebuff,effect/particle
ultZouyincaoPre,effect/particle
magicEarthStrong,effect/particle
medusaDead,effect/particle
ultLuoxinfuPre,effect/particle
magicWaterStrongp,effect/particle
magicFireMediump,effect/particle
fashudazhao_baoqi,effect/particle
dotEarth,effect/particle
magicMetalMediump,effect/particle
ultWaguiPre,effect/particle
magicCureSlight,effect/particle
meidushashefa1,effect/particle
ruodian_tishi,effect/particle
magicFireMedium,effect/particle
ruodian,effect/particle
meidushashefa3,effect/particle
fashudazhao_juqi,effect/particle
ultLangrenPre,effect/particle
ultHuapoPre01,effect/particle
magicCureStrong,effect/particle
ultPanshenPre,effect/particle
meidushaQunsheluanwu,effect/particle
ultAmutePre,effect/particle
attackSmashStrong,effect/particle
dazhao_prepare,effect/particle
magicFireStrongp,effect/particle
attackSmashStrongp,effect/particle
ruodian_jiandinghou,effect/particle
magicEarthMedium,effect/particle
attackSmashMediump,effect/particle
dazhao_fashutexie,effect/particle
magicWaterStrong,effect/particle
slash,effect/particle
zhandou_fuhuo,effect/particle
ultHapiPre01,effect/particle
magicPlantStrong,effect/particle
karongShuijingqiusi,effect/particle
bd_chaofeng,effect/particle
magicFireSlight,effect/particle
attackCutStrong,effect/particle
magicMetalSlightp,effect/particle
attackStabStrong,effect/particle
attackCutSlight,effect/particle
wulidazhao_baoqi,effect/particle
wulidazhao_texie,effect/particle
meidushaShihuaguangxian,effect/particle
bd_mofajianmian,effect/particle
luoxuan_001,effect/particle
wulidazhao_juqi,effect/particle
castMetal,effect/particle
dotWater,effect/particle
dotPlant,effect/particle
magicFireSlightp,effect/particle
castEarth,effect/particle
ruodian_jiandingzhong,effect/particle
zhaoyaojingbaozhatexiao,effect/particle
ultAmuteBuff,effect/particle
bd_qusan,effect/particle
dazhao_mubu,effect/particle
ultPanshenPre01,effect/particle
ultXiyirenPre,effect/particle
ultKairuisiHit,effect/particle
ultLonggongtongziHit,effect/particle
dazhao_wulibaoqi,effect/particle
ultLuoxinfuPre01,effect/particle
fagong_juqi,effect/particle
ultMantuoluoPre,effect/particle
dazhao_daduan,effect/particle
dazhao_mubu_h,effect/particle
meidushashefa4,effect/particle
bd_wulijianmian,effect/particle
ultAnpushaHit,effect/particle
dazhao_ready,effect/particle
attackSmashSlightp,effect/particle
magicWaterMediump,effect/particle
magicPlantStrongp,effect/particle
magicEarthMediump,effect/particle
ultHapiPre,effect/particle
attackStabMedium,effect/particle
ultMomoPre,effect/particle
ultHuapoPre,effect/particle
bd_niepan,effect/particle
magicMetalMedium,effect/particle
castPlant,effect/particle
