#NUM,NUM
level,coin
#技能等级,消耗金币
2,100
3,200
4,300
5,400
6,500
7,600
8,700
9,800
10,900
11,1000
12,2100
13,2300
14,2500
15,2700
16,2900
17,3100
18,3300
19,3500
20,3700
21,3900
22,6100
23,6400
24,6700
25,7000
26,7300
27,7600
28,7900
29,8200
30,8500
31,8800
32,12100
33,12500
34,12900
35,13300
36,13700
37,14100
38,14500
39,14900
40,15300
41,15700
42,20100
43,20600
44,21100
45,21600
46,22100
47,22600
48,23100
49,23600
51,24100
52,1080
53,1100
54,1120
55,1140
56,1160
57,1180
58,1200
59,1220
60,1240
61,1260
62,1280
63,1300
64,1320
65,1340
66,1360
67,1380
68,1400
69,1420
70,1440
71,1460
72,1480
73,1500
74,1520
75,1540
76,1560
77,1580
78,1600
79,1620
80,1640
81,1660
82,1680
83,1700
84,1720
85,1740
86,1760
87,1780
88,1800
89,1820
90,1840
91,1860
92,1880
93,1900
94,1920
95,1940
96,1960
97,1980
98,2000
99,2020
100,2040
