#NUM,TEXT,TEXT,NUM,TEXT,NUM,TEXT
id,name,icon,goalType,goalParam,goalCount,rewardId
#任务Id,名称,图标,目标类型,目标参数,目标值,奖励
10001,smallTarget10001,icon_jinbi2,1,,1000,smallTask10001
10002,smallTarget10002,icon_jinbi2,1,,2000,smallTask10002
10003,smallTarget10003,icon_jinbi2,1,,3000,smallTask10003
10004,smallTarget10004,icon_jinbi2,1,,4000,smallTask10004
10005,smallTarget10005,icon_jinbi2,1,,5000,smallTask10005
10006,smallTarget10006,icon_jinbi2,1,,6000,smallTask10006
10007,smallTarget10007,icon_jinbi2,1,,7000,smallTask10007
10008,smallTarget10008,icon_jinbi2,1,,8000,smallTask10008
10009,smallTarget10009,icon_jinbi2,1,,9000,smallTask10009
10010,smallTarget10010,icon_jinbi2,1,,9500,smallTask10010
10011,smallTarget10011,icon_jinbi2,1,,8500,smallTask10011
20001,smallTarget20001,icon_bossYueguangsenlin18Meidusha1,2,10004,5,smallTask10001
20002,smallTarget20002,icon_bossYueguangsenlin18Meidusha5,2,11001,5,smallTask10002
20003,smallTarget20003,icon_bossYueguangsenlin18Meidusha8,2,11002,5,smallTask10003
20004,smallTarget20004,icon_bossYueguangsenlin18Meidusha9,2,11003,5,smallTask10004
20005,smallTarget20005,icon_debuffFireDotMedium,2,10005,5,smallTask10005
20006,smallTarget20006,icon_buffDefense,2,10006,5,smallTask10006
20007,smallTarget20007,icon_psvMantuoluo,2,10007,5,smallTask10007
20008,smallTarget20008,icon_buffDefense,2,10008,5,smallTask10008
20009,smallTarget20009,icon_bossYueguangsenlin18Meidusha1,2,10009,5,smallTask10009
20010,smallTarget20010,icon_bossYueguangsenlin18Meidusha5,2,10010,5,smallTask10010
20011,smallTarget20011,icon_bossYueguangsenlin18Meidusha8,2,10011,5,smallTask10011
30001,smallTarget30001,icon_huolizhi1,3,gonghuidajie11,0,smallTask10001
30002,smallTarget30002,icon_huolizhi1,3,gonghuidajie12,0,smallTask10002
30003,smallTarget30003,icon_huolizhi1,3,gonghuidajie13,0,smallTask10003
30004,smallTarget30004,icon_huolizhi1,3,gonghuidajie14,0,smallTask10004
30005,smallTarget30005,icon_huolizhi1,3,gonghuidajie15,0,smallTask10005
