#TEXT,NUM ,NUM,NUM,NUM,TEXT
id,stage,levelAttrId,stageAttrId,rollCount,additionAttr
#id,品级,级别属性索引,品级属性索引,roll次数,附加属性
70001,1,1,2,0,
70001,2,1,3,0,
70001,3,1,4,0,
70001,4,1,5,0,
70001,5,1,6,0,"101_0.1_100,102_0.1_100,103_0.1_200,0_0_100"
70001,6,1,7,0,"101_0.1_100,102_0.1_100,103_0.1_200,0_0_100"
70002,1,1,2,0,
70002,2,1,3,0,
70002,3,1,4,0,
70002,4,1,5,0,
70002,5,1,6,0,
70002,6,1,7,0,
70003,1,1,2,0,
70003,2,1,3,0,
70003,3,1,4,0,
70003,4,1,5,0,
70003,5,1,6,0,
70003,6,1,7,0,
70004,1,1,2,0,
70004,2,1,3,0,
70004,3,1,4,0,
70004,4,1,5,0,
70004,5,1,6,0,
70004,6,1,7,0,
70005,1,1,2,0,
70005,2,1,3,0,
70005,3,1,4,0,
70005,4,1,5,0,
70005,5,1,6,0,
70005,6,1,7,0,
70006,1,1,2,0,
70006,2,1,3,0,
70006,3,1,4,0,
70006,4,1,5,0,
70006,5,1,6,0,
70006,6,1,7,0,
70007,1,1,2,0,
70007,2,1,3,0,
70007,3,1,4,0,
70007,4,1,5,0,
70007,5,1,6,0,
70007,6,1,7,0,
70008,1,1,2,0,
70008,2,1,3,0,
70008,3,1,4,0,
70008,4,1,5,0,
70008,5,1,6,0,
70008,6,1,7,0,
70009,1,1,2,0,
70009,2,1,3,0,
70009,3,1,4,0,
70009,4,1,5,0,
70009,5,1,6,0,
70009,6,1,7,0,
70010,1,1,2,0,
70010,2,1,3,0,
70010,3,1,4,0,
70010,4,1,5,0,
70010,5,1,6,0,
70010,6,1,7,0,
70011,1,1,2,0,
70011,2,1,3,0,
70011,3,1,4,0,
70011,4,1,5,0,
70011,5,1,6,0,
70011,6,1,7,0,
70012,1,1,2,0,
70012,2,1,3,0,
70012,3,1,4,0,
70012,4,1,5,0,
70012,5,1,6,0,
70012,6,1,7,0,
70013,1,1,2,0,
70013,2,1,3,0,
70013,3,1,4,0,
70013,4,1,5,0,
70013,5,1,6,0,
70013,6,1,7,0,
70014,1,1,2,0,
70014,2,1,3,0,
70014,3,1,4,0,
70014,4,1,5,0,
70014,5,1,6,0,
70014,6,1,7,0,
70015,1,1,2,0,
70015,2,1,3,0,
70015,3,1,4,0,
70015,4,1,5,0,
70015,5,1,6,0,
70015,6,1,7,0,
70016,1,1,2,0,
70016,2,1,3,0,
70016,3,1,4,0,
70016,4,1,5,0,
70016,5,1,6,0,
70016,6,1,7,0,
70017,1,1,2,0,
70017,2,1,3,0,
70017,3,1,4,0,
70017,4,1,5,0,
70017,5,1,6,0,
70017,6,1,7,0,
70018,1,1,2,0,
70018,2,1,3,0,
70018,3,1,4,0,
70018,4,1,5,0,
70018,5,1,6,0,
70018,6,1,7,0,
70019,1,1,2,0,
70019,2,1,3,0,
70019,3,1,4,0,
70019,4,1,5,0,
70019,5,1,6,0,
70019,6,1,7,0,
70020,1,1,2,0,
70020,2,1,3,0,
70020,3,1,4,0,
70020,4,1,5,0,
70020,5,1,6,0,
70020,6,1,7,0,
70021,1,1,2,0,
70021,2,1,3,0,
70021,3,1,4,0,
70021,4,1,5,0,
70021,5,1,6,0,
70021,6,1,7,0,
70022,1,1,2,0,
70022,2,1,3,0,
70022,3,1,4,0,
70022,4,1,5,0,
70022,5,1,6,0,
70022,6,1,7,0,
70023,1,1,2,0,
70023,2,1,3,0,
70023,3,1,4,0,
70023,4,1,5,0,
70023,5,1,6,0,
70023,6,1,7,0,
70024,1,1,2,0,
70024,2,1,3,0,
70024,3,1,4,0,
70024,4,1,5,0,
70024,5,1,6,0,
70024,6,1,7,0,
