#NUM,NUM
level,coin
#技能等级,消耗金币
2,100
3,120
4,140
5,160
6,180
7,200
8,220
9,240
10,260
11,280
12,300
13,320
14,340
15,360
16,380
17,400
18,420
19,440
20,460
21,480
22,500
23,520
24,540
25,560
26,580
27,600
28,620
29,640
30,660
31,680
32,700
33,720
34,740
35,760
36,780
37,800
38,820
39,840
40,860
41,880
42,900
43,920
44,940
45,960
46,980
47,1000
48,1020
49,1040
50,1060
51,1080
52,1100
53,1120
54,1140
55,1160
56,1180
57,1200
58,1220
59,1240
60,1260
61,1280
62,1300
63,1320
64,1340
65,1360
66,1380
67,1400
68,1420
69,1440
70,1460
71,1480
72,1500
73,1520
74,1540
75,1560
76,1580
77,1600
78,1620
79,1640
80,1660
81,1680
82,1700
83,1720
84,1740
85,1760
86,1780
87,1800
88,1820
89,1840
90,1860
91,1880
92,1900
93,1920
94,1940
95,1960
96,1980
97,2000
98,2020
99,2040
