#NUM,TEXT,TEXT,NUM,NUM,TEXT,TEXT,TEXT
id,comments,image,type,time,level,basicReward,extraReward
#id,注释,冒险图片,类型,时间档位,玩家等级段,基础奖励id,额外奖励id
1,强化石宝藏5h,damaoxian_qianghuashi1,1,1,"1,20",advanture_testbase1,advanture_testextra1
2,强化石宝藏5h,damaoxian_qianghuashi1,1,1,"21,40",advanture_testbase1,advanture_testextra1
3,强化石宝藏5h,damaoxian_qianghuashi1,1,1,"41,60",advanture_testbase1,advanture_testextra1
4,强化石宝藏5h,damaoxian_qianghuashi2,1,1,"61,99",advanture_testbase1,advanture_testextra1
5,强化石宝藏8h,damaoxian_qianghuashi2,1,2,"1,20",advanture_testbase1,advanture_testextra1
6,强化石宝藏8h,damaoxian_qianghuashi2,1,2,"21,40",advanture_testbase1,advanture_testextra1
7,强化石宝藏8h,damaoxian_qianghuashi2,1,2,"41,60",advanture_testbase1,advanture_testextra1
8,强化石宝藏8h,damaoxian_qianghuashi2,1,2,"61,99",advanture_testbase1,advanture_testextra1
9,强化石宝藏12h,damaoxian_qianghuashi3,1,3,"1,20",advanture_testbase1,advanture_testextra1
10,强化石宝藏12h,damaoxian_qianghuashi3,1,3,"21,40",advanture_testbase1,advanture_testextra1
11,强化石宝藏12h,damaoxian_qianghuashi3,1,3,"41,60",advanture_testbase1,advanture_testextra1
12,强化石宝藏12h,damaoxian_qianghuashi3,1,3,"61,99",advanture_testbase1,advanture_testextra1
13,进阶石宝藏5h,damaoxian_jingjieshi1,2,1,"1,20",advanture_testbase2,advanture_testextra2
14,进阶石宝藏5h,damaoxian_jingjieshi1,2,1,"21,40",advanture_testbase2,advanture_testextra2
15,进阶石宝藏5h,damaoxian_jingjieshi1,2,1,"41,60",advanture_testbase2,advanture_testextra2
16,进阶石宝藏5h,damaoxian_jingjieshi1,2,1,"61,99",advanture_testbase2,advanture_testextra2
17,进阶石宝藏8h,damaoxian_jingjieshi2,2,2,"1,20",advanture_testbase2,advanture_testextra2
18,进阶石宝藏8h,damaoxian_jingjieshi2,2,2,"21,40",advanture_testbase2,advanture_testextra2
19,进阶石宝藏8h,damaoxian_jingjieshi2,2,2,"41,60",advanture_testbase2,advanture_testextra2
20,进阶石宝藏8h,damaoxian_jingjieshi2,2,2,"61,99",advanture_testbase2,advanture_testextra2
21,进阶石宝藏12h,damaoxian_jingjieshi3,2,3,"1,20",advanture_testbase2,advanture_testextra2
22,进阶石宝藏12h,damaoxian_jingjieshi3,2,3,"21,40",advanture_testbase2,advanture_testextra2
23,进阶石宝藏12h,damaoxian_jingjieshi3,2,3,"41,60",advanture_testbase2,advanture_testextra2
24,进阶石宝藏12h,damaoxian_jingjieshi3,2,3,"61,99",advanture_testbase2,advanture_testextra2
25,boss巢穴5h,damaoxian_boss1,3,1,"1,20",advanture_testbase3,advanture_testextra3
26,boss巢穴5h,damaoxian_boss1,3,1,"21,40",advanture_testbase3,advanture_testextra3
27,boss巢穴5h,damaoxian_boss1,3,1,"41,60",advanture_testbase3,advanture_testextra3
28,boss巢穴5h,damaoxian_boss1,3,1,"61,99",advanture_testbase3,advanture_testextra3
29,boss巢穴8h,damaoxian_boss2,3,2,"1,20",advanture_testbase3,advanture_testextra3
30,boss巢穴8h,damaoxian_boss2,3,2,"21,40",advanture_testbase3,advanture_testextra3
31,boss巢穴8h,damaoxian_boss2,3,2,"41,60",advanture_testbase3,advanture_testextra3
32,boss巢穴8h,damaoxian_boss2,3,2,"61,99",advanture_testbase3,advanture_testextra3
33,boss巢穴12h,damaoxian_boss3,3,3,"1,20",advanture_testbase3,advanture_testextra3
34,boss巢穴12h,damaoxian_boss3,3,3,"21,40",advanture_testbase3,advanture_testextra3
35,boss巢穴12h,damaoxian_boss3,3,3,"41,60",advanture_testbase3,advanture_testextra3
36,boss巢穴12h,damaoxian_boss3,3,3,"61,99",advanture_testbase3,advanture_testextra3
