#NUM,TEXT,TEXT,NUM
id,level,num,weight
#id,玩家等级段,需求怪物数量,权重
1,"1,20",1_1_0,10
2,"1,20",1_2_0,10
3,"1,20",1_3_0,10
4,"1,20",2_2_0,10
5,"1,20",2_3_0,10
6,"1,20",1_1_1,10
7,"1,20",1_1_2,10
8,"1,20",1_1_3,10
9,"1,20",1_2_2,10
10,"21,30",1_1_0,10
11,"21,30",1_2_0,10
12,"21,30",1_3_0,10
13,"21,30",2_2_0,10
14,"21,30",2_3_0,10
15,"21,30",1_1_1,10
16,"21,30",1_1_2,10
17,"21,30",1_1_3,10
18,"21,30",1_2_2,10
19,"31,40",1_1_0,10
20,"31,40",1_2_0,10
21,"31,40",1_3_0,10
22,"31,40",2_2_0,10
23,"31,40",2_3_0,10
24,"31,40",1_1_1,10
25,"31,40",1_1_2,10
26,"31,40",1_1_3,10
27,"31,40",1_2_2,10
28,"41,50",1_1_0,10
29,"41,50",1_2_0,10
30,"41,50",1_3_0,10
31,"41,50",2_2_0,10
32,"41,50",2_3_0,10
33,"41,50",1_1_1,10
34,"41,50",1_1_2,10
35,"41,50",1_1_3,10
36,"41,50",1_2_2,10
37,"51,60",1_1_0,10
38,"51,60",1_2_0,10
39,"51,60",1_3_0,10
40,"51,60",2_2_0,10
41,"51,60",2_3_0,10
42,"51,60",1_1_1,10
43,"51,60",1_1_2,10
44,"51,60",1_1_3,10
45,"51,60",1_2_2,10
46,"61,70",1_1_0,10
47,"61,70",1_2_0,10
48,"61,70",1_3_0,10
49,"61,70",2_2_0,10
50,"61,70",2_3_0,10
51,"61,70",1_1_1,10
52,"61,70",1_1_2,10
53,"61,70",1_1_3,10
54,"61,70",1_2_2,10
55,"71,80",1_1_0,10
56,"71,80",1_2_0,10
57,"71,80",1_3_0,10
58,"71,80",2_2_0,10
59,"71,80",2_3_0,10
60,"71,80",1_1_1,10
61,"71,80",1_1_2,10
62,"71,80",1_1_3,10
63,"71,80",1_2_2,10
64,"81,90",1_1_0,10
65,"81,90",1_2_0,10
66,"81,90",1_3_0,10
67,"81,90",2_2_0,10
68,"81,90",2_3_0,10
69,"81,90",1_1_1,10
70,"81,90",1_1_2,10
71,"81,90",1_1_3,10
72,"81,90",1_2_2,10
