#NUM,NUM,NUM
level,exp,pop
#级别,经验,容量
1,100,10
2,200,11
3,300,12
4,400,13
5,500,14
6,600,15
7,700,16
8,800,17
9,900,18
10,1000,19
11,1100,20
12,1200,21
13,1300,22
14,1400,23
15,1500,24
16,1600,25
17,1700,26
18,1800,27
19,1900,28
20,2000,29
21,2100,30
22,2200,31
23,2300,32
24,2400,33
25,2500,34
26,2600,35
27,2700,36
28,2800,37
29,2900,38
30,3000,39
31,3100,40
32,3200,41
33,3300,42
34,3400,43
35,3500,44
36,3600,45
37,3700,46
38,3800,47
39,3900,48
40,4000,49
41,4100,50
42,4200,51
43,4300,52
44,4400,53
45,4500,54
46,4600,55
47,4700,56
48,4800,57
49,4900,58
50,5000,59
51,5100,60
52,5200,61
53,5300,62
54,5400,63
55,5500,64
56,5600,65
57,5700,66
58,5800,67
59,5900,68
60,6000,69
61,6100,70
62,6200,71
63,6300,72
64,6400,73
65,6500,74
66,6600,75
67,6700,76
68,6800,77
69,6900,78
70,7000,79
71,7100,80
72,7200,81
73,7300,82
74,7400,83
75,7500,84
76,7600,85
77,7700,86
78,7800,87
79,7900,88
80,8000,89
81,8100,90
82,8200,91
83,8300,92
84,8400,93
85,8500,94
86,8600,95
87,8700,96
88,8800,97
89,8900,98
90,9000,99
