#TEXT,TEXT
asset,bundle
资源名,包名
BattleCameraRoot,camera
UICamera,camera
money,dropitems
prop,dropitems
mantuoluo@moxing,monster
luoxinfu@moxing,monster
Anpusha_boss@moxing,monster
Amute_boss@moxing,monster
boss_jiuweihu@moxing,monster
Huapo@moxing,monster
Meidusha_boss@moxing,monster
anpusha@moxing,monster
xgKairuisi@moxing,monster
xgLangren@moxing,monster
xgAmute@moxing,monster
xgHetong@moxing,monster
Karong_boss@moxing,monster
xg_zhuyan@moxing,monster
xiyiren@moxing,monster
wagui@moxing,monster
Luoxinfu_boss@moxing,monster
Xiyiren_boss@moxing,monster
xg_ershu@moxing,monster
boss_hundun@moxing,monster
Mantuoluo_boss@moxing,monster
hapi@moxing,monster
xg_qingniao@moxing,monster
bossMinghe13Zouyincao@moxing,monster
fazhenStyle_1,battle/fazhen
fazhenStyle_3,battle/fazhen
fazhenStyle_4,battle/fazhen
fazhenStyle_0,battle/fazhen
fazhenStyle_2,battle/fazhen
dazhaoFocusScene,battlescene/dazhaofocus
dazhaoFocusSceneMagic,battlescene/dazhaofocus
yunmengiii,battlescene/test
baozha_fire,effect/battle
findweakpointEffect,effect/battle
sankai,effect/battle
weakpointEffect2,effect/battle
weakpointEffect1,effect/battle
xialuo,effect/battle
monster_ghost,effect/battle
feizou,effect/battle
juqihuanguai,effect/battle
dazhao_wulimubu,effect/particle
magicPlantMediump,effect/particle
ultAnpushaPre,effect/particle
magicMetalSlight,effect/particle
bd_hudunshouji,effect/particle
bd_wulixishou,effect/particle
castWater,effect/particle
magicPlantSlight,effect/particle
magicMetalStrong,effect/particle
bd_mofaxishou,effect/particle
magicWaterSlightp,effect/particle
commonDebuff,effect/particle
ultZouyincaoPre,effect/particle
magicEarthStrong,effect/particle
ultLuoxinfuPre,effect/particle
magicWaterStrongp,effect/particle
jvqi,effect/particle
magicFireMedium,effect/particle
dotEarth,effect/particle
magicMetalMediump,effect/particle
ultWaguiPre,effect/particle
magicCureSlight,effect/particle
ultLangrenPre,effect/particle
magicCureStrong,effect/particle
magicWaterSlight,effect/particle
bd_wulijianmian,effect/particle
ultAmutePre,effect/particle
attackSmashStrong,effect/particle
dazhao_prepare,effect/particle
magicFireStrongp,effect/particle
attackSmashStrongp,effect/particle
magicEarthMedium,effect/particle
attackSmashMediump,effect/particle
dazhao_fashutexie,effect/particle
magicEarthStrongp,effect/particle
magicWaterStrong,effect/particle
slash,effect/particle
ultHapiPre01,effect/particle
magicPlantStrongp,effect/particle
karongShuijingqiusi,effect/particle
bd_chaofeng,effect/particle
magicFireSlight,effect/particle
attackCutStrong,effect/particle
magicMetalSlightp,effect/particle
attackStabStrong,effect/particle
attackCutSlight,effect/particle
castMetal,effect/particle
dotWater,effect/particle
dotPlant,effect/particle
castEarth,effect/particle
ultPanshenPre,effect/particle
ultAmutePre01,effect/particle
bd_qusan,effect/particle
dazhao_mubu,effect/particle
ultXiyirenPre,effect/particle
ultKairuisiHit,effect/particle
dazhao_wulibaoqi,effect/particle
ultLuoxinfuPre01,effect/particle
fagong_juqi,effect/particle
ultMantuoluoPre,effect/particle
ultAnpushaHit,effect/particle
dazhao_ready,effect/particle
attackSmashSlightp,effect/particle
magicWaterMediump,effect/particle
magicPlantStrong,effect/particle
magicEarthMediump,effect/particle
ultHapiPre,effect/particle
attackStabMedium,effect/particle
bd_niepan,effect/particle
magicMetalMedium,effect/particle
castPlant,effect/particle
dotMetal,effect/particle
bd_mofajianmian,effect/particle
dotFire,effect/particle
dazhao_wulijuqi,effect/particle
hotCure,effect/particle
attackSmashMedium,effect/particle
attackCutMedium,effect/particle
ultKairuisiPre,effect/particle
karongPosui,effect/particle
attackStabSlight,effect/particle
magicCureMedium,effect/particle
magicMetalStrongp,effect/particle
commonBuff,effect/particle
dazhao_wulitexie,effect/particle
ultHetongPre,effect/particle
karongAnyingbo,effect/particle
attackSmashSlight,effect/particle
castFire,effect/particle
magicEarthSlight,effect/particle
dotPhy,effect/particle
testByLiws,scene/lws
forest,scene/sl
firstScene,scene/zzz
curep1,sound/effect
metale1,sound/effect
cmetal,sound/effect
earthp2,sound/effect
firee1,sound/effect
firep2,sound/effect
metalp1,sound/effect
cplant,sound/effect
cearth,sound/effect
watere1,sound/effect
stab,sound/effect
waterp1,sound/effect
firep1,sound/effect
cut,sound/effect
smash,sound/effect
cwater,sound/effect
waterp2,sound/effect
earthp1,sound/effect
waterp3,sound/effect
buff,sound/effect
plantp1,sound/effect
cfire,sound/effect
debuff,sound/effect
metale2,sound/effect
bg_yueguangsenlin11,sound/music
UIAdjustBattleTeam,ui/adjustbattleteam
bagItem,ui/bag
UIBag,ui/bag
star,ui/battle
zhaoyaojing_open,ui/battle
momo_open_hand,ui/battle
huanguai_di,ui/battle
endBattle,ui/battle
Image,ui/battle
OcclusionY,ui/battle
petItem,ui/battle
UIBattle,ui/battle
UIBuffIcon,ui/battle
huanguai_xuetiao,ui/battle
momo_open_star,ui/battle
startBattle,ui/battle
huanguai_nengliangtiao,ui/battle
VitalChange,ui/battle
huanguai_dikuang,ui/battle
huanguai_waikuang,ui/battle
huanguai_waikuang3,ui/battle
hand,ui/battle
PlayerUnitUI,ui/battle
huanguai_waikuang2,ui/battle
EnemyUnitUI,ui/battle
bufficon_buffMagic,ui/buff
property_3,ui/buff
property_1,ui/buff
property_2,ui/buff
bufficon_debuffWaterDot,ui/buff
bufficon_debuffMagic,ui/buff
bufficon_buffSpeed,ui/buff
property_5,ui/buff
bufficon_debuffEarthDot,ui/buff
property_4,ui/buff
bufficon_debuffMetalDot,ui/buff
bufficon_debuffDefense,ui/buff
bufficon_debuffFireDot,ui/buff
bufficon_debuffPlantDot,ui/buff
bufficon_buffHot,ui/buff
bufficon_debuffAttack,ui/buff
bufficon_buffAttack,ui/buff
bufficon_buffDefense,ui/buff
bufficon_debuffDot,ui/buff
bufficon_debuffSpeed,ui/buff
UIBuild,ui/build
UICreatePlayer,ui/createplayer
dazhaoTip,ui/dazhaotip
UIFazhen,ui/fazhen
MirrorFindMonsterInfo,ui/findmonsterinfo
MirrorFindWpInfo,ui/findwpinfo
grade_3,ui/grade
grade_2,ui/grade
grade_4,ui/grade
grade_5,ui/grade
grade_6,ui/grade
grade_1,ui/grade
hitCombo,ui/hitcombo
monstericon_select,ui/instance
monstericon_friend,ui/instance
UIInstance,ui/instance
monstericon_boss,ui/instance
monstericon_quality,ui/instance
instanceChapter_0_1,ui/instancechapter
InstanceInfo,ui/instanceinfo
UILogin,ui/login
UILoginDetail,ui/logindetail
AnnexTips,ui/mail
ObjectItem,ui/mail
mailItem,ui/mail
UIMail,ui/mail
MirrorUI,ui/mirrorui
soul,ui/monster
cat,ui/monster
monsterIcon,ui/monstericon
UIMonsterInfo,ui/monsterinfo
UINetRequest,ui/netrequest
petModel,ui/petdetail
UIPetDetail,ui/petdetail
UIPetModelCamera,ui/petdetail
scrollView,ui/petdetail
UIPetList,ui/petlist
UIPetListContainer,ui/petlist
UIPetTypeBtn,ui/petlist
UIPetListElement,ui/petlist
UIPetAdvance,ui/petrightadvance
UIPetAttrElement,ui/petrightattr
UIPetAttr,ui/petrightattr
UIPetEquip,ui/petrightequip
UIPetSkillElement,ui/petrightskill
UIPetSkill,ui/petrightskill
UIPetStage,ui/petrightstage
UIPetStageMonsterElement,ui/petrightstage
UIPetStageMonsterSelect,ui/petrightstage
PromptMsg,ui/promptmsg
rewardItemIcon,ui/quest
UIQuestInfo,ui/quest
task_rmb_icon,ui/quest
UIQuest,ui/quest
questItem,ui/quest
UISelectServer,ui/selectserver
serverElement,ui/serverelement
icon_magicEarthMedium,ui/skillicon
icon_buffHot,ui/skillicon
icon_ultHetong,ui/skillicon
icon_magicPlantSlight,ui/skillicon
icon_magicEarthSlight,ui/skillicon
icon_debuffMagic,ui/skillicon
icon_ultLonggongtongzi,ui/skillicon
icon_ultAmute,ui/skillicon
icon_attackStabTriMedium,ui/skillicon
icon_attackStabStrong,ui/skillicon
icon_ultLuoxinfu,ui/skillicon
icon_debuffDefense,ui/skillicon
icon_ultMomo,ui/skillicon
icon_magicEarthStrong,ui/skillicon
icon_magicWaterMedium,ui/skillicon
icon_psvHapi,ui/skillicon
icon_attackCutMedium,ui/skillicon
icon_ultWagui,ui/skillicon
icon_attackCutStrong,ui/skillicon
icon_magicCureMedium,ui/skillicon
icon_magicPlantStrong,ui/skillicon
icon_buffAttack,ui/skillicon
icon_attackSmashMedium,ui/skillicon
icon_debuffPlantDotMedium,ui/skillicon
icon_bossMinghe18Karong6,ui/skillicon
icon_magicFireSlight,ui/skillicon
icon_magicWaterSlight,ui/skillicon
icon_debuffWaterDotSlight,ui/skillicon
icon_debuffMetalDotMedium,ui/skillicon
icon_psvLangren,ui/skillicon
icon_debuffMetalDotSlight,ui/skillicon
icon_buffDefenseSelf,ui/skillicon
icon_ultHapi,ui/skillicon
icon_buffAttackSelf,ui/skillicon
icon_debuffFireDotStrong,ui/skillicon
icon_attackCutSlight,ui/skillicon
icon_magicMetalStrong,ui/skillicon
icon_ultLangren,ui/skillicon
icon_magicMetalSlight,ui/skillicon
icon_attackStabSlight,ui/skillicon
icon_magicPlantMedium,ui/skillicon
icon_attackCutTriSlight,ui/skillicon
icon_buffSpeedSelf,ui/skillicon
icon_ultAnpusha,ui/skillicon
icon_psvHuapo,ui/skillicon
icon_bossYueguangsenlin18Meidusha8,ui/skillicon
icon_attackStabTriStrong,ui/skillicon
icon_attackStabMedium,ui/skillicon
icon_debuffDotMedium,ui/skillicon
icon_debuffEarthDotStrong,ui/skillicon
icon_debuffDotSlight,ui/skillicon
icon_psvXiyiren,ui/skillicon
icon_psvKairuisi,ui/skillicon
icon_psvPanshen,ui/skillicon
icon_psvAmute,ui/skillicon
icon_magicCureStrong,ui/skillicon
icon_bossYueguangsenlin18Meidusha5,ui/skillicon
icon_psvMomo,ui/skillicon
icon_psvLuoxinfu,ui/skillicon
icon_debuffFireDotSlight,ui/skillicon
icon_debuffEarthDotSlight,ui/skillicon
icon_magicFireMedium,ui/skillicon
icon_debuffDotStrong,ui/skillicon
icon_bossMinghe18Karong4,ui/skillicon
icon_magicCureSlight,ui/skillicon
icon_psvHetong,ui/skillicon
icon_attackSmashStrong,ui/skillicon
icon_psvMantuoluo,ui/skillicon
icon_attackSmashSlight,ui/skillicon
icon_attackCutTriMedium,ui/skillicon
icon_debuffAttack,ui/skillicon
icon_bossYueguangsenlin14Luoxinfu1,ui/skillicon
icon_magicFireStrong,ui/skillicon
icon_psvAnpusha,ui/skillicon
icon_ultPanshen,ui/skillicon
icon_bossMinghe18Karong3,ui/skillicon
icon_debuffSpeed,ui/skillicon
icon_debuffFireDotMedium,ui/skillicon
icon_debuffWateDotMedium,ui/skillicon
icon_debuffWateDotStrong,ui/skillicon
icon_bossMinghe18Karong2,ui/skillicon
icon_buffDefense,ui/skillicon
icon_debuffEarthDotMedium,ui/skillicon
icon_attackCutTriStrong,ui/skillicon
icon_attackStabTriSlight,ui/skillicon
icon_magicWaterStrong,ui/skillicon
icon_buffMagicSelf,ui/skillicon
icon_debuffMetalDotStrong,ui/skillicon
icon_psvWagui,ui/skillicon
icon_magicMetalMedium,ui/skillicon
icon_ultMantuoluo,ui/skillicon
icon_ultHuapo,ui/skillicon
icon_psvLonggongtongzi,ui/skillicon
icon_bossMinghe18Karong1,ui/skillicon
icon_buffMagic,ui/skillicon
icon_ultKairuisi,ui/skillicon
icon_bossYueguangsenlin18Meidusha1,ui/skillicon
icon_debuffPlantDotStrong,ui/skillicon
icon_ultXiyiren,ui/skillicon
icon_buffSpeed,ui/skillicon
icon_debuffPlantDotSlight,ui/skillicon
icon_bossMinghe18Karong5,ui/skillicon
icon_bossYueguangsenlin18Meidusha9,ui/skillicon
UISpeech,ui/speech
npc_teamb_eg_02,ui/speech
npc_teama_eg_01,ui/speech
npc_teamb_eg_01,ui/speech
npc_teamb_eg_03,ui/speech
npc_teama_eg_02,ui/speech
spellIcon,ui/spellicon
