#TEXT,TEXT,TEXT,TEXT,NUM,TEXT,TEXT,TEXT,TEXT
id,preStartEvent,startEvent,endStartEvent,appearType,winFunc,loseFunc,endEvent,monsterList
#对局id,#第一进程前事件,#开场动画,#刷怪完毕事件,#出现方式,#胜利条件,#失败条件,#结束剧情动画,怪物列表
yueguangsenlin11Level1,,,,0,,,,"{""xgWagui"":""4""}"
yueguangsenlin11Level2,,,,0,,,,"{""xgLangren"":""2""}"
yueguangsenlin11Boss1,,,demo_tishi,0,,,,"{""bossMinghe14Amute"":""1""}"
yueguangsenlin12Level1,,,,0,,,,"{""xgMantuoluo"":""2""}"
yueguangsenlin12Level2,,,,0,,,,"{""xgLangren"":""4""}"
yueguangsenlin12Boss1,,,,0,,,,"{""bossYueguangsenlin18Meidusha"":""1""}"
yueguangsenlin14Level1,,,,0,,,,"{""xgXiyiren"":""4""}"
yueguangsenlin14Level2,,,,0,,,,"{""xgPanshen"":""2""}"
yueguangsenlin14Boss1,,,,0,,,,"{""bossYueguangsenlin14Luoxinfu"":""1""}"
yueguangsenlin17Level1,,,,0,,,,"{""xgMomo"":""5""}"
yueguangsenlin17Level2,,,,0,,,,"{""xgKairuisi"":""1""}"
yueguangsenlin17Boss1,,,,0,,,,"{""bossYueguangsenlin17Xiyiren"":""1""}"
yueguangsenlin18Level1,,,,0,,,,"{""xgLonggongtongzi"":""5""}"
yueguangsenlin18Level2,,,,0,,,,"{""xgLuoxinfu"":""1""}"
yueguangsenlin18Boss1,,,,0,,,,"{""bossYueguangsenlin18Meidusha"":""1""}"
minghe12Level1,,,,0,,,,"{""xgLangren"":""3""}"
minghe12Level2,,,,0,,,,"{""xgHetong"":""2""}"
minghe12Boss1,,,,0,,,,"{""bossMinghe12Longgongtongzi"":""1""}"
minghe13Level1,,,,0,,,,"{""xgHapi"":""5""}"
minghe13Level2,,,,0,,,,"{""xgKairuisi"":""1""}"
minghe13Boss1,,,,0,,,,"{""bossMinghe13Zouyincao"":""1""}"
minghe14Level1,,,,0,,,,"{""xgLangren"":""5""}"
minghe14Level2,,,,0,,,,"{""xgAnpusha"":""1""}"
minghe14Boss1,,,,0,,,,"{""bossMinghe14Amute"":""1""}"
minghe17Level1,,,,0,,,,"{""xgWagui"":""3""}"
minghe17Level2,,,,0,,,,"{""xgMantuoluo"":""3""}"
minghe17Boss1,,,,0,,,,"{""bossMinghe17Anpusha"":""1""}"
minghe18Level1,,,,0,,,,"{""xgAmute"":""4""}"
minghe18Level2,,,,0,,,,"{""xgPanshen"":""2""}"
minghe18Boss1,,,,0,,,,"{""bossMinghe18Karong"":""1""}"
