#NUM,TEXT,TEXT,NUM,NUM,NUM,NUM,NUM,NUM,NUM
index,name,desc,physicsWeight,magicWeight,cureMagicWeight,gainWeight,negativeWeight,defenseWeight,tauntDefenseWeight
#性格ID,性格名称,性格描述,物理攻击权重,法术攻击权重,治疗法术权重，与法术攻击权重互斥,增益效果攻击权重,减益效果权重，和gainWeight互斥,防御效果权重,有自身嘲讽buff防御的权重，与防御互斥
1,Valor,descrip_valor,8,1,1,1,1,1,0
2,Spiritual,descrip_spiritual,1,8,1,1,1,1,0
3,Mischievous,descrip_mischievous,1,1,1,1,8,1,0
4,Collaborate,descrip_collaborate,1,1,1,8,1,1,0
5,Compassion,descrip_compassion,1,1,8,1,1,1,0
6,Humility,descrip_humility,1,1,1,1,1,1,8
7,Dps1,descrip_valor,8000,2000,1,1,1,1,0
8,Dps2,descrip_valor,7000,2000,1,1000,1000,1,0
9,Support11,descrip_collaborate,2000,1,1,8000,1,1,0
10,Support12,descrip_collaborate,1000,1000,1,8000,1,1,0
11,Support21,descrip_mischievous,2000,1,1,1,5000,1,0
12,Support22,descrip_mischievous,1000,1000,1,1,5000,1,0
13,Tank1,descrip_humility,6000,1,1,3000,3000,1000,8000
14,Tank2,descrip_humility,6000,3000,1,1,1,1000,8000
15,Healer1,descrip_compassion,3000,1,7000,1,1,1,0
16,Healer2,descrip_compassion,2000,1,7000,1000,1000,1,0
