#TEXT,NUM ,NUM,NUM,NUM,TEXT
id,stage,levelAttrId,stageAttrId,rollCount,additionAttr
#id,品级,级别属性索引,品级属性索引,roll次数,附加属性
70001,1,700011,700011,0,
70001,2,700012,700011,0,
70001,3,700013,700011,0,
70001,4,700014,700011,0,
70001,5,700015,700011,0,"101_0.1_100,102_0.1_100,103_0.1_200,0_0_100"
70001,6,700016,700011,0,"101_0.1_100,102_0.1_100,103_0.1_200,0_0_100"
70002,1,700021,700021,0,
70002,2,700022,700021,0,
70002,3,700023,700021,0,
70002,4,700024,700021,0,
70002,5,700025,700021,0,
70002,6,700026,700021,0,
70003,1,700031,700031,0,
70003,2,700032,700031,0,
70003,3,700033,700031,0,
70003,4,700034,700031,0,
70003,5,700035,700031,0,
70003,6,700036,700031,0,
70004,1,700041,700041,0,
70004,2,700042,700041,0,
70004,3,700043,700041,0,
70004,4,700044,700041,0,
70004,5,700045,700041,0,
70004,6,700046,700041,0,
70005,1,700051,700051,0,
70005,2,700052,700051,0,
70005,3,700053,700051,0,
70005,4,700054,700051,0,
70005,5,700055,700051,0,
70005,6,700056,700051,0,
70006,1,700061,700061,0,
70006,2,700062,700061,0,
70006,3,700063,700061,0,
70006,4,700064,700061,0,
70006,5,700065,700061,0,
70006,6,700066,700061,0,
70007,1,700071,700071,0,
70007,2,700072,700071,0,
70007,3,700073,700071,0,
70007,4,700074,700071,0,
70007,5,700075,700071,0,
70007,6,700076,700071,0,
70008,1,700081,700081,0,
70008,2,700082,700081,0,
70008,3,700083,700081,0,
70008,4,700084,700081,0,
70008,5,700085,700081,0,
70008,6,700086,700081,0,
70009,1,700091,700091,0,
70009,2,700092,700091,0,
70009,3,700093,700091,0,
70009,4,700094,700091,0,
70009,5,700095,700091,0,
70009,6,700096,700091,0,
70010,1,700101,700101,0,
70010,2,700102,700101,0,
70010,3,700103,700101,0,
70010,4,700104,700101,0,
70010,5,700105,700101,0,
70010,6,700106,700101,0,
70011,1,700111,700111,0,
70011,2,700112,700111,0,
70011,3,700113,700111,0,
70011,4,700114,700111,0,
70011,5,700115,700111,0,
70011,6,700116,700111,0,
70012,1,700121,700121,0,
70012,2,700122,700121,0,
70012,3,700123,700121,0,
70012,4,700124,700121,0,
70012,5,700125,700121,0,
70012,6,700126,700121,0,
70013,1,700131,700131,0,
70013,2,700132,700131,0,
70013,3,700133,700131,0,
70013,4,700134,700131,0,
70013,5,700135,700131,0,
70013,6,700136,700131,0,
70014,1,700141,700141,0,
70014,2,700142,700141,0,
70014,3,700143,700141,0,
70014,4,700144,700141,0,
70014,5,700145,700141,0,
70014,6,700146,700141,0,
70015,1,700151,700151,0,
70015,2,700152,700151,0,
70015,3,700153,700151,0,
70015,4,700154,700151,0,
70015,5,700155,700151,0,
70015,6,700156,700151,0,
70016,1,700161,700161,0,
70016,2,700162,700161,0,
70016,3,700163,700161,0,
70016,4,700164,700161,0,
70016,5,700165,700161,0,
70016,6,700166,700161,0,
70017,1,700171,700171,0,
70017,2,700172,700171,0,
70017,3,700173,700171,0,
70017,4,700174,700171,0,
70017,5,700175,700171,0,
70017,6,700176,700171,0,
70018,1,700181,700181,0,
70018,2,700182,700181,0,
70018,3,700183,700181,0,
70018,4,700184,700181,0,
70018,5,700185,700181,0,
70018,6,700186,700181,0,
70019,1,700191,700191,0,
70019,2,700192,700191,0,
70019,3,700193,700191,0,
70019,4,700194,700191,0,
70019,5,700195,700191,0,
70019,6,700196,700191,0,
70020,1,700201,700201,0,
70020,2,700202,700201,0,
70020,3,700203,700201,0,
70020,4,700204,700201,0,
70020,5,700205,700201,0,
70020,6,700206,700201,0,
70021,1,700211,700211,0,
70021,2,700212,700211,0,
70021,3,700213,700211,0,
70021,4,700214,700211,0,
70021,5,700215,700211,0,
70021,6,700216,700211,0,
70022,1,700221,700221,0,
70022,2,700222,700221,0,
70022,3,700223,700221,0,
70022,4,700224,700221,0,
70022,5,700225,700221,0,
70022,6,700226,700221,0,
70023,1,700231,700231,0,
70023,2,700232,700231,0,
70023,3,700233,700231,0,
70023,4,700234,700231,0,
70023,5,700235,700231,0,
70023,6,700236,700231,0,
70024,1,700241,700241,0,
70024,2,700242,700241,0,
70024,3,700243,700241,0,
70024,4,700244,700241,0,
70024,5,700245,700241,0,
70024,6,700246,700241,0,
