#NUM,TEXT,TEXT,TEXT,NUM
Id,guidPurpose,finishOther,steps,finishAtStep
#id,教学目的,完成后同步完成的其它引导,新手引导步骤,完成任务时的步骤
1,抽蛋,2,2-3-4-5,5
2,抽蛋（主界面加号没开）,1,1-2-3-4-5,5
3,任务界面操作,4,6-7-8,7
4,任务界面操作（主界面加号没开）,3,1-6-7-8,7
5,合成宠物,6,9-10-11-12-13,12
6,合成宠物（主界面加号没开）,5,1-9-10-11-12-13,13
7,副本选择+阵容选择,8,14-15-16-17-18-19,19
8,副本选择+阵容选择（主界面加号没开）,7,1-14-15-16-17-18-19,19
9,宠物吃经验药,10,9-21-22-23,23
10,宠物吃经验药（主界面加号没开）,9,1-9-21-22-23,23
11,宠物升级技能,12,9-21-26,26
12,宠物升级技能（主界面加号没开）,11,1-9-21-26,26
13,宠物穿装备,14,9-21-29-30-31,31
14,宠物穿装备（主界面加号没开）,13,1-9-21-29-30-31,31
15,开启一个后备位,,32,32
16,商店教学,17,33-34,34
17,商店教学（主界面加号没开）,16,1-33-34,34
18,装备打造1,19-20,35,35
19,装备打造2,18-20,36,36
20,装备打造3,18-19,37,37
21,签到,,38,38
