#NUM,TEXT,TEXT,NUM,TEXT,TEXT,NUM,NUM,TEXT,NUM
Id,trigerView,purpose,rotationZ,talkId,posObject,tipsX,tipsY,tipsContent,exitNoEvent
#id,触发界面,配置目的,焦点（手)旋转度数,会话Id,焦点位置对象,tipsX偏移,tipsY偏移,tips内容,点击非focus区域退出
1,UIBuild,点击更多按钮,0,,gd_build_more,200,,,
2,UIBuild,,0,speech_xinshousummon,,,,,1
3,UIBuild,3D抽卡接口对象,0,,3D_choudan_obj,100,,guide_summon1,
4,UISummon1,抽卡钻石档（右侧）,0,,gd_summon1_zuanshi,,80,guide_summon2,
5,UISummon2,免费抽一次,180,,gd_summon2_free,50,50,guide_summon3,
61,UIBuild,更多按钮中的 任务按钮,0,,gd_build_task,-10,50,guide_task1,
71,UIQuest,任务中第一条领取按钮,0,,gd_quest_firstButton,,50,guide_task2,
7,UIBuild,,0,speech_hechengpetqian,,,,,1
8,UIBuild,主界面更多按钮中的宠物按钮,180,,gd_build_pet,-40,0,guide_hechengpet1,
9,UIMonsters,宠物界面收集宠物按钮,180,,gd_monsters_shouji,-80,,guide_hechengpet2,
10,UIMonsters,图鉴第一宠物位置,0,,gd_monsters_firstPetFragment,,80,guide_hechengpet3,
11,UIMonsterCompose,合成按钮,0,,gd_petCompose_compose,,50,guide_hechengpet4,
12,PromptComposeMST,确定按钮,0,,gd_promptCompose_conform,,,,
13,UIMonsterCompose,,0,speech_hechengpethou,,,,,1
14,UIBuild,3D副本入口接口对象,0,,3D_instanceEntry,100,,guide_instance1,
15,InstanceMap,第一章按钮,0,,gd_insmap_chapter1,,50,guide_instance2,
16,InstanceList,第一个本,0,,gd_inslist_first,,50,guide_instance3,
17,UIAdjustBattleTeam,上阵第一个宠物,0,,gd_adjustteam_pet1,,50,guide_instance4,
18,UIAdjustBattleTeam,上阵第二个宠物,0,,gd_adjustteam_pet2,,50,guide_instance5,
19,UIAdjustBattleTeam,开战按钮,0,,gd_adjustteam_fight,-1,50,guide_instance6,1
20,UIBuild,,0,speech_expqian,,,,,1
21,UIMonsters,第一个宠物,0,,gd_monsters_firstPet,,50,guide_exp1,
22,UIPetDetails,经验药加号,0,,gd_petDetail_expAdd,,50,guide_exp2,
23,UIPetFeedList,第一条药,0,,gd_petFeed_use,,50,guide_exp3,1
24,UIPetFeedList,,0,speech_exphou,,,,,1
25,UIBuild,,0,speech_levelupqian,,,,,1
26,UIPetDetails,升级按钮,0,,gd_petDetail_skillUp,,50,guide_levelup,1
27,UIPetDetails,,0,speech_leveluphou,,,,,1
29,UIBuild,,0,speech_equip,,,,,
30,UIPetDetails,第一个装备位置,0,,gd_petDetail_weapon,,,,
31,UISelectEquipList,第一条的装备按钮,0,,gd_selectEquip_equip,,,,1
32,UIAdjustBattleTeam,,0,speech_houbeiwei,,,,,1
33,UIBuild,主界面商店按钮,0,,gd_build_shop,50,,guide_shop1,
34,UIShop,,0,speech_shop,,,,,1
35,UIQuestInfo,领取完任务奖励界面获得强化石,0,speech_qianghuashi,,,,,1
36,UIShop,商店界面获得强化石,0,speech_qianghuashi,,,,,1
37,UIScore,结算界面获得强化石,0,speech_qianghuashi,,,,,1
38,UIBuild,主界面签到按钮,0,,gd_build_qiandao,,50,guide_sign,
