#TEXT,TEXT
id,rewardId
#副本Id_怪物Id,奖励列表Id
minghe12_xgLangren,110001
minghe12_xgHetong,110001
minghe12_bossMinghe12Longgongtongzi,110001
minghe13_xgHapi,110001
minghe13_xgKairuisi,110001
yueguangsenlin11_bossMinghe13Zouyincao,110001
minghe17_bossMinghe17Anpusha,testMinghe17Anpusha
yueguangsenlin12_bossYueguangsenlin12Mantuoluo,110001
minghe13_bossMinghe13Zouyincao,testzouyincao
yueguangsenlin11_xgHuapo,110001
yueguangsenlin11_xgAmute,110001
yueguangsenlin12_xgHuapo,110001
yueguangsenlin12_xgLangren,110001
yueguangsenlin14_xgXiyiren,110001
yueguangsenlin14_xgPanshen,110001
yueguangsenlin14_bossYueguangsenlin14Luoxinfu,110001
dajie11_xgXiaochou3,1011
dajie11_xgKairuisi4,1012
dajie11_bossdajie11Xiaochou4,1013
dajie12_xgHetong2,2011
dajie12_xgKairuisi4,2012
dajie12_bossdajie12Mantuoluo2,2013
dajie13_xgWagui3,3011
dajie13_xgXiaochou4,3012
dajie13_bossdajie13Langren3,3013
dajie14_xgHetong2,4011
dajie14_xgXiaochou4,4012
dajie14_bossdajie14Piying5,4013
dajie15_xgCike4,5011
dajie15_xgWagui3,5012
dajie15_bossdajie15Huapo2,5013
dajie16_xgPanshen2,6011
dajie16_xgHuapo2,6012
dajie16_bossdajie16Xiaochou3,6013
dajie17_xgXiaochou3,7011
dajie17_xgWushi4,7012
dajie17_bossdajie17Zouyincao2,7013
dajie18_xgHuapo2,8011
dajie18_xgWushi3,8012
dajie18_bossdajie18Minghe14Amute,8013
xiaoxiang11_xgXiyiren4,1021
xiaoxiang11_xgMantuoluo2,1022
xiaoxiang11_bossxiaoxiang11Wushi4,1023
xiaoxiang12_xgHetong3,2021
xiaoxiang12_xgXiaochou4,2022
xiaoxiang12_bossxiaoxiang12Xiyiren2,2023
xiaoxiang13_xgHuapo2,3021
xiaoxiang13_xgCike4,3022
xiaoxiang13_bossxiaoxiang13Panshen2,3023
xiaoxiang14_xgWushi3,4021
xiaoxiang14_xgLonggongtongzi3,4022
xiaoxiang14_bossxiaoxiang14Shuigui3,4023
xiaoxiang15_xgPanshen2,5021
xiaoxiang15_xgXiyiren2,5022
xiaoxiang15_bossxiaoxiang15Kairuisi5,5023
xiaoxiang16_xgLangren5,6021
xiaoxiang16_xgShuigui3,6022
xiaoxiang16_bossxiaoxiang16Longgongtongzi3,6023
xiaoxiang17_xgNvyao5,7021
xiaoxiang17_xgHapi1,7022
xiaoxiang17_bossxiaoxiang17hetong2,7023
xiaoxiang18_xgPiying5,8021
xiaoxiang18_xgKairuisi5,8022
xiaoxiang18_bossxiaoxiang18Shujing,8023
dajie21_xgXiaochou3,1011
dajie21_xgKairuisi4,1012
dajie21_bossdajie21Xiaochou4,1113
dajie22_xgHetong2,2011
dajie22_xgKairuisi4,2012
dajie22_bossdajie22Mantuoluo2,2113
dajie23_xgWagui3,3011
dajie23_xgXiaochou4,3012
dajie23_bossdajie23Langren3,3113
dajie24_xgHetong2,4011
dajie24_xgXiaochou4,4012
dajie24_bossdajie24Piying5,4113
dajie25_xgCike4,5011
dajie25_xgWagui3,5012
dajie25_bossdajie25Huapo2,5113
dajie26_xgPanshen2,6011
dajie26_xgHuapo2,6012
dajie26_bossdajie26Xiaochou3,6113
dajie27_xgXiaochou3,7011
dajie27_xgWushi4,7012
dajie27_bossdajie17Zouyincao2,7113
dajie28_xgHuapo2,8011
dajie28_xgWushi3,8012
dajie28_bossdajie28Minghe14Amute,8113
xiaoxiang21_xgXiyiren4,1021
xiaoxiang21_xgMantuoluo2,1022
xiaoxiang21_bossxiaoxiang21Wushi4,1123
xiaoxiang22_xgHetong3,2021
xiaoxiang22_xgXiaochou4,2022
xiaoxiang22_bossxiaoxiang22Xiyiren2,2123
xiaoxiang23_xgHuapo2,3021
xiaoxiang23_xgCike4,3022
xiaoxiang23_bossxiaoxiang23Panshen2,3123
xiaoxiang24_xgWushi3,4021
xiaoxiang24_xgLonggongtongzi3,4022
xiaoxiang24_bossxiaoxiang24Shuigui3,4123
xiaoxiang25_xgPanshen2,5021
xiaoxiang25_xgXiyiren2,5022
xiaoxiang25_bossxiaoxiang25Kairuisi5,5123
xiaoxiang26_xgLangren5,6021
xiaoxiang26_xgShuigui3,6022
xiaoxiang26_bossxiaoxiang26Longgongtongzi3,6123
xiaoxiang27_xgNvyao5,7021
xiaoxiang27_xgHapi1,7022
xiaoxiang27_bossxiaoxiang27hetong2,7123
xiaoxiang28_xgPiying5,8021
xiaoxiang28_xgKairuisi5,8022
xiaoxiang28_bossxiaoxiang28Shujing,8123
