 #TEXT ,TEXT,NUM,NUM,NUM,NUM,NUM,NUM,TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,NUM,TEXT,TEXT,TEXT
id,name,chapter,index,type,difficulty,fatigue,count,desc,enemy1,enemy2,enemy3,enemy4,enemy5,enemy6,bp,reward,bgzhuangshi,instanceSpell
#副本Id,副本名称,章节,章节内索引,1故事 2洞 3通天塔 4公会,难度,疲劳值,每日可完成次数,副本描述,敌人1,敌人2,敌人3,敌人4,敌人5,敌人6,敌方阵容战斗力,奖励Id,ui背景装饰,场景技能
dajie11,Street - 1,1,0,1,0,6,999,,"xgXiaochou3,2","xgKairuisi4,2","bossdajie11Xiaochou4,6",,,,175,33101,fubenxuanze_minghe,
dajie12,Street - 2,1,1,1,0,6,999,,"xgKairuisi4,2","xgHetong2,2","bossdajie12Mantuoluo2,6",,,,275,33101,fubenxuanze_minghe,
dajie13,Street - 3,1,2,1,0,6,999,,"xgWagui3,2","xgXiaochou4,2","bossdajie16Xiaochou3,6",,,,306,33101,fubenxuanze_minghe,
dajie14,Street - 4,1,3,1,0,6,999,,"xgXiaochou4,2","xgHetong2,2","bossdajie14Piying5,6",,,,306,33102,fubenxuanze_minghe,
dajie15,Street - 5,1,4,1,0,6,999,,"xgWagui3,2","xgCike4,2","bossdajie13Langren3,6",,,,418,33103,fubenxuanze_minghe,
dajie16,Street - 6,1,5,1,0,6,999,,"xgPanshen2,2","xgHuapo2,2","bossdajie17Zouyincao2,6",,,,511,33103,fubenxuanze_minghe,
dajie17,Street - 7,1,6,1,0,6,999,,"xgXiaochou3,2","xgWushi3,2","bossdajie15Huapo2,6",,,,546,33103,fubenxuanze_minghe,
dajie18,Street - 8,1,7,1,0,6,999,,"xgWushi4,2","xgHuapo2,2","bossMinghe14Amute,8",,,,659,33104,fubenxuanze_minghe,
dajie21,Street1 - 1,1,0,1,1,12,3,,"xgXiaochou3,2","xgKairuisi4,2","bossdajie11Xiaochou4,6",,,,977,33201,fubenxuanze_minghe,
dajie22,Street1 - 2,1,1,1,1,12,3,,"xgKairuisi4,2","xgHetong2,2","bossdajie12Mantuoluo2,6",,,,1081,33201,fubenxuanze_minghe,
dajie23,Street1 - 3,1,2,1,1,12,3,,"xgWagui3,2","xgXiaochou4,2","bossdajie13Langren3,6",,,,1176,33201,fubenxuanze_minghe,
dajie24,Street1 - 4,1,3,1,1,12,3,,"xgXiaochou4,2","xgHetong2,2","bossdajie14Piying5,6",,,,1012,33202,fubenxuanze_minghe,
dajie25,Street1 - 5,1,4,1,1,12,3,,"xgWagui3,2","xgCike4,2","bossdajie15Huapo2,6",,,,1013,33203,fubenxuanze_minghe,
dajie26,Street1 - 6,1,5,1,1,12,3,,"xgPanshen2,2","xgHuapo2,2","bossdajie16Xiaochou3,6",,,,1014,33203,fubenxuanze_minghe,
dajie27,Street1 - 7,1,6,1,1,12,3,,"xgXiaochou3,2","xgWushi3,2","bossdajie17Zouyincao2,6",,,,1015,33203,fubenxuanze_minghe,
dajie28,Street1 - 8,1,7,1,1,12,3,,"xgWushi4,2","xgHuapo2,2","bossMinghe14Amute,8",,,,1016,33204,fubenxuanze_minghe,
xiaoxiang11,Alley - 1,2,0,1,0,6,999,,"xgXiyiren4,2","xgMantuoluo2,2","bossxiaoxiang21Wushi4,6",,,,757,33111,fubenxuanze_minghe,
xiaoxiang12,Alley - 2,2,1,1,0,6,999,,"xgHetong3,2","xgXiaochou4,2","bossxiaoxiang22Xiyiren2,6",,,,814,33111,fubenxuanze_minghe,
xiaoxiang13,Alley - 3,2,2,1,0,6,999,,"xgHuapo2,2","xgCike4,2","bossxiaoxiang23Panshen2,6",,,,837,33111,fubenxuanze_minghe,
xiaoxiang14,Alley - 4,2,3,1,0,6,999,,"xgWushi3,2","xgLonggongtongzi3,2","bossxiaoxiang24Shuigui3,6",,,,917,33112,fubenxuanze_minghe,
xiaoxiang15,Alley - 5,2,4,1,0,6,999,,"xgPanshen2,2","xgXiyiren2,2","bossxiaoxiang25Kairuisi5,6",,,,952,33113,fubenxuanze_minghe,
xiaoxiang16,Alley - 6,2,5,1,0,6,999,,"xgLangren5,2","xgShuigui3,2","bossxiaoxiang26Longgongtongzi3,6",,,,1021,33113,fubenxuanze_minghe,
xiaoxiang17,Alley - 7,2,6,1,0,6,999,,"xgNvyao5,2","xgHapi1,2","bossxiaoxiang27Hetong2,6",,,,1162,33113,fubenxuanze_minghe,
xiaoxiang18,Alley - 8,2,7,1,0,6,999,,"xgPiying5,2","xgKairuisi5,2","bossxiaoxiang28Muling2,8",,,,1354,33114,fubenxuanze_minghe,
xiaoxiang21,Alley1 - 1,2,0,1,1,12,3,,"xgXiyiren4,2","xgMantuoluo2,2","bossxiaoxiang21Wushi4,6",,,,1025,33211,fubenxuanze_minghe,
xiaoxiang22,Alley1 - 2,2,1,1,1,12,3,,"xgHetong3,2","xgXiaochou4,2","bossxiaoxiang22Xiyiren2,6",,,,1026,33211,fubenxuanze_minghe,
xiaoxiang23,Alley1 - 3,2,2,1,1,12,3,,"xgHuapo2,2","xgCike4,2","bossxiaoxiang23Panshen2,6",,,,1027,33211,fubenxuanze_minghe,
xiaoxiang24,Alley1 - 4,2,3,1,1,12,3,,"xgWushi3,2","xgLonggongtongzi3,2","bossxiaoxiang24Shuigui3,6",,,,1028,33212,fubenxuanze_minghe,
xiaoxiang25,Alley1 - 5,2,4,1,1,12,3,,"xgPanshen2,2","xgXiyiren2,2","bossxiaoxiang25Kairuisi5,6",,,,1029,33213,fubenxuanze_minghe,
xiaoxiang26,Alley1 - 6,2,5,1,1,12,3,,"xgLangren5,2","xgShuigui3,2","bossxiaoxiang26Longgongtongzi3,6",,,,1030,33213,fubenxuanze_minghe,
xiaoxiang27,Alley1 - 7,2,6,1,1,12,3,,"xgNvyao5,2","xgHapi1,2","bossxiaoxiang27Hetong2,6",,,,1031,33213,fubenxuanze_minghe,
xiaoxiang28,Alley1 - 8,2,7,1,1,12,3,,"xgPiying5,2","xgKairuisi5,2","bossxiaoxiang28Muling2,8",,,,1032,33214,fubenxuanze_minghe,
senlin11,Forest - 1,3,0,1,0,6,999,,"xgHuapo2,2","xgMantuoluo2,2","bosssenlin31Wendige2,6",,,,1017,33121,fubenxuanze_minghe,
senlin12,Forest - 2,3,1,1,0,6,999,,"xgHetong2,2","xgLonggongtongzi3,2","bosssenlin32Longnv3,6",,,,1018,33121,fubenxuanze_minghe,
senlin13,Forest - 3,3,2,1,0,6,999,,"xgWendige2,2","xgXiyiren2,2","bosssenlin33Luoxinfu5,6",,,,1019,33121,fubenxuanze_minghe,
senlin14,Forest - 4,3,3,1,0,6,999,,"xgWendige3,2","xgShuigui3,2","bosssenlin34Amute3,6",,,,1020,33122,fubenxuanze_minghe,
senlin15,Forest - 5,3,4,1,0,6,999,,"xgSaibulesi5,2","xgMantuoluo2,2","bosssenlin35Xiaochou2,6",,,,1021,33123,fubenxuanze_minghe,
senlin16,Forest - 6,3,5,1,0,6,999,,"xgPanshen2,2","xgLongnv3,2","bosssenlin36Momo1,6",,,,1022,33123,fubenxuanze_minghe,
senlin17,Forest - 7,3,6,1,0,6,999,,"xgLuoxinfu5,2","xgMomo1,2","bosssenlin37Hapi1,6",,,,1023,33123,fubenxuanze_minghe,
senlin18,Forest - 8,3,7,1,0,6,999,,"xgXiaochou2,2","xgAmute3,2","bosssenlin38Meidusha2,8",,,,1024,33124,fubenxuanze_minghe,
senlin21,Forest1 - 1,3,0,1,1,12,3,,"xgHuapo2,2","xgMantuoluo2,2","bosssenlin31Wendige2,6",,,,1025,33221,fubenxuanze_minghe,
senlin22,Forest1 - 2,3,1,1,1,12,3,,"xgHetong2,2","xgLonggongtongzi3,2","bosssenlin32Longnv3,6",,,,1026,33221,fubenxuanze_minghe,
senlin23,Forest1 - 3,3,2,1,1,12,3,,"xgWendige2,2","xgXiyiren2,2","bosssenlin33Luoxinfu5,6",,,,1027,33221,fubenxuanze_minghe,
senlin24,Forest1 - 4,3,3,1,1,12,3,,"xgWendige3,2","xgShuigui3,2","bosssenlin34Amute3,6",,,,1028,33222,fubenxuanze_minghe,
senlin25,Forest1 - 5,3,4,1,1,12,3,,"xgSaibulesi5,2","xgMantuoluo2,2","bosssenlin35Xiaochou2,6",,,,1029,33223,fubenxuanze_minghe,
senlin26,Forest1 - 6,3,5,1,1,12,3,,"xgPanshen2,2","xgLongnv3,2","bosssenlin36Momo1,6",,,,1030,33223,fubenxuanze_minghe,
senlin27,Forest1 - 7,3,6,1,1,12,3,,"xgLuoxinfu5,2","xgMomo1,2","bosssenlin37Hapi1,6",,,,1031,33223,fubenxuanze_minghe,
senlin28,Forest1 - 8,3,7,1,1,12,3,,"xgXiaochou2,2","xgAmute3,2","bosssenlin38Meidusha2,8",,,,1032,33224,fubenxuanze_minghe,
huoshan11,Volcano - 1,4,0,1,0,6,999,,"xgMoguguai4,2","xgCike4,2","bosshuoshan47Ifrit4,6",,,,1017,33131,fubenxuanze_minghe,
huoshan12,Volcano - 2,4,1,1,0,6,999,,"xgXiyiren4,2","xgWushi4,2","bosshuoshan42Daochengsizhong4,6",,,,1018,33131,fubenxuanze_minghe,
huoshan13,Volcano - 3,4,2,1,0,6,999,,"xgKairuisi4,2","xgLuoxinfu5,2","bosshuoshan43Huoniao4,6",,,,1019,33131,fubenxuanze_minghe,
huoshan14,Volcano - 4,4,3,1,0,6,999,,"xgDaochengsizhong4,2","xgMomo1,2","bosshuoshan44Datiangou4,6",,,,1020,33132,fubenxuanze_minghe,
huoshan15,Volcano - 5,4,4,1,0,6,999,,"xgSaibulesi5,2","xgHongniu4,2","bosshuoshan45Saibulesi4,6",,,,1021,33133,fubenxuanze_minghe,
huoshan16,Volcano - 6,4,5,1,0,6,999,,"xgHuoniao4,2","xgHapi1,2","bosshuoshan46Tianshizhang4,6",,,,1022,33133,fubenxuanze_minghe,
huoshan17,Volcano - 7,4,6,1,0,6,999,,"xgTianshizhang4,2","xgAnpusha5,2","bosshuoshan47Ifrit4,6",,,,1023,33133,fubenxuanze_minghe,
huoshan18,Volcano - 8,4,7,1,0,6,999,,"xgSaibulesi4,2","xgIfrit4,2","bosshuoshan48Hehuaisituosi4,8",,,,1024,33134,fubenxuanze_minghe,
