#TEXT,TEXT,TEXT
id,rewardId,sweepRewardId
#副本Id_难度,额外奖励列表,扫荡奖励列表
demo,110001,110001
yueguangsenlin11,110001,110001
yueguangsenlin12,110001,110001
yueguangsenlin14,110001,110001
yueguangsenlin17,110001,110001
yueguangsenlin18,110001,110001
minghe12,110001,110001
minghe13,110001,110001
minghe14,110001,110001
minghe17,110001,110001
minghe18,110001,110001
dajie11,10101,10111
dajie12,10102,10112
dajie13,10103,10113
dajie14,10104,10114
dajie15,10105,10115
dajie16,10106,10116
dajie17,10107,10117
dajie18,10108,10118
dajie21,20101,20111
dajie22,20102,20112
dajie23,20103,20113
dajie24,20104,20114
dajie25,20105,20115
dajie26,20106,20116
dajie27,20107,20117
dajie28,20108,20118
xiaoxiang11,10201,10211
xiaoxiang12,10202,10212
xiaoxiang13,10203,10213
xiaoxiang14,10204,10214
xiaoxiang15,10205,10215
xiaoxiang16,10206,10216
xiaoxiang17,10207,10217
xiaoxiang18,10208,10218
xiaoxiang21,20201,20211
xiaoxiang22,20202,20212
xiaoxiang23,20203,20213
xiaoxiang24,20204,20214
xiaoxiang25,20205,20215
xiaoxiang26,20206,20216
xiaoxiang27,20207,20217
xiaoxiang28,20208,20218
