#TEXT,TEXT
id,itemRandom
#id,奖励列表: ItemType_ItemId_Count_(Stage_Level)_Price_Discount_Weight
10001,"3_10004_2_2_1000_1.0_1000,3_10004_2_2_1000_0.8_800,3_10004_2_1_50_1.0_500,3_11001_1_2_500_1.0_1000,3_11001_1_2_500_0.6_800,3_11001_1_1_30_1.0_500"
10002,"3_20002_5_2_300_1.0_800,3_20003_5_2_300_1.0_800,3_20004_5_2_300_1.0_800"
10003,"3_30001_1_2_300_1.0_800,3_30002_2_2_300_1.0_800,3_30003_3_2_300_1.0_800,3_30004_4_2_300_1.0_800,3_30005_1_2_300_1.0_800"
10004,"4_70001_1_3_4_2_500_1.0_800,4_70002_1_2_3_2_500_0.6_800,4_70003_1_3_4_2_500_0.6_800,4_70004_1_3_3_2_500_0.8_800"
10005,"3_10005_1_2_500_1.0_1000,3_10005_1_2_500_0.8_800,3_10005_1_1_30_1.0_500,3_10006_2_2_500_1.0_1000,3_10006_2_2_500_0.8_800,3_10006_2_1_30_1.0_500"
1001,"3_50002_1_1_50_1.0_300,3_50002_1_1_50_0.8_600,3_50002_1_1_50_0.6_300,3_50003_1_1_120_0.6_100,3_50003_1_1_120_1.0_100,3_50003_1_1_120_0.8_180,3_50004_1_1_300_0.8_80,3_50004_1_1_300_1.0_180"
1002,"3_50005_1_1_50_1.0_300,3_50005_1_1_50_0.8_600,3_50005_1_1_50_0.6_300,3_50006_1_1_120_0.6_100,3_50006_1_1_120_1.0_100,3_50006_1_1_120_0.8_180,3_50007_1_1_300_0.8_80,3_50007_1_1_300_1.0_180"
1003,"4_70004_1_1_0_2_12000_1.0_800,4_70010_1_1_0_2_12000_1.0_800,4_70006_1_1_0_2_3000_1.0_1700,4_70012_1_1_0_2_3000_1.0_1700"
1004,"4_70016_1_1_0_2_12000_1.0_800,4_70022_1_1_0_2_12000_1.0_300,4_70018_1_1_0_2_3000_1.0_1700,4_70024_1_1_0_2_3000_1.0_1700"
1005,"3_10016_8_1_25_1.0_150,3_10016_8_1_25_0.6_200,3_10016_8_1_25_0.4_80"
1006,"3_10017_10_1_30_1.0_150,3_10017_10_1_30_0.6_200,3_10017_10_1_30_0.8_800"
1007,"3_10005_10_1_15_1.0_150,3_10005_10_1_15_0.8_200,3_10005_10_1_15_0.4_80"
1008,"3_10005_10_1_15_1.0_150,3_10005_10_1_15_0.8_200,3_10005_10_1_15_0.4_80,3_10007_10_1_10_0.8_400，3_10007_8_1_10_0.6_400，3_10007_4_2_600_1.0_900"
1011,"3_20011_5_3_150_1.0_500,3_20012_5_3_150_1.0_500"
1012,"3_20009_5_3_150_1.0_500,3_20014_5_3_150_1.0_500"
1013,"3_20015_5_3_150_1.0_500,3_20013_5_3_150_1.0_500"
1014,"3_20007_5_3_150_1.0_500,3_20017_5_3_150_1.0_500,3_20014_5_3_150_1.0_500"
1015,"3_20002_5_3_150_1.0_500,3_20006_5_3_150_1.0_500,3_20021_5_3_150_1.0_500"
1016,"3_10006_1_3_3000_1.0_800,3_10006_1_3_3000_0.5_200"
1021,"3_30001_1_4_50_1.0_800,3_30007_1_4_50_1.0_800,3_30013_1_4_50_1.0_800,3_30019_1_4_50_1.0_800,3_30043_1_4_150_1.0_80"
1022,"3_30025_1_4_90_1.0_800,3_30031_1_4_90_1.0_800,3_30037_1_4_90_1.0_800,3_30049_1_4_90_1.0_800,3_30043_1_4_150_1.0_80"
1023,"3_30002_1_4_200_1.0_800,3_30008_1_4_200_1.0_800,3_30014_1_4_200_1.0_800,3_30020_1_4_200_1.0_800,3_30043_1_4_150_1.0_80"
1024,"3_30026_1_4_400_1.0_800,3_30032_1_4_400_1.0_800,3_30038_1_4_400_1.0_800,3_30050_1_4_400_1.0_800,3_30043_1_4_150_1.0_80"
