#TEXT,TEXT,TEXT
id,chinese,english
#文字Id,文字内容,文字内容
xgCike,火刺壳,Fireshell
xgWushi,舞狮,Dancing Lion
xgXiaochou,小丑,Joker
xgWagui,蛙鬼,Phase Frog
xgBingyan,冰岩,Frost Cap
xgHetong,河童,Kappa
xgHuapo,花魄,Flower Pixie
xgXiyiren,蜥蜴人,Lizardman
bossdajie17Zouyincao2,走音草,Melody Bulb
xgPiying,皮影,Shadow Puppet
xgMengyan,梦魇,Bangungot
xgWeitianshi,伪天使,Fallen Angel
xgMomo,得莫菲,Demovoy
xgMantuoluo,苗娃曼陀罗,Mandrake
xgMendige,温迪戈,Wendigo
xgShuigui,水鬼,Davy Jones
xgLangren,狼人,Werewolf
xgNvyao,女妖,banshee
xgLonggongtongzi,龙宫童子,Ryuku Doji
xgPanshen,潘神,Pans
xgHapi,哈皮,Harpy
xgDaochengsizhong,道成寺钟,Maiden Dojoji
xgHuoniao,火鸟,Firebird
xgHongniu,红牛弥诺陶洛斯,Minotaur
xgChange,嫦娥,Chang'e
xgDujiaoshou,独角兽,Unicorn
xgKairuisi,凯瑞斯,Keres
xgAmute,阿穆特,Ammut
xgLuoxinfu,络新妇,Nephila
xgLongnv,龙女,Daughter
xgJinglingwang,精灵王,King Elve
xgIfrit,伊芙利特,Ifrit
xgSenlinyaoji,森林妖姬,Dryad
xgDatiangou,大天狗,Tengu
xgAnpusha,安普沙,Empusa
xgBingxuenvwang,冰雪女王,Chione
bossxiaoxiang28Muling2,树灵,Kodama
bossdajie11Xiaochou4tips,人家是偶像，靠脸吃饭哒，打人能不打脸不,"I gotta look good for my job, so watch the makeup!"
bossdajie12Mantuoluo2tips,根茎是植物的生命之源,Home is where your roots are!
bossdajie13Langren3tips,手腕带了厚重的铁环，只是为了锻炼么,These big iron bracers are a part of my new workout routine!
bossdajie14Piying5tips,我们是三兄弟！,What is origami?
bossdajie15Huapo2tips,花瓣就是我的武器,You ever been punched by a flower?
bossdajie16Xiaochou3tips,看我用我的大锤给你们轰塌！,This hammer is no joke!
bossdajie17Zouyincao2tips,看我动感光波！！,I'm into underground music!
bossxiaoxiang21Wushi4tips,球呢！？我的球呢！,This ball isn't just for playing fetch!
bossxiaoxiang22Xiyiren2tips,自从我手上中了一箭,Not only Wolverine has cool claws.
bossxiaoxiang23Panshen2tips,请你接受我的心,Please accept my love!
bossxiaoxiang24Shuigui3tips,宝藏什么的我真的木有！！,What? You think all bosses have treasure?
bossxiaoxiang25Kairuisi5tips,一不小心哥哥的灵魂就被吸走了,A soul a day keeps the doctor away!
bossxiaoxiang26Longgongtongzi3tips,龙宫至宝在我手里,See this ball? It is made of tears from adventurers before you!
bossxiaoxiang27hetong2tips,围巾是我的最爱,I'll knit you a scarf you'll never forget!
bossxiaoxiang28Muling2tips,我的心是空的,"Besides the termites, my heart is completely hollow!"
xiaochoutips,我是不是萌萌哒？,Am I lovely?
mantuoluotips,我是不是萌萌哒？,Am I lovely?
langrentips,我是不是萌萌哒？,Am I lovely?
piyingtips,我是不是萌萌哒？,Am I lovely?
huapotips,我是不是萌萌哒？,Am I lovely?
xiyirentips,我是不是萌萌哒？,Am I lovely?
wusihtips,我是不是萌萌哒？,Am I lovely?
hetongtips,我是不是萌萌哒？,Am I lovely?
longgongtongzitips,我是不是萌萌哒？,Am I lovely?
shuiguitips,我是不是萌萌哒？,Am I lovely?
nvyaotips,我是不是萌萌哒？,Am I lovely?
hapitips,我是不是萌萌哒？,Am I lovely?
kairuisitips,我是不是萌萌哒？,Am I lovely?
waguitips,我是不是萌萌哒？,Am I lovely?
panshentips,我是不是萌萌哒？,Am I lovely?
ciketips,我是不是萌萌哒？,Am I lovely?
