#TEXT,TEXT,TEXT
id,chinese,english
#文字Id,文字内容,文字内容
defendName,防御,Defense
attackMetalCutSlightName,弱攻击,Weak Attack
attackMetalCutMediumName,攻击,Attack
attackMetalCutStrongName,强力攻击,Strong Attack
attackPlantCutSlightName,弱攻击,Weak Attack
attackPlantCutMediumName,攻击,Attack
attackPlantCutStrongName,强力攻击,Strong Attack
attackWaterCutSlightName,弱攻击,Weak Attack
attackWaterCutMediumName,攻击,Attack
attackWaterCutStrongName,强力攻击,Strong Attack
attackFireCutSlightName,弱攻击,Weak Attack
attackFireCutMediumName,攻击,Attack
attackFireCutStrongName,强力攻击,Strong Attack
attackEarthCutSlightName,弱攻击,Weak Attack
attackEarthCutMediumName,攻击,Attack
attackEarthCutStrongName,强力攻击,Strong Attack
attackMetalStabSlightName,弱攻击,Weak Attack
attackMetalStabMediumName,攻击,Attack
attackMetalStabStrongName,强力攻击,Strong Attack
attackPlantStabSlightName,弱攻击,Weak Attack
attackPlantStabMediumName,攻击,Attack
attackPlantStabStrongName,强力攻击,Strong Attack
attackWaterStabSlightName,弱攻击,Weak Attack
attackWaterStabMediumName,攻击,Attack
attackWaterStabStrongName,强力攻击,Strong Attack
attackFireStabSlightName,弱攻击,Weak Attack
attackFireStabMediumName,攻击,Attack
attackFireStabStrongName,强力攻击,Strong Attack
attackEarthStabSlightName,弱攻击,Weak Attack
attackEarthStabMediumName,攻击,Attack
attackEarthStabStrongName,强力攻击,Strong Attack
attackMetalSmashSlightName,弱攻击,Weak Attack
attackMetalSmashMediumName,攻击,Attack
attackMetalSmashStrongName,强力攻击,Strong Attack
attackPlantSmashSlightName,弱攻击,Weak Attack
attackPlantSmashMediumName,攻击,Attack
attackPlantSmashStrongName,强力攻击,Strong Attack
attackWaterSmashSlightName,弱攻击,Weak Attack
attackWaterSmashMediumName,攻击,Attack
attackWaterSmashStrongName,强力攻击,Strong Attack
attackFireSmashSlightName,弱攻击,Weak Attack
attackFireSmashMediumName,攻击,Attack
attackFireSmashStrongName,强力攻击,Strong Attack
attackEarthSmashSlightName,弱攻击,Weak Attack
attackEarthSmashMediumName,攻击,Attack
attackEarthSmashStrongName,强力攻击,Strong Attack
attackMetalSlightName,弱攻击,Weak Attack
attackPlantSlightName,弱攻击,Weak Attack
attackWaterSlightName,弱攻击,Weak Attack
attackFireSlightName,弱攻击,Weak Attack
attackEarthSlightName,弱攻击,Weak Attack
magicMetalBallSlightName,圣光弹,Holy Bolt
magicMetalBallMediumName,圣光一击,Holy Strike
magicMetalBallStrongName,圣光重击,Divine Blast
magicMetalColumnSlightName,圣光弹,Holy Bolt
magicMetalColumnMediumName,圣光一击,Holy Strike
magicMetalColumnStrongName,圣光重击,Divine Blast
magicPlantBallSlightName,飞叶斩,Leaf Darts
magicPlantBallMediumName,荆棘穿刺,Piercing Spikes
magicPlantBallStrongName,疯狂生长,Wild Growth
magicPlantColumnSlightName,飞叶斩,Leaf Darts
magicPlantColumnMediumName,荆棘穿刺,Piercing Spikes
magicPlantColumnStrongName,疯狂生长,Wild Growth
magicWaterBallSlightName,水流术,Water Splash
magicWaterBallMediumName,瀑布冲击,Waterfall
magicWaterBallStrongName,水龙卷,Waterspout
magicWaterColumnSlightName,水流术,Water Splash
magicWaterColumnMediumName,瀑布冲击,Waterfall
magicWaterColumnStrongName,水龙卷,Waterspout
magicFireBallSlightName,火苗术,Flame Blast
magicFireBallMediumName,炽焰击,Blaze
magicFireBallStrongName,地狱烈焰,Hell Blaze
magicFireColumnSlightName,火苗术,Flame Blast
magicFireColumnMediumName,炽焰击,Blaze
magicFireColumnStrongName,地狱烈焰,Hell Blaze
magicEarthBallSlightName,暗影突袭,Shadow Swipe
magicEarthBallMediumName,暗影爪,Shadow Claw
magicEarthBallStrongName,暗影强袭,Shadow Strike
magicEarthColumnSlightName,暗影突袭,Shadow Swipe
magicEarthColumnMediumName,暗影爪,Shadow Claw
magicEarthColumnStrongName,暗影强袭,Shadow Strike
magicMetalSlightName,圣光弹,Holy Bolt
magicPlantSlightName,飞叶斩,Leaf Darts
magicWaterSlightName,水流术,Water Splash
magicFireSlightName,火苗术,Flame Blast
magicEarthSlightName,暗影突袭,Shadow Swipe
magicMetalMediumName,圣光一击,Holy Strike
magicCureSlightName,回复术,Lesser Healing
magicCureMediumName,治疗术,Healing
magicCureStrongName,强效治疗,Potent Healing
buffSpeedName,加速术,Haste
buffSpeedSelfName,速度爆发,Dash
buffMagicName,智慧术,Insight
