#NUM,NUM,NUM,TEXT,TEXT
id,level,rank,reward1,reward2
#id,玩家等级,排名,奖励,界面显示奖励
1,10,1,pvp_rankrewardshiji1_1,pvp_rankrewardxianshi1
2,20,1,pvp_rankrewardshiji1_1,pvp_rankrewardxianshi1
3,30,1,pvp_rankrewardshiji1_2,pvp_rankrewardxianshi1
4,40,1,pvp_rankrewardshiji1_2,pvp_rankrewardxianshi1
5,50,1,pvp_rankrewardshiji1_3,pvp_rankrewardxianshi1
6,60,1,pvp_rankrewardshiji1_3,pvp_rankrewardxianshi1
7,70,1,pvp_rankrewardshiji1_4,pvp_rankrewardxianshi1
8,80,1,pvp_rankrewardshiji1_4,pvp_rankrewardxianshi1
9,90,1,pvp_rankrewardshiji1_5,pvp_rankrewardxianshi1
10,10,3,pvp_rankrewardshiji2_1,pvp_rankrewardxianshi2
11,20,3,pvp_rankrewardshiji2_1,pvp_rankrewardxianshi2
12,30,3,pvp_rankrewardshiji2_2,pvp_rankrewardxianshi2
13,40,3,pvp_rankrewardshiji2_2,pvp_rankrewardxianshi2
14,50,3,pvp_rankrewardshiji2_3,pvp_rankrewardxianshi2
15,60,3,pvp_rankrewardshiji2_3,pvp_rankrewardxianshi2
16,70,3,pvp_rankrewardshiji2_4,pvp_rankrewardxianshi2
17,80,3,pvp_rankrewardshiji2_4,pvp_rankrewardxianshi2
18,90,3,pvp_rankrewardshiji2_5,pvp_rankrewardxianshi2
19,10,10,pvp_rankrewardshiji3_1,pvp_rankrewardxianshi3
20,20,10,pvp_rankrewardshiji3_1,pvp_rankrewardxianshi3
21,30,10,pvp_rankrewardshiji3_2,pvp_rankrewardxianshi3
22,40,10,pvp_rankrewardshiji3_2,pvp_rankrewardxianshi3
23,50,10,pvp_rankrewardshiji3_3,pvp_rankrewardxianshi3
24,60,10,pvp_rankrewardshiji3_3,pvp_rankrewardxianshi3
25,70,10,pvp_rankrewardshiji3_4,pvp_rankrewardxianshi3
26,80,10,pvp_rankrewardshiji3_4,pvp_rankrewardxianshi3
27,90,10,pvp_rankrewardshiji3_5,pvp_rankrewardxianshi3
28,10,50,pvp_rankrewardshiji4_1,pvp_rankrewardxianshi4
29,20,50,pvp_rankrewardshiji4_1,pvp_rankrewardxianshi4
30,30,50,pvp_rankrewardshiji4_2,pvp_rankrewardxianshi4
31,40,50,pvp_rankrewardshiji4_2,pvp_rankrewardxianshi4
32,50,50,pvp_rankrewardshiji4_3,pvp_rankrewardxianshi4
33,60,50,pvp_rankrewardshiji4_3,pvp_rankrewardxianshi4
34,70,50,pvp_rankrewardshiji4_4,pvp_rankrewardxianshi4
35,80,50,pvp_rankrewardshiji4_4,pvp_rankrewardxianshi4
36,90,50,pvp_rankrewardshiji4_5,pvp_rankrewardxianshi4
37,10,100,pvp_rankrewardshiji5_1,pvp_rankrewardxianshi5
38,20,100,pvp_rankrewardshiji5_1,pvp_rankrewardxianshi5
39,30,100,pvp_rankrewardshiji5_2,pvp_rankrewardxianshi5
40,40,100,pvp_rankrewardshiji5_2,pvp_rankrewardxianshi5
41,50,100,pvp_rankrewardshiji5_3,pvp_rankrewardxianshi5
42,60,100,pvp_rankrewardshiji5_3,pvp_rankrewardxianshi5
43,70,100,pvp_rankrewardshiji5_4,pvp_rankrewardxianshi5
44,80,100,pvp_rankrewardshiji5_4,pvp_rankrewardxianshi5
45,90,100,pvp_rankrewardshiji5_5,pvp_rankrewardxianshi5
