#NUM,NUM,NUM,TEXT,TEXT,TEXT,TEXT,NUM,NUM,NUM,NUM,TEXT,TEXT,NUM,TEXT,NUM,NUM,TEXT,TEXT
id,group,type,comments,name,desc,icon,level,cycle,timeBeginId,timeEndId,goalType,goalParam,goalCount,rewardId,expK,expB,speechId,path
#任务Id,任务组,类别,注释,名称,任务描述,图标,接取等级,循环性,开放时间配置Id,关闭时间配置Id,目标类型,目标参数,目标值,奖励,经验系数k,经验系数b,后续对话Id,获取途径
40001,18,2,今日完成普通副本数,richang1,rimubiao1,task_rmb_icon,8,2,-1,-1,normal,,10,51001,1,1,,1_dajie11
40002,19,2,今日完成精英副本数,richang2,rimubiao2,task_rmb_icon,9,2,-1,-1,hard,,3,51002,1,1,,1_dajie21
40003,20,2,今日技能升级数,richang3,rimubiao3,task_rmb_icon,10,2,-1,-1,upskill,,3,51003,1,1,,
40004,21,2,今日装备升级数,richang4,rimubiao4,task_rmb_icon,10,2,-1,-1,upequip,,1,51004,1,1,,
40005,22,2,今日购买金币次数,richang5,rimubiao5,task_rmb_icon,10,2,-1,-1,buycoin,,1,51005,1,1,,
40007,24,2,今日商店刷新,richang6,rimubiao6,task_rmb_icon,8,2,-1,-1,shoprefresh,,1,51007,1,1,,4_1
40008,27,2,今日大冒险数,多语言id,多语言id,task_rmb_icon,101,2,-1,-1,adventure,,2,110001,1,1,,
1000001,100,3,今日所有副本,多语言id,多语言id,task_rmb_icon,101,2,-1,-1,all,,1,110001,1,1,,
1000002,101,3,今日竞技场,多语言id,多语言id,task_rmb_icon,101,2,-1,-1,arena,,1,110001,1,1,,
1000003,102,3,今日金币试炼,多语言id,多语言id,task_rmb_icon,101,2,-1,-1,holecoin,,1,110001,1,1,,
1000004,103,3,今日经验试炼,多语言id,多语言id,task_rmb_icon,101,2,-1,-1,holeexp,,1,110001,1,1,,
1000006,105,3,今日使用体力,多语言id,多语言id,task_rmb_icon,101,2,-1,-1,usefatigue,,1,110001,1,1,,
1000007,106,3,今日使用物品,多语言id,多语言id,task_rmb_icon,101,2,-1,-1,useitem,50002|50003,1,110001,1,1,,
1000009,108,3,今日合成,多语言id,多语言id,task_rmb_icon,101,2,-1,-1,synall,,1,110001,1,1,,
1000010,109,3,今日金币抽蛋,多语言id,多语言id,task_rmb_icon,101,2,-1,-1,eggcoin,,1,110001,1,1,,
1000012,111,3,今日公会祈福,多语言id,多语言id,task_rmb_icon,101,2,-1,-1,societypray,,1,110001,1,1,,
1000014,113,3,今日公会体力赠送,多语言id,多语言id,task_rmb_icon,101,2,-1,-1,societyfatigue,,1,110001,1,1,,
1000015,114,3,今日领取,多语言id,多语言id,task_rmb_icon,101,2,-1,-1,free,,1,110001,1,1,,
1000016,115,3,今日装备打孔,多语言id,多语言id,task_rmb_icon,101,2,-1,-1,equipslot,,1,110001,1,1,,
1000017,116,3,今日携带X品级装备数量,多语言id,多语言id,task_rmb_icon,101,2,-1,-1,equipstage,1,1,110001,1,1,,
1000018,117,3,今日达到等级,多语言id,多语言id,task_rmb_icon,101,2,-1,-1,level,,1,110001,1,1,,
1000019,118,3,今日买礼包数量,多语言id,多语言id,task_rmb_icon,101,2,-1,-1,buygift,,1,110001,1,1,,
1000020,119,3,今日充值钻石数量,多语言id,多语言id,task_rmb_icon,101,2,-1,-1,paydiamond,,1,110001,1,1,,
1000021,120,3,今日使用钻石数量,多语言id,多语言id,task_rmb_icon,101,2,-1,-1,usediamond,,1,110001,1,1,,
1000022,121,3,今日获得竞技场币数量,多语言id,多语言id,task_rmb_icon,101,2,-1,-1,coinarena,,1,110001,1,1,,
1000023,122,3,今日获得工会币数量,多语言id,多语言id,task_rmb_icon,101,2,-1,-1,coinsociety,,1,110001,1,1,,
10001,1,1,合成冰霜女王,zhuxian10001,mubiao10001,task_rmb_icon,1,1,-1,-1,petlevel,1,1,50001,1,1,,
10002,1,1,合成宠物(1-1),zhuxian10002,mubiao10002,task_rmb_icon,1,1,-1,-1,petmix,xgBingxuenvwang3,1,50002,1,1,,
10003,1,1,击败小丑,zhuxian10003,mubiao10003,task_rmb_icon,1,1,-1,-1,instance,dajie11,1,50003,1,1,,1_dajie11
10004,1,1,通关1-2,zhuxian10004,mubiao10004,task_rmb_icon,2,1,-1,-1,instance,dajie12,1,50004,1,1,,1_dajie12
10005,1,1,合成宠物(1-2),zhuxian10005,mubiao10005,task_rmb_icon,2,1,-1,-1,petmix,xgMantuoluo2,1,50005,1,1,,
10006,1,1,通关1-3,zhuxian10006,mubiao10006,task_rmb_icon,2,1,-1,-1,instance,dajie13,1,50006,1,1,,1_dajie13
10007,1,1,合成狼人,linshi1,linmubiao1,task_rmb_icon,3,1,-1,-1,petmix,xgLangren3,1,linshi1,1,1,,
10008,1,1,使用经验药3次,zhuxian10007,mubiao10007,task_rmb_icon,3,1,-1,-1,useitem,50002|50003|50004,3,50007,1,1,,
