#TEXT,TEXT
id,reward
#id,奖励列表：ItemType_ItemId_Count_(Stage_(Level))_Ratio
110001,"3_20001_1_0.7,4_70001_1_3_2_0.7,6_1001_2_1.0,1_1_100_1.0,1_2_100_1.0,2_5_1000_0.9,1_3_100_1.0"
110002,"3_20001_2_0.5,4_70001_1_3_2_0.7,1_2_1000_1"
110003,"3_20001_1_0.7,1_2_1000_1,1_3_100_1"
110004,1_7_1_1
110005,1_1_6666_1
110006,1_2_6666_1
110007,1_3_6666_1
110008,3_20001_1_1
110009,"1_1_6666_1,1_3_6666_1"
110010,"1_1_6666_1,1_2_6666_1,3_20001_1_1"
110011,"1_1_6666_1,3_20001_1_1,3_20001_7_1,3_20001_1_1,1_3_6666_1"
mail0001,"1_1_6666_1.0,1_2_6666_1.0,1_3_6666_1.0,3_30001_6_1.0,4_70001_1_3_2_1.0"
testminghezouyincao,"1_3_666_1.0,1_2_6666_1.0,2_5_666_1.0,3_20001_1_1.0,4_70001_1_3_2_1.0,7_xgHuapo_1_5_1.0"
testMinghe17Anpusha,"1_3_666_1.0,1_2_6666_1.0,2_5_666_1.0,3_20001_1_1.0,4_70001_1_3_2_1.0,7_xgWagui_1_10_1.0"
testmantuoluo,"1_3_888_1.0,1_2_8888_1.0,2_5_888_1.0,3_20001_1_1.0,4_70002_1_3_2_1.0,7_xgLangren_1_6_1.0"
testzouyincao,"1_3_888_1.0,1_2_6666_1.0,2_5_666_1.0,3_20001_1_1.0,4_70001_1_3_2_1.0,7_xgHapi_1_8_1.0"
fatigue,3_50005_1_1.0
10101,"1_2_100_1.0,1_3_6_1.0,6_1001_1_1.0"
10102,"1_2_122_1.0,1_3_6_1.0,6_1002_1_1.0"
10103,"1_2_131_1.0,1_3_6_1.0,6_1003_1_1.0"
10104,"1_2_136_1.0,1_3_6_1.0,6_1004_1_1.0,6_2001_1_1.0"
10105,"1_2_148_1.0,1_3_6_1.0,6_1005_1_1.0"
10106,"1_2_160_1.0,1_3_6_1.0,6_1006_1_1.0"
10107,"1_2_178_1.0,1_3_6_1.0,6_1007_2_1.0"
10108,"1_2_186_1.0,1_3_6_1.0,6_1008_2_1.0,6_2002_1_1.0"
10201,"1_2_197_1.0,1_3_6_1.0,6_1009_2_1.0,6_2101_1_0.5"
10202,"1_2_210_1.0,1_3_6_1.0,6_1010_2_1.0,6_2101_1_0.7"
10203,"1_2_221_1.0,1_3_6_1.0,6_1011_2_1.0,6_2101_1_0.9"
10204,"1_2_233_1.0,1_3_6_1.0,6_1012_3_1.0,6_2102_1_1.0"
10205,"1_2_245_1.0,1_3_6_1.0,6_1013_2_1.0,6_2103_1_0.5"
10206,"1_2_257_1.0,1_3_6_1.0,6_1014_2_1.0,6_2103_1_0.7"
10207,"1_2_269_1.0,1_3_6_1.0,6_1015_2_1.0,6_2103_1_0.9"
10208,"1_2_281_1.0,1_3_6_1.0,6_1016_3_1.0,6_2104_1_1.0"
10111,"1_2_26_1.0,3_50002_1_1.0"
10112,"1_2_30_1.0,3_50002_1_1.0"
10113,"1_2_35_1.0,3_50002_2_1.0"
10114,"1_2_41_1.0,3_50002_2_1.0"
10115,"1_2_46_1.0,3_50002_2_1.0"
10116,"1_2_53_1.0,3_50002_2_1.0"
10117,"1_2_57_1.0,3_50002_2_1.0"
10118,"1_2_62_1.0,3_50002_3_1.0"
10211,"1_2_75_1.0,3_50002_3_1.0"
10212,"1_2_82_1.0,3_50002_3_1.0"
10213,"1_2_90_1.0,3_50002_3_1.0"
10214,"1_2_105_1.0,3_50002_4_1.0"
10215,"1_2_118_1.0,3_50002_4_1.0"
10216,"1_2_134_1.0,3_50002_4_1.0"
10217,"1_2_158_1.0,3_50002_4_1.0"
10218,"1_2_175_1.0,3_50002_4_1.0"
10301,"1_2_258_1.0,1_3_6_1.0,6_1017_1_1.0"
10302,"1_2_272_1.0,1_3_6_1.0,6_1018_1_1.0"
10303,"1_2_288_1.0,1_3_6_1.0,6_1019_1_1.0"
10304,"1_2_306_1.0,1_3_6_1.0,6_1020_1_1.0"
10305,"1_2_326_1.0,1_3_6_1.0,6_1021_1_1.0"
10306,"1_2_348_1.0,1_3_6_1.0,6_1022_1_1.0"
10307,"1_2_372_1.0,1_3_6_1.0,6_1023_2_1.0"
10308,"1_2_408_1.0,1_3_6_1.0,6_1024_2_1.0,6_2002_1_1.0"
10401,"1_2_492_1.0,1_3_6_1.0,6_1025_2_1.0,6_2101_1_0.5"
10402,"1_2_530_1.0,1_3_6_1.0,6_1026_2_1.0,6_2101_1_0.7"
10403,"1_2_570_1.0,1_3_6_1.0,6_1027_2_1.0,6_2101_1_0.9"
10404,"1_2_614_1.0,1_3_6_1.0,6_1028_3_1.0,6_2102_1_1.0"
10405,"1_2_658_1.0,1_3_6_1.0,6_1029_2_1.0,6_2103_1_0.5"
10406,"1_2_702_1.0,1_3_6_1.0,6_1030_2_1.0,6_2103_1_0.7"
10407,"1_2_269_1.0,1_3_6_1.0,6_1031_2_1.0,6_2103_1_0.9"
10408,"1_2_281_1.0,1_3_6_1.0,6_1032_3_1.0,6_2104_1_1.0"
10311,"1_2_26_1.0,3_50002_1_1.0"
10312,"1_2_30_1.0,3_50002_1_1.0"
10313,"1_2_35_1.0,3_50002_2_1.0"
10314,"1_2_41_1.0,3_50002_2_1.0"
10315,"1_2_46_1.0,3_50002_2_1.0"
10316,"1_2_53_1.0,3_50002_2_1.0"
10317,"1_2_57_1.0,3_50002_2_1.0"
10318,"1_2_62_1.0,3_50002_3_1.0"
10411,"1_2_75_1.0,3_50002_3_1.0"
10412,"1_2_82_1.0,3_50002_3_1.0"
10413,"1_2_90_1.0,3_50002_3_1.0"
10414,"1_2_105_1.0,3_50002_4_1.0"
10415,"1_2_118_1.0,3_50002_4_1.0"
10416,"1_2_134_1.0,3_50002_4_1.0"
10417,"1_2_158_1.0,3_50002_4_1.0"
10418,"1_2_175_1.0,3_50002_4_1.0"
1011,"1_2_12_0.18,1_2_25_0.08,1_2_40_0.03,2_5_12_1.0"
1012,"1_2_12_0.18,1_2_25_0.08,1_2_40_0.03,2_5_12_1.0"
1013,"6_3001_1_1.0,2_5_36_1.0"
2011,"1_2_16_0.18,1_2_30_0.08,1_2_45_0.03,2_5_12_1.0"
2012,"1_2_16_0.18,1_2_30_0.08,1_2_45_0.03,2_5_12_1.0"
2013,"6_3001_1_1.0,2_5_39_1.0"
3011,"1_2_16_0.18,1_2_30_0.08,1_2_45_0.03,2_5_15_1.0"
3012,"1_2_16_0.18,1_2_30_0.08,1_2_45_0.03,2_5_15_1.0"
3013,"6_3001_1_1.0,2_5_42_1.0"
4011,"1_2_9_0.18,1_2_15_0.08,1_2_30_0.03,2_5_15_1.0"
4012,"1_2_7_0.18,1_2_18_0.08,1_2_28_0.03,2_5_15_1.0"
4013,"6_3001_1_1.0,2_5_45_1.0"
5011,"1_2_7_0.18,1_2_16_0.08,1_2_30_0.03,2_5_15_1.0"
5012,"1_2_7_0.18,1_2_18_0.08,1_2_26_0.03,2_5_15_1.0"
5013,"6_3001_1_1.0,2_5_51_1.0"
6011,"1_2_19_0.18,1_2_30_0.08,1_2_45_0.03,2_5_18_1.0"
6012,"1_2_19_0.18,1_2_32_0.08,1_2_45_0.03,2_5_18_1.0"
6013,"6_3001_1_1.0,2_5_57_1.0"
7011,"1_2_21_0.18,1_2_30_0.08,1_2_45_0.03,2_5_18_1.0"
7012,"1_2_23_0.18,1_2_29_0.08,1_2_36_0.03,2_5_18_1.0"
7013,"6_3001_1_1.0,2_5_63_1.0"
8011,"1_2_11_0.18,1_2_25_0.08,1_2_36_0.03,2_5_18_1.0"
8012,"1_2_19_0.18,1_2_32_0.08,1_2_44_0.03,2_5_18_1.0"
8013,"6_3001_1_1.0,2_5_69_1.0"
1021,"1_2_23_0.18,1_2_34_0.08,1_2_48_0.03,2_5_20_1.0"
1022,"1_2_19_0.18,1_2_32_0.08,1_2_44_0.03,2_5_20_1.0"
1023,"6_3001_1_1.0,2_5_64_1.0"
2021,"1_2_23_0.18,1_2_34_0.08,1_2_48_0.03,2_5_24_1.0"
2022,"1_2_26_0.18,1_2_35_0.08,1_2_46_0.03,2_5_24_1.0"
2023,"6_3001_1_1.0,2_5_104_1.0"
3021,"1_2_23_0.18,1_2_34_0.08,1_2_48_0.03,2_5_24_1.0"
3022,"1_2_26_0.18,1_2_35_0.08,1_2_46_0.03,2_5_24_1.0"
3023,"6_3001_1_1.0,2_5_112_1.0"
4021,"1_2_23_0.18,1_2_34_0.08,1_2_48_0.03,2_5_24_1.0"
4022,"1_2_26_0.18,1_2_35_0.08,1_2_46_0.03,2_5_24_1.0"
4023,"6_3001_1_1.0,2_5_120_1.0"
5021,"1_2_23_0.18,1_2_34_0.08,1_2_48_0.03,2_5_24_1.0"
5022,"1_2_26_0.18,1_2_35_0.08,1_2_46_0.03,2_5_24_1.0"
5023,"6_3001_1_1.0,2_5_136_1.0"
6021,"1_2_23_0.18,1_2_34_0.08,1_2_48_0.03,2_5_30_1.0"
6022,"1_2_26_0.18,1_2_35_0.08,1_2_46_0.03,2_5_30_1.0"
6023,"6_3001_1_1.0,2_5_150_1.0"
7021,"1_2_23_0.18,1_2_34_0.08,1_2_48_0.03,2_5_30_1.0"
7022,"1_2_26_0.18,1_2_35_0.08,1_2_46_0.03,2_5_30_1.0"
7023,"6_3001_1_1.0,2_5_170_1.0"
8021,"1_2_23_0.18,1_2_34_0.08,1_2_48_0.03,2_5_35_1.0"
8022,"1_2_26_0.18,1_2_35_0.08,1_2_46_0.03,2_5_35_1.0"
8023,"6_3001_1_1.0,2_5_200_1.0"
1031,"1_2_32_0.18,1_2_40_0.08,1_2_50_0.03,2_5_35_1.0"
1032,"1_2_32_0.18,1_2_40_0.08,1_2_50_0.03,2_5_35_1.0"
1033,"6_3001_1_1.0,2_5_221_1.0"
2031,"1_2_32_0.18,1_2_40_0.08,1_2_50_0.03,2_5_40_1.0"
2032,"1_2_32_0.18,1_2_40_0.08,1_2_50_0.03,2_5_40_1.0"
2033,"6_3001_1_1.0,2_5_215_1.0"
3031,"1_2_32_0.18,1_2_40_0.08,1_2_50_0.03,2_5_40_1.0"
3032,"1_2_32_0.18,1_2_40_0.08,1_2_50_0.03,2_5_40_1.0"
3033,"6_3001_1_1.0,2_5_230_1.0"
4031,"1_2_32_0.18,1_2_40_0.08,1_2_50_0.03,2_5_40_1.0"
4032,"1_2_32_0.18,1_2_40_0.08,1_2_50_0.03,2_5_40_1.0"
4033,"6_3001_1_1.0,2_5_248_1.0"
5031,"1_2_32_0.18,1_2_40_0.08,1_2_50_0.03,2_5_40_1.0"
5032,"1_2_32_0.18,1_2_40_0.08,1_2_50_0.03,2_5_40_1.0"
5033,"6_3001_1_1.0,2_5_267_1.0"
6031,"1_2_32_0.18,1_2_40_0.08,1_2_50_0.03,2_5_45_1.0"
6032,"1_2_32_0.18,1_2_40_0.08,1_2_50_0.03,2_5_45_1.0"
6033,"6_3001_1_1.0,2_5_291_1.0"
7031,"1_2_32_0.18,1_2_40_0.08,1_2_50_0.03,2_5_45_1.0"
7032,"1_2_32_0.18,1_2_40_0.08,1_2_50_0.03,2_5_45_1.0"
7033,"6_3001_1_1.0,2_5_500_1.0"
8031,"1_2_32_0.18,1_2_40_0.08,1_2_50_0.03,2_5_45_1.0"
8032,"1_2_32_0.18,1_2_40_0.08,1_2_50_0.03,2_5_45_1.0"
8033,"6_3001_1_1.0,2_5_530_1.0"
1041,"1_2_38_0.18,1_2_52_0.08,1_2_69_0.03,2_5_45_1.0"
1042,"1_2_38_0.18,1_2_52_0.08,1_2_69_0.03,2_5_45_1.0"
1043,"6_3001_1_1.0,2_5_547_1.0"
2041,"1_2_38_0.18,1_2_52_0.08,1_2_69_0.03,2_5_45_1.0"
2042,"1_2_38_0.18,1_2_52_0.08,1_2_69_0.03,2_5_45_1.0"
2043,"6_3001_1_1.0,2_5_579_1.0"
3041,"1_2_38_0.18,1_2_52_0.08,1_2_69_0.03,2_5_50_1.0"
3042,"1_2_38_0.18,1_2_52_0.08,1_2_69_0.03,2_5_50_1.0"
3043,"6_3001_1_1.0,2_5_592_1.0"
4041,"1_2_38_0.18,1_2_52_0.08,1_2_69_0.03,2_5_50_1.0"
4042,"1_2_38_0.18,1_2_52_0.08,1_2_69_0.03,2_5_50_1.0"
4043,"6_3001_1_1.0,2_5_621_1.0"
5041,"1_2_38_0.18,1_2_52_0.08,1_2_69_0.03,2_5_50_1.0"
5042,"1_2_38_0.18,1_2_52_0.08,1_2_69_0.03,2_5_50_1.0"
5043,"6_3001_1_1.0,2_5_635_1.0"
6041,"1_2_38_0.18,1_2_52_0.08,1_2_69_0.03,2_5_50_1.0"
6042,"1_2_38_0.18,1_2_52_0.08,1_2_69_0.03,2_5_50_1.0"
6043,"6_3001_1_1.0,2_5_654_1.0"
7041,"1_2_38_0.18,1_2_52_0.08,1_2_69_0.03,2_5_50_1.0"
7042,"1_2_38_0.18,1_2_52_0.08,1_2_69_0.03,2_5_50_1.0"
7043,"6_3001_1_1.0,2_5_676_1.0"
8041,"1_2_38_0.18,1_2_52_0.08,1_2_69_0.03,2_5_50_1.0"
8042,"1_2_38_0.18,1_2_52_0.08,1_2_69_0.03,2_5_50_1.0"
8043,"6_3001_1_1.0,2_5_697_1.0"
20101,"1_2_77_1.0,2_5_42_1.0,1_3_12_1.0,6_1101_2_1.0"
20102,"1_2_92_1.0,2_5_35_1.0,1_3_12_1.0,6_1102_2_1.0"
20103,"1_2_131_1.0,2_5_40_1.0,1_3_12_1.0,6_1103_2_1.0"
20104,"1_2_136_1.0,2_5_39_1.0,1_3_12_1.0,6_1104_3_1.0"
20105,"1_2_148_1.0,2_5_44_1.0,1_3_12_1.0,6_1105_3_1.0"
20106,"1_2_160_1.0,2_5_48_1.0,1_3_12_1.0,6_1106_3_1.0"
20107,"1_2_178_1.0,2_5_52_1.0,1_3_12_1.0,6_1107_3_1.0"
20108,"1_2_186_1.0,2_5_60_1.0,1_3_12_1.0,6_1108_4_1.0"
20201,"1_2_197_1.0,2_5_48_1.0,1_3_12_1.0,6_1109_3_1.0"
20202,"1_2_210_1.0,2_5_52_1.0,1_3_12_1.0,6_1110_3_1.0"
20203,"1_2_221_1.0,2_5_56_1.0,1_3_12_1.0,6_1111_3_1.0"
20204,"1_2_233_1.0,2_5_64_1.0,1_3_12_1.0,6_1112_4_1.0"
20205,"1_2_245_1.0,2_5_68_1.0,1_3_12_1.0,6_1113_3_1.0"
20206,"1_2_257_1.0,2_5_72_1.0,1_3_12_1.0,6_1114_3_1.0"
20207,"1_2_269_1.0,2_5_76_1.0,1_3_12_1.0,6_1115_3_1.0"
20208,"1_2_281_1.0,2_5_80_1.0,1_3_12_1.0,6_1116_4_1.0"
20111,"1_2_301_1.0,3_50002_1_1.0"
20112,"1_2_102_1.0,3_50002_1_1.0"
20113,"1_2_141_1.0,3_50002_2_1.0"
20114,"1_2_151_1.0,3_50002_2_1.0"
20115,"1_2_181_1.0,3_50002_3_1.0"
20116,"1_2_194_1.0,3_50002_3_1.0"
20117,"1_2_211_1.0,3_50002_4_1.0"
20118,"1_2_221_1.0,3_50002_4_1.0"
20211,"1_2_236_1.0,3_50002_4_1.0"
20212,"1_2_251_1.0,3_50002_4_1.0"
20213,"1_2_266_1.0,3_50002_1_1.0,3_50003_1_1.0"
20214,"1_2_281_1.0,3_50002_2_1.0,3_50003_1_1.0"
20215,"1_2_296_1.0,3_50002_4_1.0,3_50003_1_1.0"
20216,"1_2_311_1.0,3_50002_4_1.0,3_50003_1_1.0"
20217,"1_2_321_1.0,3_50002_1_1.0,3_50003_2_1.0"
20218,"1_2_341_1.0,3_50002_2_1.0,3_50003_2_1.0"
20301,"1_2_144_1.0,2_5_42_1.0,1_3_12_1.0,6_1117_2_1.0"
20302,"1_2_158_1.0,2_5_35_1.0,1_3_12_1.0,6_1118_2_1.0"
20303,"1_2_178_1.0,2_5_40_1.0,1_3_12_1.0,6_1119_2_1.0"
20304,"1_2_189_1.0,2_5_39_1.0,1_3_12_1.0,6_1120_3_1.0"
20305,"1_2_148_1.0,2_5_44_1.0,1_3_12_1.0,6_1121_3_1.0"
20306,"1_2_160_1.0,2_5_48_1.0,1_3_12_1.0,6_1122_3_1.0"
20307,"1_2_178_1.0,2_5_52_1.0,1_3_12_1.0,6_1123_3_1.0"
20308,"1_2_186_1.0,2_5_60_1.0,1_3_12_1.0,6_1124_4_1.0"
20401,"1_2_197_1.0,2_5_48_1.0,1_3_12_1.0,6_1125_3_1.0"
20402,"1_2_210_1.0,2_5_52_1.0,1_3_12_1.0,6_1126_3_1.0"
20403,"1_2_221_1.0,2_5_56_1.0,1_3_12_1.0,6_1127_3_1.0"
20404,"1_2_233_1.0,2_5_64_1.0,1_3_12_1.0,6_1128_4_1.0"
20405,"1_2_245_1.0,2_5_68_1.0,1_3_12_1.0,6_1129_3_1.0"
20406,"1_2_257_1.0,2_5_72_1.0,1_3_12_1.0,6_1130_3_1.0"
20407,"1_2_269_1.0,2_5_76_1.0,1_3_12_1.0,6_1131_3_1.0"
20408,"1_2_281_1.0,2_5_80_1.0,1_3_12_1.0,6_1132_4_1.0"
20311,"1_2_126_1.0,3_50002_1_1.0"
20312,"1_2_130_1.0,3_50002_1_1.0"
20313,"1_2_135_1.0,3_50002_2_1.0"
20314,"1_2_141_1.0,3_50002_2_1.0"
20315,"1_2_46_1.0,3_50002_2_1.0"
20316,"1_2_53_1.0,3_50002_2_1.0"
20317,"1_2_57_1.0,3_50002_2_1.0"
20318,"1_2_62_1.0,3_50002_3_1.0"
20411,"1_2_75_1.0,3_50002_3_1.0"
20412,"1_2_82_1.0,3_50002_3_1.0"
20413,"1_2_90_1.0,3_50002_3_1.0"
20414,"1_2_105_1.0,3_50002_4_1.0"
20415,"1_2_118_1.0,3_50002_4_1.0"
20416,"1_2_134_1.0,3_50002_4_1.0"
20417,"1_2_158_1.0,3_50002_4_1.0"
20418,"1_2_175_1.0,3_50002_4_1.0"
31001,"3_10005_10_1.0,3_11001_10_1.0"
31002,"3_10005_10_1.0,3_11001_30_1.0"
31003,"3_10005_10_1.0,3_11002_10_1.0"
31004,"3_10005_10_1.0,3_11002_15_1.0"
32001,1_1_20_1.0
32002,1_1_45_1.0
32003,1_1_30_1.0
32004,1_1_55_1.0
41001,"3_11001_1_1.0,3_10005_1_1.0,3_101_1_1.0"
42001,"3_20003_1_1.0,3_20005_1_1.0,3_10016_1_1.0,3_10017_1_1.0"
41002,"3_11001_1_1.0,3_103_1_1.0,3_104_1_1.0,3_105_1_1.0,3_106_1_1.0"
42002,"3_20003_1_1.0,3_20004_1_1.0,3_10016_1_1.0,3_10017_1_1.0"
43001,"3_101_1_1.0,3_102_1_1.0,3_11001_1_1.0,3_11002_1_1.0,3_10005_1_1.0"
43002,"3_20008_1_1.0,3_20009_1_1.0,3_10016_1_1.0,3_10017_1_1.0"
44001,"3_103_1_1.0,3_104_1_1.0,3_11002_1_1.0,3_10005_1_1.0"
44002,"3_20015_1_1.0,3_20018_1_1.0,3_10016_1_1.0,3_10017_1_1.0"
1113,"6_3001_1_1.0,2_5_180"
2113,"6_3001_1_1.0,2_5_190"
3113,"6_3001_1_1.0,2_5_200"
4113,"6_3001_1_1.0,2_5_220"
5113,"6_3001_1_1.0,2_5_240"
6113,"6_3001_1_1.0,2_5_280"
7113,"6_3001_1_1.0,2_5_300"
8113,"6_3001_1_1.0,2_5_320"
1123,"6_3001_1_1.0,2_5_340"
2123,"6_3001_1_1.0,2_5_360"
3123,"6_3001_1_1.0,2_5_380"
4123,"6_3001_1_1.0,2_5_420"
5123,"6_3001_1_1.0,2_5_450"
6123,"6_3001_1_1.0,2_5_480"
7123,"6_3001_1_1.0,2_5_500"
8123,"6_3001_1_1.0,2_5_520"
1133,"6_3001_1_1.0,2_5_550"
2133,"6_3001_1_1.0,2_5_570"
3133,"6_3001_1_1.0,2_5_590"
4133,"6_3001_1_1.0,2_5_610"
5133,"6_3001_1_1.0,2_5_630"
6133,"6_3001_1_1.0,2_5_650"
7133,"6_3001_1_1.0,2_5_670"
8133,"6_3001_1_1.0,2_5_690"
1143,"6_3001_1_1.0,2_5_710"
2143,"6_3001_1_1.0,2_5_730"
3143,"6_3001_1_1.0,2_5_750"
4143,"6_3001_1_1.0,2_5_770"
5143,"6_3001_1_1.0,2_5_790"
6143,"6_3001_1_1.0,2_5_810"
7143,"6_3001_1_1.0,2_5_830"
8143,"6_3001_1_1.0,2_5_850"
33101,3_11001_1_1.0
33102,"3_11001_1_1.0,3_101_1_1.0"
33103,3_10005_1_1.0
33104,"3_102_1_1.0,3_10005_1_1.0"
33111,"3_103_1_1.0,3_102_1_1.0,3_11001_1_1.0"
33112,"3_102_1_1.0,3_104_1_1.0,3_11001_1_1.0"
33113,"3_104_1_1.0,3_105_1_1.0,3_10005_1_1.0"
33114,"3_104_1_1.0,3_106_1_1.0,3_10005_1_1.0"
33121,"3_101_1_1.0,3_11001_1_1.0"
33122,3_11002_1_1.0
33123,"3_102_1_1.0,3_10005_1_1.0"
33124,3_10005_1_1.0
33131,3_11002_1_1.0
33132,"3_103_1_1.0,3_11002_1_1.0"
33133,"3_10005_1_1.0,3_104_1_1.0"
33134,3_10005_1_1.0
33201,3_10016_1_1.0
33202,"3_10016_1_1.0,3_20002_1_1.0"
33203,3_10017_1_1.0
33204,"3_10017_1_1.0,3_20006_1_1.0"
33211,3_10016_1_1.0
33212,"3_10016_1_1.0,3_20003_1_1.0"
33213,3_10017_1_1.0
33214,"3_10017_1_1.0,3_20005_1_1.0"
33221,3_10016_1_1.0
33222,"3_10016_1_1.0,3_20003_1_1.0"
33223,3_10017_1_1.0
33224,"3_10017_1_1.0,3_20005_1_1.0"
33231,3_10016_1_1.0
33232,"3_10016_1_1.0,3_20003_1_1.0"
33233,3_10017_1_1.0
33234,"3_10017_1_1.0,3_20005_1_1.0"
50001,"1_3_7_1.0,1_2_300_1.0,3_20009_30_1.0"
50002,"1_3_8_1.0,1_2_600_1.0"
50003,"1_3_12_1.0,1_2_1000_1.0"
50004,"1_2_1500_1.0,3_50002_5_1.0,3_20013_30_1.0"
50005,"1_3_12_1.0,1_2_2500_1.0,3_50002_5_1.0"
50006,"1_2_5000_1.0,3_50002_5_1.0,3_20024_20_1.0"
50007,"1_3_18_1.0,1_2_2500_1.0,3_10003_5_1.0"
50008,"1_3_18_1.0,1_2_2800_1.0,3_20024_20_1.0"
50009,"1_3_25_1.0,1_2_3300_1.0,4_70013_1_1_0_1.0"
50010,"1_2_3600_1.0,4_70014_1_1_0_1.0,3_11001_25_1.0"
50011,"1_3_30_1.0,1_2_4000_1.0,4_70002_1_1_0_1.0,4_70020_1_1_0_1.0,3_20024_20_1.0,3_20018_30_1.0"
50012,"1_3_35_1.0,1_2_4500_1.0,4_70013_1_1_0_1.0,4_70019_1_1_0_1.0"
50013,"1_3_40_1.0,1_2_5000_1.0,1_1_20_1.0"
50014,"1_3_45_1.0,1_2_5500_1.0,3_11001_10_1.0"
50015,"1_3_50_1.0,1_2_6000_1.0"
50016,"1_3_55_1.0,1_2_6600_1.0,3_10005_15_1.0"
50017,"1_3_55_1.0,1_2_7200_1.0"
50018,"1_3_60_1.0,1_2_7800_1.0,3_11001_5_1.0"
50019,"1_3_65_1.0,1_2_8400_1.0"
50020,"1_3_70_1.0,1_2_9000_1.0,3_10017_14_1.0"
50021,"1_3_70_1.0,1_2_9700_1.0"
50022,"1_3_75_1.0,1_2_10400_1.0"
50023,"1_3_80_1.0,1_2_11100_1.0"
50024,"1_3_80_1.0,1_2_11800_1.0"
50025,"1_3_90_1.0,1_2_12500_1.0"
50026,"1_3_95_1.0,1_2_13200_1.0"
50027,"1_3_100_1.0,1_2_14000_1.0"
50028,"1_3_110_1.0,1_2_15000_1.0,3_10007_2_1.0"
50029,"1_3_130_1.0,1_2_16000_1.0"
50030,"1_3_135_1.0,1_2_17000_1.0"
