#TEXT,TEXT,TEXT
id,sellFixed,sellRandom
#id,固定装备列表: ItemType_ItemId_Count_(Stage_Level)_Price_Discount,随机装备列表
1001,"3_20003_5_1_30_1.0,3_20024_5_1_30_1.0,3_11001_10_2_800_1.0",1001_1002_1003_1004_1005_1006_1007
1002,"3_20003_5_1_30_1.0,3_20024_5_1_30_1.0,3_11002_10_2_4000_1.0",1001_1002_1003_1004_1005_1006_1008
1003,"3_20020_5_1_30_1.0,3_20024_5_1_30_1.0,3_11003_10_2_20000_1.0",1001_1002_1003_1004_1005_1006_1008
1004,"3_20018_1_3_150_1.0,3_20008_1_3_150_1.0,3_20003_1_3_150_1.0",1011_1012_1013_1014_1015_1016
1005,"3_20018_1_3_150_1.0,3_20011_1_3_150_1.0,3_20008_1_3_150_1.0",1011_1012_1013_1014_1015_1016
1006,"3_50002_1_4_100_1.0,3_50003_1_4_500_0.8",1021_1022_1023_1024_1025_1026_1027_1028
1007,"3_50002_1_4_100_1.0,3_50003_1_4_500_0.8",1021_1022_1023_1024_1025_1026_1027_1028
1008,"3_50002_1_4_100_1.0,3_50003_1_4_500_0.8",1021_1022_1023_1024_1025_1026_1027_1028
1009,"3_50002_1_4_100_1.0,3_50003_1_4_500_0.8",1021_1022_1023_1024_1025_1026_1027_1028
1010,"3_50002_1_4_100_1.0,3_50003_1_4_500_0.8",1021_1022_1023_1024_1025_1026_1027_1028
