#TEXT,NUM,NUM,NUM,TEXT
id,type,refreshMaxNumByHand,maxLevel,sellItemId
#id,#商店类型,每天手动最大刷新次数,最大级别,商品列表
1,1,3,10,1001
2,1,3,20,1002
3,1,3,30,1001
4,1,3,40,1002
5,1,3,50,1001
6,1,3,60,1002
7,1,3,70,1001
8,1,3,80,1002
9,1,3,90,1001
10,1,3,100,1002
11,2,3,10,1001
12,2,3,20,1002
13,2,3,30,1001
14,2,3,40,1002
15,2,3,50,1001
16,2,3,60,1002
17,2,3,70,1001
18,2,3,80,1002
19,2,3,90,1001
20,2,3,100,1002
21,3,3,10,1001
22,3,3,20,1002
23,3,3,30,1001
24,3,3,40,1002
25,3,3,50,1001
26,3,3,60,1002
27,3,3,70,1001
28,3,3,80,1002
29,3,3,90,1001
30,3,3,100,1002
