 meizi,TEXT,TEXT,NUM,TEXT,NUM,TEXT
id,name,icon,goalType,goalParam,goalCount,rewardId
#任务Id,名称,图标,目标类型,目标参数,目标值,奖励
10001,smallTarget10001,icon_gonghuikeji_jingbi,1,,2000,smallTask10001
10002,smallTarget10002,icon_gonghuikeji_jingbi,1,,3000,smallTask10002
10003,smallTarget10003,icon_gonghuikeji_jingbi,1,,4000,smallTask10003
10004,smallTarget10004,icon_gonghuikeji_jingbi,1,,2500,smallTask10004
10005,smallTarget10005,icon_gonghuikeji_jingbi,1,,3500,smallTask10005
10006,smallTarget10006,icon_gonghuikeji_jingbi,1,,5000,smallTask10006
10007,smallTarget10007,icon_gonghuikeji_jingbi,1,,3500,smallTask10007
10008,smallTarget10008,icon_gonghuikeji_jingbi,1,,5000,smallTask10008
10009,smallTarget10009,icon_gonghuikeji_jingbi,1,,7000,smallTask10009
10010,smallTarget10010,icon_gonghuikeji_jingbi,1,,4500,smallTask10010
10011,smallTarget10011,icon_gonghuikeji_jingbi,1,,6500,smallTask10011
10012,smallTarget10012,icon_gonghuikeji_jingbi,1,,9000,smallTask10012
20001,smallTarget20001,icon_xgWushi_hong,2,10021,1,smallTask10013
20002,smallTarget20002,icon_xgWushi_hong,2,10021,2,smallTask10014
20003,smallTarget20003,icon_xgWushi_hong,2,10021,3,smallTask10015
20004,smallTarget20004,icon_xgMantuoluo_lv,2,10022,1,smallTask10016
20005,smallTarget20005,icon_xgMantuoluo_lv,2,10022,2,smallTask10017
20006,smallTarget20006,icon_xgMantuoluo_lv,2,10022,3,smallTask10018
20007,smallTarget20007,icon_xgHetong_lan,2,10023,1,smallTask10019
20008,smallTarget20008,icon_xgHetong_lan,2,10023,2,smallTask10020
20009,smallTarget20009,icon_xgHetong_lan,2,10023,3,smallTask10021
20010,smallTarget20010,icon_xgWushi_hong,2,10021,1,smallTask10022
20011,smallTarget20011,icon_xgWushi_hong,2,10021,3,smallTask10023
20012,smallTarget20012,icon_xgWushi_hong,2,10021,7,smallTask10024
20013,smallTarget20013,icon_xgMantuoluo_lv,2,10022,1,smallTask10025
20014,smallTarget20014,icon_xgMantuoluo_lv,2,10022,3,smallTask10026
20015,smallTarget20015,icon_xgMantuoluo_lv,2,10022,7,smallTask10027
20016,smallTarget20016,icon_xgHetong_lan,2,10023,1,smallTask10028
20017,smallTarget20017,icon_xgHetong_lan,2,10023,3,smallTask10029
20018,smallTarget20018,icon_xgHetong_lan,2,10023,7,smallTask10030
20019,smallTarget20019,icon_xgWushi_hong,2,10021,2,smallTask10031
20020,smallTarget20020,icon_xgWushi_hong,2,10021,4,smallTask10032
20021,smallTarget20021,icon_xgWushi_hong,2,10021,8,smallTask10033
20022,smallTarget20022,icon_xgMantuoluo_lv,2,10022,2,smallTask10034
20023,smallTarget20023,icon_xgMantuoluo_lv,2,10022,4,smallTask10035
20024,smallTarget20024,icon_xgMantuoluo_lv,2,10022,8,smallTask10036
20025,smallTarget20025,icon_xgHetong_lan,2,10023,2,smallTask10037
20026,smallTarget20026,icon_xgHetong_lan,2,10023,4,smallTask10038
20027,smallTarget20027,icon_xgHetong_lan,2,10023,8,smallTask10039
30001,smallTarget30001,icon_gonghuirenwu_fuben,3,gonghuidajie11,0,smallTask10001
30002,smallTarget30002,icon_gonghuirenwu_fuben,3,gonghuidajie12,0,smallTask10002
30003,smallTarget30003,icon_gonghuirenwu_fuben,3,gonghuidajie13,0,smallTask10003
30004,smallTarget30004,icon_gonghuirenwu_fuben,3,gonghuidajie14,0,smallTask10004
30005,smallTarget30005,icon_gonghuirenwu_fuben,3,gonghuidajie15,0,smallTask10005
