#NUM,NUM,NUM,NUM,NUM,NUM,FLOAT,TEXT,TEXT,TEXT,TEXT
id,type,level,sociatyLevel,levelUp,gainPeople,gainCoin,gainExp,icon,tecDescript,tecName
#id,#科技类型,本科技等级,公会等级,升级消耗,本级公会最大人数,本级金钱试炼获得的增益百分比,本级金钱试炼获得的增益百分比,工会科技图标,科技描述,科技名称
1,1,1,-1,200,-1,0,,anniu_xingge_1,sociaty_leveltips,sociaty_levelname
2,1,2,-1,200,-1,0,,anniu_xingge_1,sociaty_leveltips,sociaty_levelname
3,1,3,-1,200,-1,0,,anniu_xingge_1,sociaty_leveltips,sociaty_levelname
4,1,4,-1,200,-1,0,,anniu_xingge_1,sociaty_leveltips,sociaty_levelname
5,1,5,-1,200,-1,0,,anniu_xingge_1,sociaty_leveltips,sociaty_levelname
6,1,6,-1,200,-1,0,,anniu_xingge_1,sociaty_leveltips,sociaty_levelname
7,1,7,-1,200,-1,0,,anniu_xingge_1,sociaty_leveltips,sociaty_levelname
8,1,8,-1,200,-1,0,,anniu_xingge_1,sociaty_leveltips,sociaty_levelname
9,1,9,-1,200,-1,0,,anniu_xingge_1,sociaty_leveltips,sociaty_levelname
10,1,10,-1,200,-1,0,,anniu_xingge_1,sociaty_leveltips,sociaty_levelname
11,2,1,1,200,10,0,,anniu_xingge_1,sociaty_peopletips,sociaty_peoplenum2
12,2,2,3,200,20,0,,anniu_xingge_1,sociaty_peopletips,sociaty_peoplenum2
13,2,3,5,200,30,0,,anniu_xingge_1,sociaty_peopletips,sociaty_peoplenum2
14,2,4,7,200,40,0,,anniu_xingge_1,sociaty_peopletips,sociaty_peoplenum2
15,2,5,9,200,50,0,,anniu_xingge_1,sociaty_peopletips,sociaty_peoplenum2
16,3,1,3,200,-1,0.02,,anniu_xingge_1,sociaty_cointips,sociaty_coinup
17,3,2,4,200,-1,0.03,,anniu_xingge_1,sociaty_cointips,sociaty_coinup
18,3,3,5,200,-1,0.04,,anniu_xingge_1,sociaty_cointips,sociaty_coinup
19,3,4,6,200,-1,0.05,,anniu_xingge_1,sociaty_cointips,sociaty_coinup
20,3,5,7,200,-1,0.06,,anniu_xingge_1,sociaty_cointips,sociaty_coinup
21,4,1,2,200,-1,0,3_50002_1,anniu_xingge_1,sociaty_leveltips,sociaty_expup
22,4,2,3,200,-1,0,3_50002_2,anniu_xingge_1,sociaty_leveltips,sociaty_expup
23,4,3,4,200,-1,0,3_50002_3,anniu_xingge_1,sociaty_leveltips,sociaty_expup
24,4,4,5,200,-1,0,3_50002_4,anniu_xingge_1,sociaty_leveltips,sociaty_expup
25,4,5,6,200,-1,0,3_50002_5,anniu_xingge_1,sociaty_leveltips,sociaty_expup
