#TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,TEXT
id,skip,campType,name,image,face,position,speakId
#对话编号Id,是否可跳过,阵营,发言人名称,立绘,立绘,坐标,对话多语言编号
speech_test,1,a,雪姬,zhujiemian_ditu,jiesuan_shengji,"0,0",speak_001
,,b,兔桑,zhujiemian_ditu,jiesuan_shengji,"0,0",speak_002
,,a,雪姬,zhujiemian_ditu,jiesuan_shengji,"20,400",speak_003
,,b,兔桑,zhujiemian_ditu,jiesuan_shengji,"20,400",speak_004
,,a,雪姬,zhujiemian_ditu,jiesuan_shengji,"-40,500",speak_005
,,b,兔桑,zhujiemian_ditu,jiesuan_shengji,"-40,500",speak_006
demo_tishi,0,a,兔桑,lihui_1,lihui_1,"-40,500",speak_006
speech_xinshousummon,0,a,speechname_bingxuenvwang,zhujiemian_ditu,jiesuan_shengji,"0,0",speech_summon1
,,b,speechname_wo,zhujiemian_ditu,jiesuan_shengji,"0,0",speech_summon2
,,a,speechname_jiuwei,zhujiemian_ditu,jiesuan_shengji,"0,0",speech_summon3
,,b,speechname_wo,zhujiemian_ditu,jiesuan_shengji,"0,0",speech_summon4
,,a,speechname_jiuwei,zhujiemian_ditu,jiesuan_shengji,"0,0",speech_summon5
,,b,speechname_wo,zhujiemian_ditu,jiesuan_shengji,"0,0",speech_summon6
,,a,speechname_jiuwei,zhujiemian_ditu,jiesuan_shengji,"0,0",speech_summon7
,,a,speechname_jiuwei,zhujiemian_ditu,jiesuan_shengji,"0,0",speech_summon8
,,b,speechname_wo,zhujiemian_ditu,jiesuan_shengji,"0,0",speech_summon9
speech_hechengpetqian,0,a,speechname_bingxuenvwang,zhujiemian_ditu,jiesuan_shengji,"0,0",speech_hechengpet1
,,b,speechname_jiuwei,zhujiemian_ditu,jiesuan_shengji,"0,0",speech_hechengpet2
,,b,speechname_jiuwei,zhujiemian_ditu,jiesuan_shengji,"0,0",speech_hechengpet3
speech_hechengpethou,0,a,speechname_jiuwei,zhujiemian_ditu,jiesuan_shengji,"0,0",speech_hechengpet4
,,a,speechname_jiuwei,zhujiemian_ditu,jiesuan_shengji,"0,0",speech_hechengpet5
,,b,speechname_wo,zhujiemian_ditu,jiesuan_shengji,"0,0",speech_hechengpet6
,,a,speechname_jiuwei,zhujiemian_ditu,jiesuan_shengji,"0,0",speech_hechengpet7
speech_shop,0,a,speechname_jiuwei,zhujiemian_ditu,jiesuan_shengji,"0,0",speech_shop
speech_expqian,0,a,speechname_bingxuenvwang,zhujiemian_ditu,jiesuan_shengji,"0,0",speech_exp1
,,a,speechname_bingxuenvwang,zhujiemian_ditu,jiesuan_shengji,"0,0",speech_exp2
speech_exphou,0,a,speechname_bingxuenvwang,zhujiemian_ditu,jiesuan_shengji,"0,0",speech_exp3
,,b,speechname_jiuwei,zhujiemian_ditu,jiesuan_shengji,"0,0",speech_exp4
,,a,speechname_bingxuenvwang,zhujiemian_ditu,jiesuan_shengji,"0,0",speech_exp5
,,b,speechname_jiuwei,zhujiemian_ditu,jiesuan_shengji,"0,0",speech_exp6
,,a,speechname_bingxuenvwang,zhujiemian_ditu,jiesuan_shengji,"0,0",speech_exp7
,,b,speechname_wo,zhujiemian_ditu,jiesuan_shengji,"0,0",speech_exp8
,,a,speechname_jiuwei,zhujiemian_ditu,jiesuan_shengji,"0,0",speech_exp9
speech_levelupqian,0,a,speechname_jiuwei,zhujiemian_ditu,jiesuan_shengji,"0,0",speech_levelup1
,,b,speechname_bingxuenvwang,zhujiemian_ditu,jiesuan_shengji,"0,0",speech_levelup2
,,a,speechname_jiuwei,zhujiemian_ditu,jiesuan_shengji,"0,0",speech_levelup3
,,a,speechname_jiuwei,zhujiemian_ditu,jiesuan_shengji,"0,0",speech_levelup4
,,b,speechname_wo,zhujiemian_ditu,jiesuan_shengji,"0,0",speech_levelup5
,,a,speechname_jiuwei,zhujiemian_ditu,jiesuan_shengji,"0,0",speech_levelup6
,,b,speechname_wo,zhujiemian_ditu,jiesuan_shengji,"0,0",speech_levelup7
,,a,speechname_jiuwei,zhujiemian_ditu,jiesuan_shengji,"0,0",speech_levelup8
speech_leveluphou,0,a,speechname_jiuwei,zhujiemian_ditu,jiesuan_shengji,"0,0",speech_levelup9
speech_equip,0,a,speechname_jiuwei,zhujiemian_ditu,jiesuan_shengji,"0,0",speech_equip1
,,b,speechname_wo,zhujiemian_ditu,jiesuan_shengji,"0,0",speech_equip2
,,a,speechname_jiuwei,zhujiemian_ditu,jiesuan_shengji,"0,0",speech_equip3
,,b,speechname_wo,zhujiemian_ditu,jiesuan_shengji,"0,0",speech_equip4
,,a,speechname_jiuwei,zhujiemian_ditu,jiesuan_shengji,"0,0",speech_equip5
speech_houbeiwei,0,a,speechname_jiuwei,zhujiemian_ditu,jiesuan_shengji,"0,0",speech_houbeiwei
speech_qianghuashi,0,a,speechname_jiuwei,zhujiemian_ditu,jiesuan_shengji,"0,0",speech_qianghuashi
