#NUM,NUM,NUM,NUM,NUM,NUM,NUM,TEXT
type,minute,hour,dayOfWeek,dayOfMonth,month,year,comments
#类型,每小时几分,每天几点,每周几,每月几号,每年几月,年,注释
1,0,0,7,-1,-1,-1,\
101,0,0,-1,-1,-1,-1,每日服务器刷新
102,0,0,-1,1,-1,-1,\
103,0,12,-1,-1,-1,-1,\
104,0,14,-1,-1,-1,-1,每日商店第1次刷新
105,50,15,-1,-1,-1,-1,每日商店第2次刷新
106,0,20,-1,-1,-1,-1,每日商店第3次刷新
107,0,12,-1,-1,-1,-1,每日公会第1次刷新
108,0,18,-1,-1,-1,-1,每日公会第2次刷新
109,0,24,-1,-1,-1,-1,每日公会第3次刷新
110,0,0,1,-1,-1,-1,时光之穴经验本
111,0,0,3,-1,-1,-1,时光之穴经验本
112,0,0,5,-1,-1,-1,时光之穴经验本
113,0,0,7,-1,-1,-1,时光之穴经验/金币本
114,0,0,2,-1,-1,-1,时光之穴金币本
115,0,0,4,-1,-1,-1,时光之穴金币本
116,0,0,6,-1,-1,-1,时光之穴金币本
117,0,0,-1,1,-1,-1,通天塔
