#NUM,NUM,NUM,NUM,NUM,NUM,NUM,NUM,NUM,NUM,NUM,TEXT,TEXT,TEXT
stage,health,strength,intelligence,speed,defense,endurance,recovery,modifyRate,demandLevel,demandCoin,demandItem,demandMonster,decompose
#品质,体力,力量,智力,速度,防御力,耐力,战后回血,品质系数K,进阶需求该宠物等级,进阶需求金币,进阶需求材料,进阶需求怪物,分解列表
0,0,0,0,0,0,0,0,0,0,0,,,3_20001_2
1,0,0,0,10,0,0,0,1.05,10,300,3_10017_10,,3_20001_4
2,130,44,44,28,42,0,0,1.05,15,2000,3_10016_25,,3_20001_4
3,130,44,44,41,42,0,0,1.16,20,4000,3_10017_25,7_xgXiyiren_2_0,"3_20001_4,3_10016_10"
4,349,119,119,54,113,0,0,1.16,25,8000,3_10016_55,,"3_20001_4,3_10016_18"
5,610,208,208,67,198,0,0,1.16,30,20000,3_10016_150,,"3_20001_4,3_10016_30"
6,610,208,208,80,198,0,0,1.34,35,30000,3_10017_90,"7_xgXiyiren_3_0,7_self_1_2","3_20001_8,3_10016_35"
7,960,327,327,93,312,0,0,1.34,40,50000,3_10016_163,,"3_20001_8,3_10016_42"
8,1352,461,461,106,440,0,0,1.34,45,80000,3_10016_205,,"3_20001_8,3_10016_51"
9,1789,610,610,119,582,0,0,1.34,50,100000,3_10016_205,,"3_20001_8,3_10016_75"
10,1000,100,100,100,100,0,0,1,1,1,3_10002_10,"7_xgXiyiren_4_0,7_self_1_3","3_20001_12,3_10016_80"
11,1000,100,100,100,100,0,0,1,1,1,3_10002_11,,"3_20001_12,3_10016_90"
12,1000,100,100,100,100,0,0,1,1,1,3_10002_12,,"3_20001_13,1_2_1300"
13,1000,100,100,100,100,0,0,1,1,1,3_10002_13,,"3_20001_14,1_2_1400"
14,1000,100,100,100,100,0,0,1,1,1,3_10002_14,,"3_20001_15,1_2_1500"
15,1000,100,100,100,100,0,0,1,1,1,3_10002_15,"7_xgXiyiren_5_0,7_self_1_6","3_20001_16,1_2_1600"
