#NUM,TEXT,TEXT,NUM
id,level,num,weight
#id,玩家等级段,需求怪物数量,权重
1,"1,29",1_1_0,30
2,"1,29",1_2_0,30
3,"1,29",2_2_0,10
4,"1,29",1_1_1,30
5,"1,29",1_1_2,30
6,"30,49",1_1_0,30
7,"30,49",1_2_0,30
8,"30,49",1_3_0,15
9,"30,49",2_2_0,30
10,"30,49",2_3_0,15
11,"30,49",1_1_1,30
12,"30,49",1_1_2,30
13,"30,49",1_1_3,15
14,"30,49",1_2_2,30
15,"50,99",1_1_0,30
16,"50,99",1_2_0,30
17,"50,99",1_3_0,15
18,"50,99",2_2_0,30
19,"50,99",2_3_0,15
20,"50,99",1_1_1,30
21,"50,99",1_1_2,30
22,"50,99",1_1_3,15
23,"50,99",1_2_2,30
