#NUM,TEXT,TEXT,NUM,NUM,NUM,TEXT
id,comments,level,monsterType,monsterProperty,weight,desc
#id,注释,玩家等级段,宠物类型,宠物属性,权重,描述id
1,动物类,"1,29",1,-1,20,adventure_conditions6
2,植物类,"1,29",4,-1,20,adventure_conditions9
3,人物类,"1,29",2,-1,20,adventure_conditions7
4,特异类,"1,29",3,-1,20,adventure_conditions8
5,光属性,"1,29",-1,1,20,adventure_conditions1
6,木属性,"1,29",-1,2,20,adventure_conditions2
7,水属性,"1,29",-1,3,20,adventure_conditions3
8,火属性,"1,29",-1,4,20,adventure_conditions4
9,暗属性,"1,29",-1,5,20,adventure_conditions5
10,神类,"1,29",5,-1,10,adventure_conditions10
11,光动物,"1,29",1,1,10,adventure_conditions11
12,木动物,"1,29",1,2,10,adventure_conditions16
13,水动物,"1,29",1,3,10,adventure_conditions21
14,火动物,"1,29",1,4,10,adventure_conditions26
15,暗动物,"1,29",1,5,10,adventure_conditions31
16,水人,"1,29",2,3,10,adventure_conditions22
17,火人,"1,29",2,4,10,adventure_conditions27
18,暗人,"1,29",2,5,10,adventure_conditions32
19,木植物,"1,29",4,2,10,adventure_conditions19
20,暗特异,"1,29",3,5,10,adventure_conditions33
21,动物类,"30,49",1,-1,21,adventure_conditions6
22,植物类,"30,49",4,-1,21,adventure_conditions9
23,人物类,"30,49",2,-1,21,adventure_conditions7
24,特异类,"30,49",3,-1,21,adventure_conditions8
25,光属性,"30,49",-1,1,21,adventure_conditions1
26,木属性,"30,49",-1,2,21,adventure_conditions2
27,水属性,"30,49",-1,3,21,adventure_conditions3
28,火属性,"30,49",-1,4,21,adventure_conditions4
29,暗属性,"30,49",-1,5,21,adventure_conditions5
30,神类,"30,49",5,-1,20,adventure_conditions10
31,光动物,"30,49",1,1,20,adventure_conditions11
32,木动物,"30,49",1,2,20,adventure_conditions16
33,水动物,"30,49",1,3,20,adventure_conditions21
34,火动物,"30,49",1,4,20,adventure_conditions26
35,暗动物,"30,49",1,5,20,adventure_conditions31
36,木人,"30,49",2,2,20,adventure_conditions17
37,水人,"30,49",2,3,20,adventure_conditions22
38,火人,"30,49",2,4,20,adventure_conditions27
39,暗人,"30,49",2,5,20,adventure_conditions32
40,木植物,"30,49",4,2,20,adventure_conditions19
41,木特异,"30,49",3,2,20,adventure_conditions18
42,暗特异,"30,49",3,5,20,adventure_conditions33
43,光人,"30,49",2,1,21,adventure_conditions12
44,光特异,"30,49",3,1,21,adventure_conditions13
45,水特异,"30,49",3,3,21,adventure_conditions23
46,火特异,"30,49",3,4,21,adventure_conditions28
47,光神,"30,49",5,1,21,adventure_conditions15
48,木神,"30,49",5,2,21,adventure_conditions20
49,水神,"30,49",5,3,21,adventure_conditions25
50,火神,"30,49",5,4,21,adventure_conditions30
51,暗神,"30,49",5,5,21,adventure_conditions35
52,动物类,"50,99",1,-1,20,adventure_conditions6
53,植物类,"50,99",4,-1,20,adventure_conditions9
54,人物类,"50,99",2,-1,20,adventure_conditions7
55,特异类,"50,99",3,-1,20,adventure_conditions8
56,光属性,"50,99",-1,1,20,adventure_conditions1
57,木属性,"50,99",-1,2,20,adventure_conditions2
58,水属性,"50,99",-1,3,20,adventure_conditions3
59,火属性,"50,99",-1,4,20,adventure_conditions4
60,暗属性,"50,99",-1,5,20,adventure_conditions5
61,神类,"50,99",5,-1,35,adventure_conditions10
62,光动物,"50,99",1,1,35,adventure_conditions11
63,木动物,"50,99",1,2,35,adventure_conditions16
64,水动物,"50,99",1,3,35,adventure_conditions21
65,火动物,"50,99",1,4,35,adventure_conditions26
66,暗动物,"50,99",1,5,35,adventure_conditions31
67,木人,"50,99",2,2,35,adventure_conditions17
68,水人,"50,99",2,3,35,adventure_conditions22
69,火人,"50,99",2,4,35,adventure_conditions27
70,暗人,"50,99",2,5,35,adventure_conditions32
71,木植物,"50,99",4,2,35,adventure_conditions19
72,木特异,"50,99",3,2,35,adventure_conditions18
73,暗特异,"50,99",3,5,35,adventure_conditions33
74,光人,"50,99",2,1,30,adventure_conditions12
75,光特异,"50,99",3,1,30,adventure_conditions13
76,水特异,"50,99",3,3,30,adventure_conditions23
77,火特异,"50,99",3,4,30,adventure_conditions28
78,光神,"50,99",5,1,30,adventure_conditions15
79,木神,"50,99",5,2,30,adventure_conditions20
80,水神,"50,99",5,3,30,adventure_conditions25
81,火神,"50,99",5,4,30,adventure_conditions30
82,暗神,"50,99",5,5,30,adventure_conditions35
