#TEXT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
id,strength,intelligence,speed,defense,health,energy,healRatio,criticalRatio,criticalDmg
#id,力量,智力,速度,防御,体力,初始能量,被治疗加成,暴击率,暴击伤害
1,10,10,0,10,10,0,0,0,0
2,99999,99999,0,99999,99999,0,0,0,0
3,12,12,12,12,12,0,0,0,0
4,13,13,13,13,13,0,0,0,0
5,14,14,14,14,14,0,0,0,0
6,15,15,15,15,15,0,0,0,0
7,16,16,16,16,16,0,0,0,0
8,17,17,17,17,17,0,0,0,0
9,18,18,18,18,18,0,0,0,0
10,19,19,19,19,19,0,0,0,0
11,20,20,20,20,20,0,0,0,0
12,21,21,21,21,21,0,0,0,0
13,22,22,22,22,22,0,0,0,0
14,23,23,23,23,23,0,0,0,0
15,24,24,24,24,24,0,0,0,0
16,25,25,25,25,25,0,0,0,0
17,26,26,26,26,26,0,0,0,0
18,27,27,27,27,27,0,0,0,0
30001,0,0,0,0,31,0,0,0,0
30002,0,0,0,0,62,0,0,0,0
30003,0,0,0,0,114,0,0,0,0
30004,0,0,0,0,195,0,0,0,0
30005,0,0,0,0,309,0,0,0,0
30006,0,0,0,0,522,0,0,0,0
30007,0,6,0,0,0,0,0,0,0
30008,0,12,0,0,0,0,0,0,0
30009,0,22,0,0,0,0,0,0,0
30010,0,37,0,0,0,0,0,0,0
30011,0,60,0,0,0,0,0,0,0
30012,0,101,0,0,0,0,0,0,0
30013,6,0,0,0,0,0,0,0,0
30014,12,0,0,0,0,0,0,0,0
30015,22,0,0,0,0,0,0,0,0
30016,37,0,0,0,0,0,0,0,0
30017,60,0,0,0,0,0,0,0,0
30018,101,0,0,0,0,0,0,0,0
30019,0,0,0,5,0,0,0,0,0
30020,0,0,0,10,0,0,0,0,0
30021,0,0,0,20,0,0,0,0,0
30022,0,0,0,34,0,0,0,0,0
30023,0,0,0,54,0,0,0,0,0
30024,0,0,0,91,0,0,0,0,0
30025,0,0,5,0,0,0,0,0,0
30026,0,0,7,0,0,0,0,0,0
30027,0,0,9,0,0,0,0,0,0
30028,0,0,12,0,0,0,0,0,0
30029,0,0,15,0,0,0,0,0,0
30030,0,0,20,0,0,0,0,0,0
30031,0,0,0,0,0,0,0.15,0,0
30032,0,0,0,0,0,0,0.18,0,0
30033,0,0,0,0,0,0,0.21,0,0
30034,0,0,0,0,0,0,0.24,0,0
30035,0,0,0,0,0,0,0.3,0,0
30036,0,0,0,0,0,0,0.36,0,0
30037,0,0,0,0,0,0,0,0.05,0
30038,0,0,0,0,0,0,0,0.06,0
30039,0,0,0,0,0,0,0,0.08,0
30040,0,0,0,0,0,0,0,0.1,0
30041,0,0,0,0,0,0,0,0.13,0
30042,0,0,0,0,0,0,0,0.17,0
30043,0,0,0,0,0,4,0,0,0
30044,0,0,0,0,0,7,0,0,0
30045,0,0,0,0,0,9,0,0,0
30046,0,0,0,0,0,11,0,0,0
30047,0,0,0,0,0,15,0,0,0
30048,0,0,0,0,0,20,0,0,0
30049,0,0,0,0,0,0,0,0,0.06
30050,0,0,0,0,0,0,0,0,0.09
30051,0,0,0,0,0,0,0,0,0.13
30052,0,0,0,0,0,0,0,0,0.19
30053,0,0,0,0,0,0,0,0,0.26
30054,0,0,0,0,0,0,0,0,0.34
101,8.861111111,8.861111111,0,0,0,0,0,0,0
102,13.56666667,13.56666667,0,0,0,0,0,0,0
103,21.26666667,21.26666667,0,0,0,0,0,0,0
104,53.65555556,53.65555556,0,0,0,0,0,0,0
105,117.15,117.15,0,0,0,0,0,0,0
106,0,0,0,0,0,0,0,0,0
201,0,0,0,0,37.68888889,0,0,0,0
202,0,0,0,0,57.86666667,0,0,0,0
203,0,0,0,0,90.66666667,0,0,0,0
204,0,0,0,0,228.8,0,0,0,0
205,0,0,0,0,499.8222222,0,0,0,0
