#NUM,NUM,TEXT,TEXT,TEXT
id,rank,rankUI,reward,rewardDeath
#id,排名,排名UI,排名奖励,boss死亡奖励
1,1,1,worldboss_reward1,worldboss_deathreward1
2,2,2,worldboss_reward2,worldboss_deathreward2
3,3,3,worldboss_reward3,worldboss_deathreward3
4,10,4-10,worldboss_reward4,worldboss_deathreward4
5,20,11-20,worldboss_reward5,worldboss_deathreward4
6,30,21-30,worldboss_reward6,worldboss_deathreward5
7,40,31-40,worldboss_reward7,worldboss_deathreward5
8,50,41-50,worldboss_reward8,worldboss_deathreward5
9,100,51-100,worldboss_reward9,worldboss_deathreward5
10,200,101-200,worldboss_reward10,
11,300,201-300,worldboss_reward11,
12,500,301-500,worldboss_reward12,
13,9999,500;,worldboss_reward13,
