#TEXT,NUM,TEXT,NUM,NUM,NUM,NUM,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,TEXT,NUM,NUM,FLOAT,FLOAT,FLOAT,NUM,TEXT,TEXT,NUM,FLOAT,FLOAT,FLOAT,TEXT,TEXT
id,category,periodEffectID,duration,stun,invincible,dazhao,strengthRatio,intelligenceRatio,defenseRatio,defenseDamageRatio,speedRatio,icon,shieldNum,shieldBaseAttr,shieldRatio,phyReduceInjury,mgReduceInjury,noDead,damageResponse,deadResponse,responseCount,healthRatio,hitRatio,criticalRatio,effectExpire,excludeBuffID
#id,category,periodEffectID,duration,stun,invincible,dazhao,strengthRatio,intelligenceRatio,defenseRatio,defenseDamageRatio,speedRatio,icon,shieldNum,shieldBaseAttr,shieldRatio,phyReduceInjury,mgReduceInjury,noDead,damageResponse,deadResponse,responseCount,healthRatio,hitRatio,criticalRatio,effectExpire,excludeBuffID
buffSpeedb1,5,,3,0,0,0,0,0,0,0,0.4,bufficon_buffSpeed,0,,0,0,0,0,,,1,0,0,0,,-1
buffSpeedSelfb1,5,,3,0,0,0,0,0,0,0,0.4,bufficon_buffSpeed,0,,0,0,0,0,,,1,0,0,0,,-1
bossrenjie85Dujiaoshou1awaken2b1,5,,3,0,0,0,0,0,0,0,0.4,bufficon_buffSpeed,0,,0,0,0,0,,,1,0,0,0,,-1
buffMagicb1,5,,3,0,0,0,0,0.8,0,0,0,bufficon_buffMagic,0,,0,0,0,0,,,1,0,0,0,,-1
buffMagicSelfb1,5,,3,0,0,0,0,0.8,0,0,0,bufficon_buffMagic,0,,0,0,0,0,,,1,0,0,0,,-1
bossrenjie86Landuo25b1,11,,999,0,0,0,0,2,0,0,0,,0,,0,0,0,0,,,1,0,0,0,,-1
bossrenjie86Landuo26b1,11,,999,0,0,0,0,-0.5,0,0,0,,0,,0,0,0,0,,,1,0,0,0,,-1
bossrenjie86Landuo27b1,11,,999,0,0,0,0,-0.5,0,0,0,,0,,0,0,0,0,,,1,0,0,0,,-1
bossrenjie86Landuo28b1,11,,999,0,0,0,0,-0.5,0,0,0,,0,,0,0,0,0,,,1,0,0,0,,-1
bossrenjie82Huoniao4awaken6b1,5,,3,0,0,0,0,1.5,0,0,0,bufficon_buffMagic,0,,0,0,0,0,,,1,0,0,0,,-1
bossrenjie83Amute3awaken2b1,5,,999,0,0,0,0,1.5,0,0,0,bufficon_buffMagic,0,,0,0,0,0,,,1,0,0,0,,-1
bossrenjie83Amute3awaken2b2,11,,999,0,0,0,,,,,,,,,,,,,"HurtbyPhysicalMagicRateAddbuffAmute3awaken_100,bossrenjie83Amute3awaken2e2",,1,0,0,0,,-1
buffAttackb1,5,,3,0,0,0,0.8,0,0,0,0,bufficon_buffAttack,0,,0,0,0,0,,,1,0,0,0,,-1
buffDefenseb1,5,,3,0,0,0,0,0,0.8,0,0,bufficon_buffDefense,0,,0,0,0,0,,,1,0,0,0,,-1
buffDefenseSelfb1,5,,3,0,0,0,0,0,0.8,0,0,bufficon_buffDefense,0,,0,0,0,0,,,1,0,0,0,,-1
buffAttackSelfb1,5,,3,0,0,0,0.8,0,0,0,0,bufficon_buffAttack,0,,0,0,0,0,,,1,0,0,0,,-1
bossrenjie88Yafogemeng52b1,5,,3,0,0,0,2,0,0,0,0,bufficon_buffAttack,0,,0,0,0,0,,,1,0,0,0,,-1
bossrenjie88Yafogemeng53b1,5,,3,0,0,0,1,0,0,0,0,bufficon_buffAttack,0,,0,0,0,0,,,1,0,0,0,,-1
bossrenjie87Baonu45b1,11,,999,0,0,0,2,0,0,0,0,,0,,0,0,0,0,,,1,0,0,0,,-1
bossrenjie87Baonu45b2,11,,999,0,0,0,0,0,-0.5,0,0,,0,,0,0,0,0,,,1,0,0,0,,-1
bossrenjie87Baonu45b3,11,,999,0,0,0,,,,,,,,,,,,,"HurtbyPhysicalMagicRatebaonu05_100,bossrenjie87Baonu45e2",,1,0,0,0,,-1
bossrenjie87Baonu46b2,11,,999,0,0,0,,,,,,,,,,,,,"HurtbyPhysicalMagicRatebaonu06_100,bossrenjie87Baonu46e3",,1,0,0,0,,-1
bossrenjie86Landuo25b2,11,,999,0,0,0,,,,,,,,,,,,,"LifeLower_15,bossrenjie86Landuo25e3",,1,0,0,0,,-1
bossrenjie86Landuo26b2,11,,999,0,0,0,,,,,,,,,,,,,"HurtbyPhysicalMagicRatelanduo02_100,bossrenjie86Landuo26e3",,1,0,0,0,,-1
bossrenjie86Landuo27b2,11,,999,0,0,0,,,,,,,,,,,,,"HurtbyPhysicalMagicRatelanduo03_100,bossrenjie86Landuo27e3",,1,0,0,0,,-1
bossrenjie86Landuo28b2,11,,999,0,0,0,,,,,,,,,,,,,"HurtbyPhysicalMagicRatelanduo04_100,bossrenjie86Landuo28e3",,1,0,0,0,,-1
debuffDefenseb1,4,,3,0,0,0,0,0,-0.8,0,0,bufficon_debuffDefense,0,,0,0,0,0,,,1,0,0,0,,-1
defendb1,3,,1,0,0,0,0,0,0,-0.2,0,,0,,0,0,0,0,,,1,0,0,0,,-1
phydazhaoPrepareb1,6,,1,0,0,1,0,0,0,0,0,,0,,0,0,0,0,,,1,0,0,0,,-1
magicdazhaoPrepareb1,6,,1,0,0,1,0,0,0,0,0,,0,,0,0,0,0,,,1,0,0,0,,-1
psvSpeedb1,11,,999,,,,,,,,0.2,,,,,,,,,,,0,0,0,,-1
buffHotb1,2,buffHote3,3,0,0,0,0,0,0,0,0,bufficon_buffHot,0,,0,0,0,0,,,0,0,0,0,,-1
debuffAttackb1,4,,3,0,0,0,-0.8,0,0,0,0,bufficon_debuffAttack,0,,0,0,0,0,,,0,0,0,0,,-1
bossrenjie87Baonu46b1,11,,999,0,0,0,-0.15,0,0,0,0,,0,,0,0,0,0,,,0,0,0,0,,-1
bossrenjie87Baonu47b1,11,,999,0,0,0,-0.15,0,0,0,0,,0,,0,0,0,0,,,0,0,0,0,,-1
bossrenjie87Baonu48b1,11,,999,0,0,0,-0.15,0,0,0,0,,0,,0,0,0,0,,,0,0,0,0,,-1
bossrenjie87Baonu49b1,11,,999,0,0,0,-0.15,0,0,0,0,,0,,0,0,0,0,,,0,0,0,0,,-1
debuffMagicb1,4,,3,0,0,0,0,-0.8,0,0,0,bufficon_debuffMagic,0,,0,0,0,0,,,0,0,0,0,,-1
bossrenjie84Anpusha5awaken3b1,4,,3,0,0,0,-0.8,0,0,0,0,bufficon_debuffAttack,0,,0,0,0,0,,,0,0,0,0,,-1
bossrenjie84Anpusha5awaken3b2,4,,3,0,0,0,0,-0.8,0,0,0,bufficon_debuffMagic,0,,0,0,0,0,,,0,0,0,0,,-1
debuffSpeedb1,4,,3,0,0,0,,0,0,0,-0.4,bufficon_debuffSpeed,0,,0,0,0,0,,,0,0,0,0,,-1
debuffstunb1,13,,1,1,0,0,0,0,0,0,0,bufficon_debuffStun,0,,0,0,0,0,,,0,0,0,0,,-1
debuffstun1b1,13,,2,1,0,0,0,0,0,0,0,bufficon_debuffStun,0,,0,0,0,0,,,0,0,0,0,,-1
physicdebuffFireDotSlightb1,1,physicdebuffFireDotSlighte3,3,0,0,0,0,0,0,0,0,bufficon_debuffFireDot,0,,0,0,0,0,,,0,0,0,0,,-1
physicdebuffFireDotMediumb1,1,physicdebuffFireDotMediume3,3,0,0,0,0,0,0,0,0,bufficon_debuffFireDot,0,,0,0,0,0,,,0,0,0,0,,-1
physicdebuffFireDotStrongb1,1,physicdebuffFireDotStronge3,3,0,0,0,0,0,0,0,0,bufficon_debuffFireDot,0,,0,0,0,0,,,0,0,0,0,,-1
physicdebuffWaterDotSlightb1,1,physicdebuffWaterDotSlighte3,3,0,0,0,0,0,0,0,0,bufficon_debuffWaterDot,0,,0,0,0,0,,,0,0,0,0,,-1
physicdebuffWaterDotMediumb1,1,physicdebuffWaterDotMediume3,3,0,0,0,0,0,0,0,0,bufficon_debuffWaterDot,0,,0,0,0,0,,,0,0,0,0,,-1
physicdebuffWaterDotStrongb1,1,physicdebuffWaterDotStronge3,3,0,0,0,0,0,0,0,0,bufficon_debuffWaterDot,0,,0,0,0,0,,,0,0,0,0,,-1
physicdebuffPlantDotSlightb1,1,physicdebuffPlantDotSlighte3,3,0,0,0,0,0,0,0,0,bufficon_debuffPlantDot,0,,0,0,0,0,,,0,0,0,0,,-1
physicdebuffPlantDotMediumb1,1,physicdebuffPlantDotMediume3,3,0,0,0,0,0,0,0,0,bufficon_debuffPlantDot,0,,0,0,0,0,,,0,0,0,0,,-1
physicdebuffPlantDotStrongb1,1,physicdebuffPlantDotStronge3,3,0,0,0,0,0,0,0,0,bufficon_debuffPlantDot,0,,0,0,0,0,,,0,0,0,0,,-1
physicdebuffMetalDotSlightb1,1,physicdebuffMetalDotSlighte3,3,0,0,0,0,0,0,0,0,bufficon_debuffMetalDot,0,,0,0,0,0,,,0,0,0,0,,-1
physicdebuffMetalDotMediumb1,1,physicdebuffMetalDotMediume3,3,0,0,0,0,0,0,0,0,bufficon_debuffMetalDot,0,,0,0,0,0,,,0,0,0,0,,-1
physicdebuffMetalDotStrongb1,1,physicdebuffMetalDotStronge3,3,0,0,0,0,0,0,0,0,bufficon_debuffMetalDot,0,,0,0,0,0,,,0,0,0,0,,-1
physicdebuffEarthDotSlightb1,1,physicdebuffEarthDotSlighte3,3,0,0,0,0,0,0,0,0,bufficon_debuffEarthDot,0,,0,0,0,0,,,0,0,0,0,,-1
physicdebuffEarthDotMediumb1,1,physicdebuffEarthDotMediume3,3,0,0,0,0,0,0,0,0,bufficon_debuffEarthDot,0,,0,0,0,0,,,0,0,0,0,,-1
physicdebuffEarthDotStrongb1,1,physicdebuffEarthDotStronge3,3,0,0,0,0,0,0,0,0,bufficon_debuffEarthDot,0,,0,0,0,0,,,0,0,0,0,,-1
magicdebuffFireDotSlightb1,1,magicdebuffFireDotSlighte3,3,0,0,0,0,0,0,0,0,bufficon_debuffFireDot,0,,0,0,0,0,,,0,0,0,0,,-1
magicdebuffFireDotMediumb1,1,magicdebuffFireDotMediume3,3,0,0,0,0,0,0,0,0,bufficon_debuffFireDot,0,,0,0,0,0,,,0,0,0,0,,-1
magicdebuffFireDotStrongb1,1,magicdebuffFireDotStronge3,3,0,0,0,0,0,0,0,0,bufficon_debuffFireDot,0,,0,0,0,0,,,0,0,0,0,,-1
magicdebuffWaterDotSlightb1,1,magicdebuffWaterDotSlighte3,3,0,0,0,0,0,0,0,0,bufficon_debuffWaterDot,0,,0,0,0,0,,,0,0,0,0,,-1
magicdebuffWaterDotMediumb1,1,magicdebuffWaterDotMediume3,3,0,0,0,0,0,0,0,0,bufficon_debuffWaterDot,0,,0,0,0,0,,,0,0,0,0,,-1
magicdebuffWaterDotStrongb1,1,magicdebuffWaterDotStronge3,3,0,0,0,0,0,0,0,0,bufficon_debuffWaterDot,0,,0,0,0,0,,,0,0,0,0,,-1
magicdebuffPlantDotSlightb1,1,magicdebuffPlantDotSlighte3,3,0,0,0,0,0,0,0,0,bufficon_debuffPlantDot,0,,0,0,0,0,,,0,0,0,0,,-1
magicdebuffPlantDotMediumb1,1,magicdebuffPlantDotMediume3,3,0,0,0,0,0,0,0,0,bufficon_debuffPlantDot,0,,0,0,0,0,,,0,0,0,0,,-1
magicdebuffPlantDotStrongb1,1,magicdebuffPlantDotStronge3,3,0,0,0,0,0,0,0,0,bufficon_debuffPlantDot,0,,0,0,0,0,,,0,0,0,0,,-1
magicdebuffMetalDotSlightb1,1,magicdebuffMetalDotSlighte3,3,0,0,0,0,0,0,0,0,bufficon_debuffMetalDot,0,,0,0,0,0,,,0,0,0,0,,-1
magicdebuffMetalDotMediumb1,1,magicdebuffMetalDotMediume3,3,0,0,0,0,0,0,0,0,bufficon_debuffMetalDot,0,,0,0,0,0,,,0,0,0,0,,-1
magicdebuffMetalDotStrongb1,1,magicdebuffMetalDotStronge3,3,0,0,0,0,0,0,0,0,bufficon_debuffMetalDot,0,,0,0,0,0,,,0,0,0,0,,-1
magicdebuffEarthDotSlightb1,1,magicdebuffEarthDotSlighte3,3,0,0,0,0,0,0,0,0,bufficon_debuffEarthDot,0,,0,0,0,0,,,0,0,0,0,,-1
magicdebuffEarthDotMediumb1,1,magicdebuffEarthDotMediume3,3,0,0,0,0,0,0,0,0,bufficon_debuffEarthDot,0,,0,0,0,0,,,0,0,0,0,,-1
magicdebuffEarthDotStrongb1,1,magicdebuffEarthDotStronge3,3,0,0,0,0,0,0,0,0,bufficon_debuffEarthDot,0,,0,0,0,0,,,0,0,0,0,,-1
buffTauntb1,12,,2,0,0,0,0,0,0,0,0,bufficon_debuffTaunt,0,,0,0,0,0,,,0,0,0,0,,-1
Interruptb1,17,,3,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,,0,0,0,0,,-1
psvMagicb1,11,,999,,,,,0.2,,,,,,,,,,,,,,0,0,0,,-1
psvKairuisi4b1,11,,999,0,0,0,,,,,,,,,,,,,"UsingMagicRate_10,buffMagicSelfe2",,999,0,0,0,,-1
psvHetong2b1,5,,1,0,0,0,0,0,0.8,0,0,bufficon_buffDefense,0,,0,0,0,0,,,1,0,0,0,,-1
psvWagui3b1,11,,999,0,0,0,,,,,,,,,,,,,"HurtbyPhysicalMagicRate_25,debuffSpeede2",,999,0,0,0,,-1
psvKahuna2b2,11,,999,0,0,0,,,,,,,,,,,,,"HurtbyPhysicalMagicRate_80,psvKahuna2e4",,999,0,0,0,,-1
psvHuapo2b1,11,,999,0,0,0,,,,,,,,,,,,,"UsingPhysicalRate_10,buffAttackSelfe2",,999,0,0,0,,-1
psvCike4b1,11,,999,0,0,0,,,,,,,,,,,,,"HurtbyPhysicalMagicRate_80,psvCike4e2",,999,0,0,0,,-1
psvLangren3b1,11,,999,0,0,0,,,,,,,,,,,,,"HurtbyPhysicalMagicRate_80,psvLangren3e2",,999,0,0,0,,-1
