#NUM,NUM,TEXT,NUM,NUM
id,page,item,times,point
#兑换物id,礼包页id,奖励通用格式,可兑换次数,消耗点数
1,212,3_20047_5_1,10,125
2,212,3_20034_5_1,8,90
3,212,3_20026_5_1,4,45
4,212,3_10018_1_1,10,50
5,212,3_10019_1_1,2,250
6,213,3_20048_5_1,10,120
7,213,3_20052_5_1,8,80
8,213,3_20015_5_1,4,40
9,213,3_10024_1_1,2,150
10,213,3_10025_1_1,1,500
11,214,3_40053_1_1,12,100
12,214,3_40054_1_1,5,500
13,214,3_10007_3_1,10,30
14,217,3_10024_1_1,3,200
15,217,3_10025_1_1,1,500
16,217,3_10029_1_1,5,10
17,217,3_10030_1_1,2,50
18,217,3_40053_1_1,10,20
19,217,3_40054_1_1,3,100
