#NUM,TEXT,TEXT,TEXT,TEXT,TEXT,NUM,TEXT,TEXT,NUM ,TEXT,TEXT,NUM,NUM,NUM,NUM,NUM
id,comments,name,title,desc,image,type,children,rechargeId,buyPrice,baseGift,extraGift,timeBegin,timeEnd,buyTime,duration,weight
#礼包id,注释,名称,标题,描述,底图,类型(1-进阶礼包/2-碎片礼包/101-活动礼包/102-选择礼【103】),子礼包,充值ID,数量,基本奖励,额外奖励,开始时间id,结束时间id,最大购买次数,活动时间（小时）,权重
101,进阶礼包a1,,giftspecial_jinjiea1_name,giftspecial_jinjiea1_desc,teshushoumai_chongwujinjie,1,0,com.diandian.undergroundguardian.giftspecial.14.99,100,jinjie_base_1,,-1,-1,1,24,800
102,进阶礼包a2,,giftspecial_jinjiea2_name,giftspecial_jinjiea2_desc,teshushoumai_chongwujinjie,1,0,com.diandian.undergroundguardian.giftspecial.24.99,200,jinjie_base_2,,-1,-1,1,24,200
103,进阶礼包b1,,giftspecial_jinjieb1_name,giftspecial_jinjieb1_desc,teshushoumai_chongwujinjie,5,0,com.diandian.undergroundguardian.giftspecial.14.99,300,jinjie_base_1,,-1,-1,1,24,800
104,进阶礼包b2,,giftspecial_jinjieb2_name,giftspecial_jinjieb2_desc,teshushoumai_chongwujinjie,5,0,com.diandian.undergroundguardian.giftspecial.24.99,400,jinjie_base_2,,-1,-1,1,24,200
105,进阶礼包c1,,giftspecial_jinjiec1_name,giftspecial_jinjiec1_desc,teshushoumai_chongwujinjie,6,0,com.diandian.undergroundguardian.giftspecial.14.99,500,jinjie_base_1,,-1,-1,1,24,800
106,进阶礼包c2,,giftspecial_jinjiec2_name,giftspecial_jinjiec2_desc,teshushoumai_chongwujinjie,6,0,com.diandian.undergroundguardian.giftspecial.24.99,600,jinjie_base_2,,-1,-1,1,24,200
203,活动礼包1,,giftspecial_huodong1_name,giftspecial_huodong1_desc,teshushoumai_changzhu,101,0,com.diandian.undergroundguardian.giftspecial.99.99,700,huodong_base_1,huodong_extra_1,407,408,10,-1,100
202,活动礼包2,,giftspecial_huodong2_name,giftspecial_huodong2_desc,teshushoumai_changzhu,101,0,com.diandian.undergroundguardian.giftspecial.49.99,800,huodong_base_2,huodong_extra_2,409,410,10,-1,100
209,选择礼包父礼包1,,giftspecial_xuanze1_name,giftspecial_xuanze1_desc,,102,"204,205",,900,,,407,408,1,-1,100
204,选择礼包子礼包11,,,,teshushoumai_xinshou,103,0,com.diandian.undergroundguardian.giftspecial.0.99,1000,xuanze_zuo_1,,-1,-1,1,-1,100
205,选择礼包子礼包12,,,,teshushoumai_changzhu,103,0,com.diandian.undergroundguardian.giftspecial.9.99,1100,xuanze_you_1,,-1,-1,1,-1,100
206,选择礼包父礼包1,,giftspecial_xuanze2_name,giftspecial_xuanze2_desc,,102,"207,208",,1200,,,409,410,1,-1,100
207,选择礼包子礼包11,,,,teshushoumai_xinshou,103,0,com.diandian.undergroundguardian.giftspecial.24.99,1300,xuanze_zuo_2,,-1,-1,1,-1,100
208,选择礼包子礼包12,,,,teshushoumai_changzhu,103,0,com.diandian.undergroundguardian.giftspecial.49.99,1400,xuanze_you_2,,-1,-1,1,-1,100
