#TEXT,TEXT
id,rewardId
#副本Id_怪物Id,奖励列表Id
dajie11_xgMoguguai3,1011
dajie11_xgKairuisi4,1012
dajie11_bossdajie17Huapo2,1013
dajie12_xgHetong2,2011
dajie12_xgKairuisi4,2012
dajie12_bossdajie12Mantuoluo2,2013
dajie13_xgWagui3,3011
dajie13_xgXiyiren2,3012
dajie13_bossdajie11Moguguai4,3013
dajie14_xgHetong2,4011
dajie14_xgMoguguai4,4012
dajie14_bossdajie14Piying5,4013
dajie15_xgCike4,5011
dajie15_xgWagui3,5012
dajie15_bossdajie15Langren3,5013
dajie16_xgPanshen2,6011
dajie16_xgHuapo2,6012
dajie16_bossdajie16Zouyincao2,6013
dajie17_xgMoguguai3,7011
dajie17_xgWushi3,7012
dajie17_bossdajie13Cike4,7013
dajie18_xgHuapo2,8011
dajie18_xgWushi4,8012
dajie18_bossdajie18Ladong5,8013
xiaoxiang11_xgXiyiren4,1021
xiaoxiang11_xgMantuoluo2,1022
xiaoxiang11_bossxiaoxiang21Wushi4,1023
xiaoxiang12_xgHetong3,2021
xiaoxiang12_xgXiaochou4,2022
xiaoxiang12_bossxiaoxiang22Xiyiren2,2023
xiaoxiang13_xgHuapo2,3021
xiaoxiang13_xgCike4,3022
xiaoxiang13_bossxiaoxiang23Panshen2,3023
xiaoxiang14_xgWushi3,4021
xiaoxiang14_xgLonggongtongzi3,4022
xiaoxiang14_bossxiaoxiang24Shuigui3,4023
xiaoxiang15_xgPanshen2,5021
xiaoxiang15_xgXiyiren2,5022
xiaoxiang15_bossxiaoxiang25Kairuisi5,5023
xiaoxiang16_xgLangren5,6021
xiaoxiang16_xgShuigui3,6022
xiaoxiang16_bossxiaoxiang26Longgongtongzi3,6023
xiaoxiang17_xgNvyao5,7021
xiaoxiang17_xgHapi1,7022
xiaoxiang17_bossxiaoxiang27Hetong2,7023
xiaoxiang18_xgSaibulesi5,8021
xiaoxiang18_xgKairuisi5,8022
xiaoxiang18_bossxiaoxiang28Muling2,8023
dajie21_xgMoguguai3,1011
dajie21_xgKairuisi4,1012
dajie21_bossdajie17Huapo2,1113
dajie22_xgHetong2,2011
dajie22_xgKairuisi4,2012
dajie22_bossdajie12Mantuoluo2,2113
dajie23_xgWagui3,3011
dajie23_xgXiyiren2,3012
dajie23_bossdajie11Moguguai4,3113
dajie24_xgHetong2,4011
dajie24_xgMoguguai4,4012
dajie24_bossdajie14Piying5,4113
dajie25_xgCike4,5011
dajie25_xgWagui3,5012
dajie25_bossdajie15Langren3,5113
dajie26_xgPanshen2,6011
dajie26_xgHuapo2,6012
dajie26_bossdajie16Zouyincao2,6113
dajie27_xgMoguguai3,7011
dajie27_xgWushi3,7012
dajie27_bossdajie13Cike4,7113
dajie28_xgHuapo2,8011
dajie28_xgWushi4,8012
dajie28_bossdajie18Ladong5,8113
xiaoxiang21_xgXiyiren4,1021
xiaoxiang21_xgMantuoluo2,1022
xiaoxiang21_bossxiaoxiang21Wushi4,1123
xiaoxiang22_xgHetong3,2021
xiaoxiang22_xgXiaochou4,2022
xiaoxiang22_bossxiaoxiang22Xiyiren2,2123
xiaoxiang23_xgHuapo2,3021
xiaoxiang23_xgCike4,3022
xiaoxiang23_bossxiaoxiang23Panshen2,3123
xiaoxiang24_xgWushi3,4021
xiaoxiang24_xgLonggongtongzi3,4022
xiaoxiang24_bossxiaoxiang24Shuigui3,4123
xiaoxiang25_xgPanshen2,5021
xiaoxiang25_xgXiyiren2,5022
xiaoxiang25_bossxiaoxiang25Kairuisi5,5123
xiaoxiang26_xgLangren5,6021
xiaoxiang26_xgShuigui3,6022
xiaoxiang26_bossxiaoxiang26Longgongtongzi3,6123
xiaoxiang27_xgNvyao5,7021
xiaoxiang27_xgHapi1,7022
xiaoxiang27_bossxiaoxiang27Hetong2,7123
xiaoxiang28_xgSaibulesi5,8021
xiaoxiang28_xgKairuisi5,8022
xiaoxiang28_bossxiaoxiang28Muling2,8123
senlin11_xgHuapo2,1031
senlin11_xgMantuoluo2,1032
senlin11_bosssenlin31Wendige2,1033
senlin12_xgHetong2,2031
senlin12_xgLonggongtongzi3,2032
senlin12_bosssenlin32Longnv3,2033
senlin13_xgWendige2,3031
senlin13_xgXiyiren2,3032
senlin13_bosssenlin33Luoxinfu5,3033
senlin14_xgWendige3,4031
senlin14_xgShuigui3,4032
senlin14_bosssenlin34Amute3,4033
senlin15_xgSaibulesi5,5031
senlin15_xgMantuoluo2,5032
senlin15_bosssenlin35Xiaochou2,5033
senlin16_xgPanshen2,6031
senlin16_xgLongnv3,6032
senlin16_bosssenlin36Momo1,6033
senlin17_xgLuoxinfu5,7031
senlin17_xgMomo1,7032
senlin17_bosssenlin37Hapi1,7033
senlin18_xgXiaochou2,8031
senlin18_xgAmute3,8032
senlin18_bosssenlin38Meidusha2,8033
senlin21_xgHuapo2,1031
senlin21_xgMantuoluo2,1032
senlin21_bosssenlin31Wendige2,1133
senlin22_xgHetong2,2031
senlin22_xgLonggongtongzi3,2032
