#TEXT,TEXT,TEXT,NUM,TEXT
id,rewardId,sweepRewardId,pseudoTimes,pseudoRewardId
#副本Id,额外奖励列表,扫荡奖励列表,假额外奖励出现次数,假额外奖励
dajie11,10101,10111,0,
dajie12,10102,10112,0,
dajie13,10103,10113,0,
dajie14,10104,10114,1,10124
dajie15,10105,10115,0,
dajie16,10106,10116,0,
dajie17,10107,10117,0,
dajie18,10108,10118,0,
dajie21,20101,20111,0,
dajie22,20102,20112,0,
dajie23,20103,20113,0,
dajie24,20104,20114,0,
dajie25,20105,20115,0,
dajie26,20106,20116,0,
dajie27,20107,20117,0,
dajie28,20108,20118,0,
xiaoxiang11,10201,10211,1,10221
xiaoxiang12,10202,10212,0,
xiaoxiang13,10203,10213,0,
xiaoxiang14,10204,10214,0,
xiaoxiang15,10205,10215,0,
xiaoxiang16,10206,10216,0,
xiaoxiang17,10207,10217,0,
xiaoxiang18,10208,10218,0,
xiaoxiang21,20201,20211,0,
xiaoxiang22,20202,20212,0,
xiaoxiang23,20203,20213,0,
xiaoxiang24,20204,20214,0,
xiaoxiang25,20205,20215,0,
xiaoxiang26,20206,20216,0,
xiaoxiang27,20207,20217,0,
xiaoxiang28,20208,20218,0,
senlin11,10301,10311,0,
senlin12,10302,10312,0,
senlin13,10303,10313,0,
senlin14,10304,10314,0,
senlin15,10305,10315,0,
senlin16,10306,10316,0,
senlin17,10307,10317,0,
senlin18,10308,10318,0,
senlin21,20301,20311,0,
senlin22,20302,20312,0,
senlin23,20303,20313,0,
senlin24,20304,20314,0,
senlin25,20305,20315,0,
senlin26,20306,20316,0,
senlin27,20307,20317,0,
senlin28,20308,20318,0,
huoshan11,10401,10411,0,
huoshan12,10402,10412,0,
huoshan13,10403,10413,0,
huoshan14,10404,10414,0,
huoshan15,10405,10415,0,
huoshan16,10406,10416,0,
huoshan17,10407,10417,0,
huoshan18,10408,10418,0,
huoshan21,20401,20411,0,
huoshan22,20402,20412,0,
huoshan23,20403,20413,0,
huoshan24,20404,20414,0,
huoshan25,20405,20415,0,
huoshan26,20406,20416,0,
huoshan27,20407,20417,0,
huoshan28,20408,20418,0,
xueshan11,10501,10511,0,
xueshan12,10502,10512,0,
xueshan13,10503,10513,0,
xueshan14,10504,10514,0,
xueshan15,10505,10515,0,
xueshan16,10506,10516,0,
xueshan17,10507,10517,0,
xueshan18,10508,10518,0,
xueshan21,20501,20511,0,
xueshan22,20502,20512,0,
xueshan23,20503,20513,0,
xueshan24,20504,20514,0,
xueshan25,20505,20515,0,
xueshan26,20506,20516,0,
xueshan27,20507,20517,0,
xueshan28,20508,20518,0,
minghe11,10601,10611,0,
minghe12,10602,10612,0,
minghe13,10603,10613,0,
minghe14,10604,10614,0,
minghe15,10605,10615,0,
minghe16,10606,10616,0,
minghe17,10607,10617,0,
minghe18,10608,10618,0,
minghe21,20601,20611,0,
