#TEXT,TEXT
id,itemRandom
#id,奖励列表: ItemType_ItemId_Count_(Stage_Level)_Price_Discount_Weight
10001,"3_10004_2_2_1000_1.0_1000,3_10004_2_2_1000_0.8_800,3_10004_2_1_50_1.0_500,3_11001_1_2_500_1.0_1000,3_11001_1_2_500_0.6_800,3_11001_1_1_30_1.0_500"
10002,"3_20002_5_2_300_1.0_800,3_20003_5_2_300_1.0_800,3_20004_5_2_300_1.0_800"
10003,"3_30001_1_2_300_1.0_800,3_30002_2_2_300_1.0_800,3_30003_3_2_300_1.0_800,3_30004_4_2_300_1.0_800,3_30005_1_2_300_1.0_800"
10004,"4_70001_1_3_4_2_500_1.0_800,4_70002_1_2_3_2_500_0.6_800,4_70003_1_3_4_2_500_0.6_800,4_70004_1_3_3_2_500_0.8_800"
10005,"3_10005_1_2_500_1.0_1000,3_10005_1_2_500_0.8_800,3_10005_1_1_30_1.0_500,3_10006_2_2_500_1.0_1000,3_10006_2_2_500_0.8_800,3_10006_2_1_30_1.0_500"
1001,"3_50002_5_2_720_1.0_900,3_50003_3_2_3600_1.0_90,3_50004_1_2_18000_1.0_10"
1002,"3_50002_10_2_720_1.0_400,3_50003_5_2_3600_1.0_550,3_50004_2_2_18000_1.0_50"
1003,"3_50002_10_2_720_1.0_10,3_50003_10_2_3600_1.0_645,3_50004_3_2_18000_1.0_345"
1004,"3_50005_1_1_25_1.0_70,3_50005_1_1_25_0.8_20,3_50005_1_1_25_0.6_10,3_50006_1_1_65_1.0_35,3_50006_1_1_65_0.8_10,3_50006_1_1_65_0.6_5,3_50007_1_1_110_1.0_7,3_50007_1_1_110_0.8_2,3_50007_1_1_110_0.6_1"
1005,"4_70001_1_1_0_2_45000_1.0_100,4_70002_1_1_0_2_45000_1.0_100,4_70007_1_1_0_2_45000_1.0_100,4_70008_1_1_0_2_45000_1.0_100,4_70013_1_1_0_2_45000_1.0_100,4_70014_1_1_0_2_45000_1.0_100,4_70019_1_1_0_2_45000_1.0_100,4_70020_1_1_0_2_45000_1.0_100"
1006,"4_70003_1_1_0_2_45000_1.0_100,4_70005_1_1_0_2_45000_1.0_100,4_70009_1_1_0_2_45000_1.0_100,4_70011_1_1_0_2_45000_1.0_100,4_70015_1_1_0_2_45000_1.0_100,4_70017_1_1_0_2_45000_1.0_100,4_70021_1_1_0_2_45000_1.0_100,4_70023_1_1_0_2_45000_1.0_100"
1007,"4_70004_1_1_0_2_45000_1.0_100,4_70006_1_1_0_2_45000_1.0_100,4_70010_1_1_0_2_45000_1.0_100,4_70012_1_1_0_2_45000_1.0_100,4_70016_1_1_0_2_45000_1.0_100,4_70018_1_1_0_2_45000_1.0_100,4_70022_1_1_0_2_45000_1.0_100,4_70024_1_1_0_2_45000_1.0_100"
1008,"3_11001_5_2_4000_1.0_900,3_11001_5_2_4000_0.8_50,3_11002_3_2_12000_1.0_50"
1009,"3_11001_10_2_4000_1.0_370,3_11001_10_2_4000_0.8_30,3_11002_5_2_12000_1.0_560,3_11002_5_2_12000_0.8_40"
1010,"3_11001_10_2_4000_1.0_100,3_11002_10_2_12000_1.0_370,3_11002_10_2_12000_0.8_30,3_11003_5_2_36000_1.0_460,3_11003_5_2_36000_0.8_40"
1011,"3_10005_2_2_12000_1.0_700,3_10005_2_2_12000_0.8_100,3_10005_4_2_12000_1.0_200"
1012,"3_10005_2_2_12000_1.0_100,3_10005_4_2_12000_1.0_600,3_10005_4_2_12000_0.8_100,3_10005_8_2_12000_1.0_200"
1013,"3_10005_4_2_12000_1.0_450,3_10005_4_2_12000_0.8_50,3_10005_8_2_12000_1.0_450,3_10005_8_2_12000_0.8_50"
1014,"3_20041_2_1_50_1.0_100,3_20039_2_1_50_1.0_100,3_20007_2_1_50_1.0_100,3_20022_2_1_50_1.0_100,3_20018_2_1_50_1.0_100,3_20012_2_1_50_1.0_100,3_20004_2_1_50_1.0_100,3_20023_2_1_50_1.0_100,3_20005_2_1_50_1.0_100,3_20016_2_1_50_1.0_100,3_20006_2_1_50_1.0_100,3_20010_2_1_50_1.0_100,3_20037_2_1_50_1.0_100,3_20014_2_1_50_1.0_100,3_20040_2_1_50_1.0_100,3_20017_2_1_50_1.0_100,3_20025_2_1_50_1.0_100,3_20046_2_1_50_1.0_100,3_20002_2_1_50_1.0_100,3_20009_2_1_50_1.0_100,3_20030_2_1_50_1.0_100,3_20008_2_1_50_1.0_100,3_20021_2_1_50_1.0_100,3_20013_2_1_50_1.0_100,3_20011_2_1_50_1.0_300,3_20040_2_1_50_1.0_300,3_20004_2_1_100_1.0_50,3_20029_2_1_100_1.0_50,3_20019_2_1_100_1.0_50,3_20028_2_1_100_1.0_50,3_20033_2_1_100_1.0_50,3_20035_2_1_100_1.0_50,3_20051_2_1_100_1.0_50,3_20042_2_1_100_1.0_50,3_20044_2_1_100_1.0_50,3_20055_2_1_100_1.0_50"
1015,"3_20041_2_1_50_1.0_100,3_20039_2_1_50_1.0_100,3_20007_2_1_50_1.0_100,3_20022_2_1_50_1.0_100,3_20018_2_1_50_1.0_100,3_20012_2_1_50_1.0_100,3_20004_2_1_50_1.0_100,3_20023_2_1_50_1.0_100,3_20005_2_1_50_1.0_100,3_20016_2_1_50_1.0_100,3_20006_2_1_50_1.0_100,3_20010_2_1_50_1.0_100,3_20037_2_1_50_1.0_100,3_20014_2_1_50_1.0_100,3_20040_2_1_50_1.0_100,3_20017_2_1_50_1.0_100,3_20025_2_1_50_1.0_100,3_20046_2_1_50_1.0_100,3_20002_2_1_50_1.0_100,3_20009_2_1_50_1.0_100,3_20030_2_1_50_1.0_100,3_20008_2_1_50_1.0_100,3_20021_2_1_50_1.0_100,3_20013_2_1_50_1.0_100,3_20011_2_1_50_1.0_300,3_20040_2_1_50_1.0_300,3_20004_2_1_100_1.0_50,3_20029_2_1_100_1.0_50,3_20019_2_1_100_1.0_50,3_20028_2_1_100_1.0_50,3_20033_2_1_100_1.0_50,3_20035_2_1_100_1.0_50,3_20051_2_1_100_1.0_50,3_20042_2_1_100_1.0_50,3_20044_2_1_100_1.0_50,3_20055_2_1_100_1.0_50,3_10007_5_1_10_1.0_2550,3_10007_5_1_10_0.8_500,3_40052_1_1_200_1.0_45,3_40052_1_1_200_0.8_5,3_10018_1_1_800_1.0_45,3_10018_1_1_800_0.8_5"
1016,"3_20041_2_1_50_1.0_100,3_20039_2_1_50_1.0_100,3_20007_2_1_50_1.0_100,3_20022_2_1_50_1.0_100,3_20018_2_1_50_1.0_100,3_20012_2_1_50_1.0_100,3_20004_2_1_50_1.0_100,3_20023_2_1_50_1.0_100,3_20005_2_1_50_1.0_100,3_20016_2_1_50_1.0_100,3_20006_2_1_50_1.0_100,3_20010_2_1_50_1.0_100,3_20037_2_1_50_1.0_100,3_20014_2_1_50_1.0_100,3_20040_2_1_50_1.0_100,3_20017_2_1_50_1.0_100,3_20025_2_1_50_1.0_100,3_20046_2_1_50_1.0_100,3_20002_2_1_50_1.0_100,3_20009_2_1_50_1.0_100,3_20030_2_1_50_1.0_100,3_20008_2_1_50_1.0_100,3_20021_2_1_50_1.0_100,3_20013_2_1_50_1.0_100,3_20011_2_1_50_1.0_300,3_20040_2_1_50_1.0_300,3_20004_2_1_100_1.0_50,3_20029_2_1_100_1.0_50,3_20019_2_1_100_1.0_50,3_20028_2_1_100_1.0_50,3_20033_2_1_100_1.0_50,3_20035_2_1_100_1.0_50,3_20051_2_1_100_1.0_50,3_20042_2_1_100_1.0_50,3_20044_2_1_100_1.0_50,3_20055_2_1_100_1.0_50,3_10007_10_1_10_1.0_6100,3_10007_10_1_10_0.8_1000,3_40052_1_1_200_1.0_45,3_40052_1_1_200_0.8_5,3_40053_1_1_1000_1.0_9,3_40053_1_1_1000_0.8_1,3_10018_1_1_800_1.0_45,3_10018_1_1_800_0.8_5,3_10019_1_1_1600_1.0_10,3_10019_1_1_1600_0.8_1"
1017,3_50008_1_1_50_1.0_3050
1018,"3_50008_1_1_50_1.0_2550,3_50008_1_1_50_0.8_500,3_10007_5_1_10_1.0_2550,3_10007_5_1_10_0.8_500,3_40052_1_1_200_1.0_45,3_40052_1_1_200_0.8_5,3_10018_1_1_800_1.0_45,3_10018_1_1_800_0.8_5"
1019,"3_50008_1_1_50_1.0_2550,3_50008_1_1_50_0.8_500,3_10007_10_1_10_1.0_6100,3_10007_10_1_10_0.8_1000,3_40052_1_1_200_1.0_45,3_40052_1_1_200_0.8_5,3_10018_1_1_800_1.0_45,3_10018_1_1_800_0.8_5,3_40053_1_1_1000_1.0_9,3_40053_1_1_1000_0.8_1,3_10019_1_1_1600_1.0_10,3_10019_1_1_1600_0.8_1"
1020,"3_50002_5_3_12_1.0_80,3_50002_5_3_12_0.8_20"
1021,"3_50003_2_3_60_1.0_80,3_50003_5_3_60_0.8_20"
1022,"3_10003_1_3_120_1.0_80,3_10003_1_3_120_0.8_20"
1023,"3_10009_1_3_180_1.0_250,3_10009_1_3_180_0.8_50,3_10010_1_3_240_1.0_250,3_10010_1_3_240_0.8_50,3_10011_1_3_300_1.0_250,3_10011_1_3_300_0.8_50"
1024,"3_20022_2_3_50_1.0_300,3_20023_2_3_50_1.0_300,3_20010_2_3_50_1.0_300,3_20014_2_3_50_1.0_300,3_20040_2_3_50_1.0_300,3_20017_2_3_50_1.0_300,3_20025_2_3_50_1.0_300,3_20046_2_3_50_1.0_300,3_20009_2_3_50_1.0_300,3_20030_2_3_50_1.0_300,3_20008_2_3_50_1.0_300,3_20021_2_3_50_1.0_300,3_20013_2_3_50_1.0_300,3_20011_2_3_50_1.0_300,3_20040_2_3_50_1.0_300,3_20004_2_3_70_1.0_50,3_20029_2_3_70_1.0_50,3_20019_2_3_70_1.0_50,3_20028_2_3_70_1.0_50,3_20033_2_3_70_1.0_50,3_20035_2_3_70_1.0_50,3_20051_2_3_70_1.0_50,3_20042_2_3_70_1.0_50,3_20044_2_3_70_1.0_50,3_20055_2_3_70_1.0_50"
1025,"3_10016_2_3_30_1.0_400,3_10016_2_3_30_0.8_100,3_10016_4_3_30_1.0_325,3_10016_4_3_30_0.8_75,3_10016_8_3_30_1.0_80,3_10016_8_3_30_0.8_20"
1026,"3_10016_2_3_30_1.0_150,3_10016_2_3_30_0.8_50,3_10016_4_3_30_1.0_500,3_10016_4_3_30_0.8_100,3_10016_8_3_30_1.0_175,3_10016_8_3_30_0.8_50"
1027,"3_10016_2_3_30_1.0_80,3_10016_2_3_30_0.8_20,3_10016_4_3_30_1.0_500,3_10016_4_3_30_0.8_100,3_10016_8_3_30_1.0_250,3_10016_8_3_30_0.8_50"
1028,"3_10017_1_3_180_1.0_700,3_10017_1_3_180_0.8_100,3_10017_2_3_180_1.0_175,3_10017_2_3_180_0.8_25"
1029,"3_10017_1_3_180_1.0_450,3_10017_1_3_180_0.8_50,3_10017_2_3_180_1.0_450,3_10017_2_3_180_0.8_50"
1030,"3_10017_1_3_180_1.0_265,3_10017_1_3_180_0.8_35,3_10017_2_3_180_1.0_700,3_10017_2_3_180_0.8_100"
1031,"3_10018_1_4_120_1.0_100,3_10018_1_4_120_0.8_20"
1032,"3_10019_1_4_245_1.0_150,3_10019_1_4_245_0.8_20"
1033,"3_10020_1_4_615_1.0_200,3_10020_1_4_615_0.8_20"
