#TEXT,TEXT,TEXT
id,chinese,english
#文字Id,文字内容,文字内容
name_11_Gmjian,GM剑,NB~~~
name_10001_yaoshi,钥匙,key
name_10002_wuming,无名,no name
name_10003_duihuanquan,扫荡券,Raid Ticket
name_10004_chujiqianghuacailiao,初级装备强化石,basic upgrade stone
name_11001_chujizhuangbeiqianghuashi,初级灵铁,Basic Raw Iron
name_11002_zhongjizhuangbeiqianghuashi,中级灵铁,Average Raw Iron
name_11003_gaojizhuangbeiqianghuashi,高级灵铁,Advanced Raw Iron
name_10005_zhuangbeijinjieshi,妖力结晶,Crystal Ball
name_10006_zhuangbeijinjiecailiao2,装备进阶卷轴,Advanced scroll
name_10007_baoshikaikongcailiao,纹章开孔石,Insignia Stone
name_10008_zhuangbeijinjiecailiao2chip,进阶卷轴碎片,Advanced scroll chip
name_10009_baoxiangyaoshi1,木质宝箱钥匙,Deadwood Chest key
name_10010_baoxiangyaoshi2,白银宝箱钥匙,Gleaming Chest key
name_10011_baoxiangyaoshi3,黄金宝箱钥匙,Golden Strongbox key
name_10012_baoxiangyaoshi4,黄金宝箱钥匙,Gold Key
name_10013_yibanlaji1,妖兽的晶核,Wicked Crux
name_10014_yibanlaji2,妖兽的皮,Wicked Skin
name_10015_yibanlaji3,妖兽的爪,Wicked Claw
name_10016_chongwuqianghuashi,贤者墨水,Sage's Ink
name_10017_chongwujinjieshi,化形之书,Book of Transformation
name_10021_gongpin,天使之羽,Angel's feather
name_10022_gongpin,恶魔之羽,Demon's feather
name_10023_gongpin,精灵之羽,Fairy's feather.
name_20001_suipian_common,灵魂本源,Lore Core
name_20002_suipian_xiaochou3,小丑碎片（水）,Joker Fragment(Water)
name_20003_suipian_kairuisi4,凯瑞斯碎片（火）,Keres Fragment(Fire)
name_20004_suipian_hetong2,河童碎片（木）,Kappa Fragment(Grass)
name_20005_suipian_wagui3,哇鬼碎片（水）,Phase Frog Fragment(Water)
name_20006_suipian_xiaochou4,小丑碎片（火）,Joker Fragment(Fire)
name_20007_suipian_cike4,火刺壳碎片（火）,Fireshell Fragment(Fire)
